Human	ChrHuman	Macaque	ChrMacaque
ENSG00000102781	13	ENSMMUG00000004922	17
ENSG00000102794	13	ENSMMUG00000039336	17
ENSG00000102796	13	ENSMMUG00000009420	17
ENSG00000102802	13	ENSMMUG00000013346	17
ENSG00000102804	13	ENSMMUG00000003753	17
ENSG00000102837	13	ENSMMUG00000002657	17
ENSG00000102854	16	ENSMMUG00000000835	20
ENSG00000102858	16	ENSMMUG00000001888	20
ENSG00000102871	16	ENSMMUG00000005908	20
ENSG00000102878	16	ENSMMUG00000005906	20
ENSG00000102879	16	ENSMMUG00000007329	20
ENSG00000102882	16	ENSMMUG00000017758	20
ENSG00000102886	16	ENSMMUG00000029164	20
ENSG00000102890	16	ENSMMUG00000020259	20
ENSG00000102891	16	ENSMMUG00000016108	20
ENSG00000102893	16	ENSMMUG00000004718	20
ENSG00000102897	16	ENSMMUG00000016752	20
ENSG00000102898	16	ENSMMUG00000012038	20
ENSG00000102900	16	ENSMMUG00000013778	20
ENSG00000102901	16	ENSMMUG00000007802	20
ENSG00000102904	16	ENSMMUG00000007803	20
ENSG00000102908	16	ENSMMUG00000018255	20
ENSG00000102910	16	ENSMMUG00000007397	20
ENSG00000102921	16	ENSMMUG00000018978	20
ENSG00000102924	16	ENSMMUG00000022217	20
ENSG00000102931	16	ENSMMUG00000048941	20
ENSG00000102934	16	ENSMMUG00000008924	20
ENSG00000102935	16	ENSMMUG00000021261	20
ENSG00000102962	16	ENSMMUG00000047747	20
ENSG00000102967	16	ENSMMUG00000023312	20
ENSG00000102970	16	ENSMMUG00000018202	20
ENSG00000102974	16	ENSMMUG00000009798	20
ENSG00000102977	16	ENSMMUG00000009805	20
ENSG00000102978	16	ENSMMUG00000020474	20
ENSG00000102981	16	ENSMMUG00000044865	20
ENSG00000102984	16	ENSMMUG00000016716	20
ENSG00000102996	16	ENSMMUG00000007052	20
ENSG00000103005	16	ENSMMUG00000022669	20
ENSG00000103018	16	ENSMMUG00000012039	20
ENSG00000103021	16	ENSMMUG00000044748	20
ENSG00000103023	16	ENSMMUG00000019451	20
ENSG00000103024	16	ENSMMUG00000003857	20
ENSG00000103034	16	ENSMMUG00000014618	20
ENSG00000103035	16	ENSMMUG00000042739	20
ENSG00000103037	16	ENSMMUG00000014621	20
ENSG00000103042	16	ENSMMUG00000006001	20
ENSG00000103043	16	ENSMMUG00000020421	20
ENSG00000103044	16	ENSMMUG00000010922	20
ENSG00000103047	16	ENSMMUG00000022177	20
ENSG00000103051	16	ENSMMUG00000003171	20
ENSG00000103056	16	ENSMMUG00000019496	20
ENSG00000103061	16	ENSMMUG00000002065	20
ENSG00000103064	16	ENSMMUG00000037975	20
ENSG00000103066	16	ENSMMUG00000010147	20
ENSG00000103067	16	ENSMMUG00000021846	20
ENSG00000103089	16	ENSMMUG00000008381	20
ENSG00000103091	16	ENSMMUG00000023471	20
ENSG00000103111	16	ENSMMUG00000005331	20
ENSG00000103121	16	ENSMMUG00000013081	20
ENSG00000103126	16	ENSMMUG00000000605	20
ENSG00000103145	16	ENSMMUG00000007665	20
ENSG00000103148	16	ENSMMUG00000000590	20
ENSG00000103152	16	ENSMMUG00000000589	20
ENSG00000103154	16	ENSMMUG00000029071	20
ENSG00000103160	16	ENSMMUG00000045253	20
ENSG00000103168	16	ENSMMUG00000008569	20
ENSG00000103174	16	ENSMMUG00000011499	20
ENSG00000103175	16	ENSMMUG00000004442	20
ENSG00000103184	16	ENSMMUG00000018047	20
ENSG00000103187	16	ENSMMUG00000007039	20
ENSG00000103196	16	ENSMMUG00000011245	20
ENSG00000103197	16	ENSMMUG00000002808	20
ENSG00000103199	16	ENSMMUG00000014313	20
ENSG00000103202	16	ENSMMUG00000000612	20
ENSG00000103227	16	ENSMMUG00000011133	20
ENSG00000103245	16	ENSMMUG00000006455	20
ENSG00000103248	16	ENSMMUG00000019500	20
ENSG00000103249	16	ENSMMUG00000021518	20
ENSG00000103253	16	ENSMMUG00000006453	20
ENSG00000103254	16	ENSMMUG00000011521	20
ENSG00000103266	16	ENSMMUG00000049219	20
ENSG00000103269	16	ENSMMUG00000001982	20
ENSG00000103274	16	ENSMMUG00000020614	20
ENSG00000103275	16	ENSMMUG00000044277	20
ENSG00000103310	16	ENSMMUG00000016759	20
ENSG00000103313	16	ENSMMUG00000017969	20
ENSG00000103316	16	ENSMMUG00000016764	20
ENSG00000103319	16	ENSMMUG00000017725	20
ENSG00000103326	16	ENSMMUG00000000615	20
ENSG00000103335	16	ENSMMUG00000007254	20
ENSG00000103342	16	ENSMMUG00000023178	20
ENSG00000103343	16	ENSMMUG00000007568	20
ENSG00000103351	16	ENSMMUG00000007569	20
ENSG00000103353	16	ENSMMUG00000020523	20
ENSG00000103355	16	ENSMMUG00000048657	20
ENSG00000103356	16	ENSMMUG00000020525	20
ENSG00000103363	16	ENSMMUG00000045123	20
ENSG00000103365	16	ENSMMUG00000020521	20
ENSG00000103375	16	ENSMMUG00000010472	20
ENSG00000103381	16	ENSMMUG00000037564	20
ENSG00000103404	16	ENSMMUG00000009845	20
ENSG00000103415	16	ENSMMUG00000009901	20
ENSG00000103423	16	ENSMMUG00000008134	20
ENSG00000103429	16	ENSMMUG00000008264	20
ENSG00000103449	16	ENSMMUG00000017200	20
ENSG00000103460	16	ENSMMUG00000013967	20
ENSG00000103479	16	ENSMMUG00000043440	20
ENSG00000103489	16	ENSMMUG00000017131	20
ENSG00000103490	16	ENSMMUG00000021704	20
ENSG00000103494	16	ENSMMUG00000020580	20
ENSG00000103495	16	ENSMMUG00000019826	20
ENSG00000103496	16	ENSMMUG00000048207	20
ENSG00000103502	16	ENSMMUG00000018985	20
ENSG00000103507	16	ENSMMUG00000016032	20
ENSG00000103510	16	ENSMMUG00000002030	20
ENSG00000103522	16	ENSMMUG00000008252	20
ENSG00000103528	16	ENSMMUG00000014757	20
ENSG00000103534	16	ENSMMUG00000013329	20
ENSG00000103540	16	ENSMMUG00000013334	20
ENSG00000103544	16	ENSMMUG00000013338	20
ENSG00000103546	16	ENSMMUG00000020238	20
ENSG00000103549	16	ENSMMUG00000020881	20
ENSG00000103550	16	ENSMMUG00000002707	20
ENSG00000103569	15	ENSMMUG00000011225	7
ENSG00000103599	15	ENSMMUG00000015458	7
ENSG00000103642	15	ENSMMUG00000003544	7
ENSG00000103647	15	ENSMMUG00000006356	7
ENSG00000103653	15	ENSMMUG00000015267	7
ENSG00000103657	15	ENSMMUG00000012117	7
ENSG00000103671	15	ENSMMUG00000009882	7
ENSG00000103710	15	ENSMMUG00000004029	7
ENSG00000103723	15	ENSMMUG00000000617	7
ENSG00000103740	15	ENSMMUG00000011839	7
ENSG00000103742	15	ENSMMUG00000021788	7
ENSG00000103769	15	ENSMMUG00000008006	7
ENSG00000103811	15	ENSMMUG00000010093	7
ENSG00000103852	15	ENSMMUG00000005224	7
ENSG00000103855	15	ENSMMUG00000005448	7
ENSG00000103876	15	ENSMMUG00000009361	7
ENSG00000103888	15	ENSMMUG00000002038	7
ENSG00000103932	15	ENSMMUG00000008175	7
ENSG00000103942	15	ENSMMUG00000008297	7
ENSG00000103966	15	ENSMMUG00000003846	7
ENSG00000103978	15	ENSMMUG00000014515	7
ENSG00000103994	15	ENSMMUG00000001547	7
ENSG00000103995	15	ENSMMUG00000009829	7
ENSG00000104044	15	ENSMMUG00000012027	7
ENSG00000104047	15	ENSMMUG00000013496	7
ENSG00000104055	15	ENSMMUG00000022256	7
ENSG00000104059	15	ENSMMUG00000019340	7
ENSG00000104064	15	ENSMMUG00000002879	7
ENSG00000104067	15	ENSMMUG00000017878	7
ENSG00000104081	15	ENSMMUG00000014372	7
ENSG00000104093	15	ENSMMUG00000000754	7
ENSG00000104112	15	ENSMMUG00000017435	7
ENSG00000104129	15	ENSMMUG00000013160	7
ENSG00000104131	15	ENSMMUG00000014288	7
ENSG00000104133	15	ENSMMUG00000014291	7
ENSG00000104140	15	ENSMMUG00000048165	7
ENSG00000104142	15	ENSMMUG00000014539	7
ENSG00000104147	15	ENSMMUG00000039985	7
ENSG00000104154	15	ENSMMUG00000011510	7
ENSG00000104164	15	ENSMMUG00000004449	7
ENSG00000104177	15	ENSMMUG00000018834	7
ENSG00000104213	8	ENSMMUG00000001153	8
ENSG00000104218	8	ENSMMUG00000014423	8
ENSG00000104219	8	ENSMMUG00000001872	8
ENSG00000104221	8	ENSMMUG00000003212	8
ENSG00000104228	8	ENSMMUG00000010092	8
ENSG00000104231	8	ENSMMUG00000002626	8
ENSG00000104237	8	ENSMMUG00000014640	8
ENSG00000104267	8	ENSMMUG00000014891	8
ENSG00000104290	8	ENSMMUG00000007486	8
ENSG00000104299	8	ENSMMUG00000019723	8
ENSG00000104312	8	ENSMMUG00000020725	8
ENSG00000104313	8	ENSMMUG00000007576	8
ENSG00000104320	8	ENSMMUG00000014519	8
ENSG00000104321	8	ENSMMUG00000010748	8
ENSG00000104324	8	ENSMMUG00000003878	8
ENSG00000104325	8	ENSMMUG00000006663	8
ENSG00000104327	8	ENSMMUG00000006664	8
ENSG00000104331	8	ENSMMUG00000014650	8
ENSG00000104332	8	ENSMMUG00000019082	8
ENSG00000104341	8	ENSMMUG00000008926	8
ENSG00000104343	8	ENSMMUG00000009755	8
ENSG00000104361	8	ENSMMUG00000017815	8
ENSG00000104365	8	ENSMMUG00000008351	8
ENSG00000104368	8	ENSMMUG00000014432	8
ENSG00000104371	8	ENSMMUG00000020794	8
ENSG00000104375	8	ENSMMUG00000028952	8
ENSG00000104381	8	ENSMMUG00000022326	8
ENSG00000104388	8	ENSMMUG00000017038	8
ENSG00000104408	8	ENSMMUG00000011359	8
ENSG00000104412	8	ENSMMUG00000019260	8
ENSG00000104413	8	ENSMMUG00000021112	8
ENSG00000104415	8	ENSMMUG00000010199	8
ENSG00000104419	8	ENSMMUG00000010200	8
ENSG00000104427	8	ENSMMUG00000001653	8
ENSG00000104432	8	ENSMMUG00000001655	8
ENSG00000104435	8	ENSMMUG00000000507	8
ENSG00000104442	8	ENSMMUG00000028974	8
ENSG00000104447	8	ENSMMUG00000003435	8
ENSG00000104450	8	ENSMMUG00000004386	8
ENSG00000104472	8	ENSMMUG00000008043	8
ENSG00000104490	8	ENSMMUG00000020996	8
ENSG00000104497	8	ENSMMUG00000007694	8
ENSG00000104499	8	ENSMMUG00000013627	8
ENSG00000104517	8	ENSMMUG00000020766	8
ENSG00000104518	8	ENSMMUG00000001633	8
ENSG00000104522	8	ENSMMUG00000014664	8
ENSG00000104524	8	ENSMMUG00000014666	8
ENSG00000104529	8	ENSMMUG00000020716	2
ENSG00000104537	8	ENSMMUG00000018008	8
ENSG00000104549	8	ENSMMUG00000003535	8
ENSG00000104611	8	ENSMMUG00000000129	8
ENSG00000104613	8	ENSMMUG00000011774	8
ENSG00000104626	8	ENSMMUG00000008867	8
ENSG00000104635	8	ENSMMUG00000017713	8
ENSG00000104643	8	ENSMMUG00000010963	8
ENSG00000104660	8	ENSMMUG00000014144	8
ENSG00000104671	8	ENSMMUG00000013735	8
ENSG00000104679	8	ENSMMUG00000016655	8
ENSG00000104687	8	ENSMMUG00000039030	8
ENSG00000104689	8	ENSMMUG00000007542	8
ENSG00000104691	8	ENSMMUG00000029011	8
ENSG00000104695	8	ENSMMUG00000020819	8
ENSG00000104714	8	ENSMMUG00000007764	8
ENSG00000104722	8	ENSMMUG00000000639	8
ENSG00000104723	8	ENSMMUG00000007068	8
ENSG00000104728	8	ENSMMUG00000009472	8
ENSG00000104731	16	ENSMMUG00000022867	20
ENSG00000104738	8	ENSMMUG00000015360	8
ENSG00000104755	8	ENSMMUG00000003137	8
ENSG00000104756	8	ENSMMUG00000010151	8
ENSG00000104760	8	ENSMMUG00000042698	8
ENSG00000104763	8	ENSMMUG00000015497	8
ENSG00000104765	8	ENSMMUG00000023646	8
ENSG00000104774	19	ENSMMUG00000016863	19
ENSG00000104783	19	ENSMMUG00000021267	19
ENSG00000104804	19	ENSMMUG00000048854	19
ENSG00000104805	19	ENSMMUG00000003904	19
ENSG00000104808	19	ENSMMUG00000003905	19
ENSG00000104812	19	ENSMMUG00000003911	19
ENSG00000104814	19	ENSMMUG00000021630	19
ENSG00000104824	19	ENSMMUG00000004877	19
ENSG00000104825	19	ENSMMUG00000023643	19
ENSG00000104833	19	ENSMMUG00000014216	19
ENSG00000104848	19	ENSMMUG00000040800	19
ENSG00000104852	19	ENSMMUG00000004928	19
ENSG00000104853	19	ENSMMUG00000002472	19
ENSG00000104856	19	ENSMMUG00000014153	19
ENSG00000104859	19	ENSMMUG00000014155	19
ENSG00000104863	19	ENSMMUG00000028734	19
ENSG00000104866	19	ENSMMUG00000022930	19
ENSG00000104870	19	ENSMMUG00000012273	19
ENSG00000104872	19	ENSMMUG00000022116	19
ENSG00000104879	19	ENSMMUG00000013477	19
ENSG00000104881	19	ENSMMUG00000000715	19
ENSG00000104883	19	ENSMMUG00000008409	19
ENSG00000104884	19	ENSMMUG00000014419	19
ENSG00000104885	19	ENSMMUG00000010107	19
ENSG00000104886	19	ENSMMUG00000010109	19
ENSG00000104888	19	ENSMMUG00000014800	19
ENSG00000104889	19	ENSMMUG00000005690	19
ENSG00000104892	19	ENSMMUG00000021891	19
ENSG00000104894	19	ENSMMUG00000014789	19
ENSG00000104897	19	ENSMMUG00000010111	19
ENSG00000104901	19	ENSMMUG00000014794	19
ENSG00000104903	19	ENSMMUG00000001166	19
ENSG00000104904	19	ENSMMUG00000017949	19
ENSG00000104907	19	ENSMMUG00000001167	19
ENSG00000104915	19	ENSMMUG00000011427	19
ENSG00000104921	19	ENSMMUG00000043304	19
ENSG00000104941	19	ENSMMUG00000006590	19
ENSG00000104946	19	ENSMMUG00000011626	19
ENSG00000104951	19	ENSMMUG00000011627	19
ENSG00000104953	19	ENSMMUG00000002912	19
ENSG00000104957	19	ENSMMUG00000017642	19
ENSG00000104960	19	ENSMMUG00000011618	19
ENSG00000104967	19	ENSMMUG00000004085	19
ENSG00000104969	19	ENSMMUG00000007265	19
ENSG00000104970	19	ENSMMUG00000013286	19
ENSG00000104973	19	ENSMMUG00000020175	19
ENSG00000104976	19	ENSMMUG00000006540	19
ENSG00000104980	19	ENSMMUG00000006542	19
ENSG00000104983	19	ENSMMUG00000008741	19
ENSG00000104998	19	ENSMMUG00000013538	19
ENSG00000105011	19	ENSMMUG00000014135	19
ENSG00000105048	19	ENSMMUG00000006169	19
ENSG00000105053	19	ENSMMUG00000010837	19
ENSG00000105058	19	ENSMMUG00000013076	19
ENSG00000105063	19	ENSMMUG00000020520	19
ENSG00000105072	19	ENSMMUG00000028852	19
ENSG00000105088	19	ENSMMUG00000016596	19
ENSG00000105127	19	ENSMMUG00000017984	19
ENSG00000105131	19	ENSMMUG00000021384	19
ENSG00000105135	19	ENSMMUG00000007729	19
ENSG00000105136	19	ENSMMUG00000014286	19
ENSG00000105137	19	ENSMMUG00000007726	19
ENSG00000105141	19	ENSMMUG00000018392	19
ENSG00000105143	19	ENSMMUG00000001735	19
ENSG00000105146	19	ENSMMUG00000000929	19
ENSG00000105171	19	ENSMMUG00000017424	19
ENSG00000105173	19	ENSMMUG00000020668	19
ENSG00000105176	19	ENSMMUG00000018441	19
ENSG00000105185	19	ENSMMUG00000015395	19
ENSG00000105186	19	ENSMMUG00000008041	19
ENSG00000105193	19	ENSMMUG00000019370	19
ENSG00000105198	19	ENSMMUG00000003527	19
ENSG00000105202	19	ENSMMUG00000022725	19
ENSG00000105204	19	ENSMMUG00000022726	19
ENSG00000105205	19	ENSMMUG00000009527	19
ENSG00000105219	19	ENSMMUG00000003622	19
ENSG00000105221	19	ENSMMUG00000003621	19
ENSG00000105223	19	ENSMMUG00000006071	19
ENSG00000105227	19	ENSMMUG00000022625	19
ENSG00000105229	19	ENSMMUG00000011018	19
ENSG00000105245	19	ENSMMUG00000004227	19
ENSG00000105246	19	ENSMMUG00000039187	19
ENSG00000105248	19	ENSMMUG00000010100	19
ENSG00000105251	19	ENSMMUG00000028927	19
ENSG00000105254	19	ENSMMUG00000000523	19
ENSG00000105255	19	ENSMMUG00000000268	19
ENSG00000105258	19	ENSMMUG00000000522	19
ENSG00000105261	19	ENSMMUG00000000520	19
ENSG00000105281	19	ENSMMUG00000022163	19
ENSG00000105287	19	ENSMMUG00000017927	19
ENSG00000105289	19	ENSMMUG00000028930	19
ENSG00000105290	19	ENSMMUG00000019753	19
ENSG00000105298	19	ENSMMUG00000028931	19
ENSG00000105321	19	ENSMMUG00000003075	19
ENSG00000105323	19	ENSMMUG00000008139	19
ENSG00000105325	19	ENSMMUG00000019870	19
ENSG00000105327	19	ENSMMUG00000012466	19
ENSG00000105329	19	ENSMMUG00000008142	19
ENSG00000105339	8	ENSMMUG00000013578	8
ENSG00000105341	19	ENSMMUG00000014348	19
ENSG00000105352	19	ENSMMUG00000013422	19
ENSG00000105355	19	ENSMMUG00000014816	19
ENSG00000105357	19	ENSMMUG00000001427	19
ENSG00000105364	19	ENSMMUG00000001219	19
ENSG00000105369	19	ENSMMUG00000047772	19
ENSG00000105371	19	ENSMMUG00000009343	19
ENSG00000105372	19	ENSMMUG00000013429	19
ENSG00000105373	19	ENSMMUG00000013348	19
ENSG00000105374	19	ENSMMUG00000015369	19
ENSG00000105376	19	ENSMMUG00000040746	19
ENSG00000105379	19	ENSMMUG00000023531	19
ENSG00000105383	19	ENSMMUG00000009486	19
ENSG00000105397	19	ENSMMUG00000003110	19
ENSG00000105398	19	ENSMMUG00000000047	19
ENSG00000105401	19	ENSMMUG00000003111	19
ENSG00000105402	19	ENSMMUG00000014727	19
ENSG00000105404	19	ENSMMUG00000017426	19
ENSG00000105409	19	ENSMMUG00000017427	19
ENSG00000105419	19	ENSMMUG00000013009	19
ENSG00000105428	19	ENSMMUG00000012312	19
ENSG00000105429	19	ENSMMUG00000014932	19
ENSG00000105438	19	ENSMMUG00000013072	19
ENSG00000105443	19	ENSMMUG00000001793	19
ENSG00000105447	19	ENSMMUG00000001791	19
ENSG00000105464	19	ENSMMUG00000005983	19
ENSG00000105467	19	ENSMMUG00000013070	19
ENSG00000105472	19	ENSMMUG00000002407	19
ENSG00000105486	19	ENSMMUG00000014591	19
ENSG00000105492	19	ENSMMUG00000012765	19
ENSG00000105497	19	ENSMMUG00000012764	19
ENSG00000105499	19	ENSMMUG00000014293	19
ENSG00000105507	19	ENSMMUG00000017942	19
ENSG00000105509	19	ENSMMUG00000013050	19
ENSG00000105514	19	ENSMMUG00000011317	19
ENSG00000105516	19	ENSMMUG00000022160	19
ENSG00000105518	19	ENSMMUG00000011313	19
ENSG00000105519	19	ENSMMUG00000011963	19
ENSG00000105520	19	ENSMMUG00000022207	19
ENSG00000105523	19	ENSMMUG00000022156	19
ENSG00000105538	19	ENSMMUG00000018415	19
ENSG00000105549	19	ENSMMUG00000028951	19
ENSG00000105550	19	ENSMMUG00000028737	19
ENSG00000105552	19	ENSMMUG00000010079	19
ENSG00000105556	19	ENSMMUG00000023717	19
ENSG00000105559	19	ENSMMUG00000009222	19
ENSG00000105568	19	ENSMMUG00000021986	19
ENSG00000105576	19	ENSMMUG00000005684	19
ENSG00000105605	19	ENSMMUG00000007975	19
ENSG00000105607	19	ENSMMUG00000007043	19
ENSG00000105609	19	ENSMMUG00000016574	19
ENSG00000105610	19	ENSMMUG00000011230	19
ENSG00000105612	19	ENSMMUG00000028866	19
ENSG00000105613	19	ENSMMUG00000008740	19
ENSG00000105617	19	ENSMMUG00000009701	19
ENSG00000105618	19	ENSMMUG00000022297	19
ENSG00000105619	19	ENSMMUG00000022296	19
ENSG00000105639	19	ENSMMUG00000010996	19
ENSG00000105640	19	ENSMMUG00000000218	19
ENSG00000105641	19	ENSMMUG00000028843	19
ENSG00000105642	19	ENSMMUG00000007398	19
ENSG00000105643	19	ENSMMUG00000007401	19
ENSG00000105649	19	ENSMMUG00000005027	19
ENSG00000105650	19	ENSMMUG00000005028	19
ENSG00000105655	19	ENSMMUG00000021183	19
ENSG00000105656	19	ENSMMUG00000013671	KQ742390.1
ENSG00000105662	19	ENSMMUG00000006509	19
ENSG00000105664	19	ENSMMUG00000006511	19
ENSG00000105668	19	ENSMMUG00000006711	19
ENSG00000105669	19	ENSMMUG00000023291	19
ENSG00000105671	19	ENSMMUG00000023293	19
ENSG00000105672	19	ENSMMUG00000018953	19
ENSG00000105675	19	ENSMMUG00000000845	19
ENSG00000105676	19	ENSMMUG00000019668	19
ENSG00000105677	19	ENSMMUG00000000841	19
ENSG00000105679	19	ENSMMUG00000000837	19
ENSG00000105695	19	ENSMMUG00000017617	19
ENSG00000105696	19	ENSMMUG00000009988	19
ENSG00000105697	19	ENSMMUG00000011288	19
ENSG00000105698	19	ENSMMUG00000011291	19
ENSG00000105699	19	ENSMMUG00000011294	19
ENSG00000105701	19	ENSMMUG00000009587	19
ENSG00000105705	19	ENSMMUG00000028834	19
ENSG00000105707	19	ENSMMUG00000004844	19
ENSG00000105708	19	ENSMMUG00000021989	19
ENSG00000105711	19	ENSMMUG00000004843	19
ENSG00000105717	19	ENSMMUG00000048108	19
ENSG00000105722	19	ENSMMUG00000014599	19
ENSG00000105726	19	ENSMMUG00000043400	19
ENSG00000105732	19	ENSMMUG00000013374	19
ENSG00000105737	19	ENSMMUG00000017431	19
ENSG00000105738	19	ENSMMUG00000003492	19
ENSG00000105750	19	ENSMMUG00000046766	19
ENSG00000105755	19	ENSMMUG00000019264	19
ENSG00000105767	19	ENSMMUG00000004615	19
ENSG00000105771	19	ENSMMUG00000014543	19
ENSG00000105778	7	ENSMMUG00000011770	3
ENSG00000105784	7	ENSMMUG00000006766	3
ENSG00000105792	7	ENSMMUG00000023654	3
ENSG00000105793	7	ENSMMUG00000023656	3
ENSG00000105810	7	ENSMMUG00000008698	3
ENSG00000105819	7	ENSMMUG00000003429	3
ENSG00000105821	7	ENSMMUG00000003430	3
ENSG00000105825	7	ENSMMUG00000020581	3
ENSG00000105829	7	ENSMMUG00000000007	3
ENSG00000105835	7	ENSMMUG00000003572	3
ENSG00000105849	7	ENSMMUG00000009609	3
ENSG00000105851	7	ENSMMUG00000011385	3
ENSG00000105852	7	ENSMMUG00000008013	3
ENSG00000105854	7	ENSMMUG00000008014	3
ENSG00000105855	7	ENSMMUG00000006898	3
ENSG00000105856	7	ENSMMUG00000015409	3
ENSG00000105866	7	ENSMMUG00000021684	3
ENSG00000105875	7	ENSMMUG00000002317	3
ENSG00000105877	7	ENSMMUG00000022764	3
ENSG00000105879	7	ENSMMUG00000017614	3
ENSG00000105887	7	ENSMMUG00000017108	3
ENSG00000105894	7	ENSMMUG00000011836	3
ENSG00000105926	7	ENSMMUG00000016936	3
ENSG00000105928	7	ENSMMUG00000016938	3
ENSG00000105929	7	ENSMMUG00000006547	3
ENSG00000105948	7	ENSMMUG00000013645	3
ENSG00000105953	7	ENSMMUG00000002651	3
ENSG00000105954	7	ENSMMUG00000008369	3
ENSG00000105963	7	ENSMMUG00000017064	3
ENSG00000105967	7	ENSMMUG00000038489	3
ENSG00000105968	7	ENSMMUG00000000962	3
ENSG00000105971	7	ENSMMUG00000045554	3
ENSG00000105974	7	ENSMMUG00000014122	3
ENSG00000105976	7	ENSMMUG00000006779	3
ENSG00000105982	7	ENSMMUG00000011748	3
ENSG00000105983	7	ENSMMUG00000011750	3
ENSG00000105989	7	ENSMMUG00000047811	3
ENSG00000105991	7	ENSMMUG00000012807	3
ENSG00000105993	7	ENSMMUG00000003176	3
ENSG00000106003	7	ENSMMUG00000016074	3
ENSG00000106009	7	ENSMMUG00000004087	3
ENSG00000106012	7	ENSMMUG00000006458	3
ENSG00000106013	7	ENSMMUG00000038675	3
ENSG00000106018	7	ENSMMUG00000009611	3
ENSG00000106025	7	ENSMMUG00000023310	3
ENSG00000106028	7	ENSMMUG00000022442	3
ENSG00000106031	7	ENSMMUG00000013463	3
ENSG00000106034	7	ENSMMUG00000002435	3
ENSG00000106049	7	ENSMMUG00000023134	3
ENSG00000106052	7	ENSMMUG00000022454	3
ENSG00000106066	7	ENSMMUG00000020184	3
ENSG00000106069	7	ENSMMUG00000008329	3
ENSG00000106070	7	ENSMMUG00000019992	3
ENSG00000106077	7	ENSMMUG00000014557	3
ENSG00000106078	7	ENSMMUG00000000246	3
ENSG00000106080	7	ENSMMUG00000012528	3
ENSG00000106086	7	ENSMMUG00000012529	3
ENSG00000106089	7	ENSMMUG00000014555	3
ENSG00000106100	7	ENSMMUG00000012547	3
ENSG00000106105	7	ENSMMUG00000004719	3
ENSG00000106113	7	ENSMMUG00000011758	3
ENSG00000106123	7	ENSMMUG00000016218	3
ENSG00000106125	7	ENSMMUG00000011761	3
ENSG00000106128	7	ENSMMUG00000011764	3
ENSG00000106144	7	ENSMMUG00000043809	3
ENSG00000106178	7	ENSMMUG00000037460	3
ENSG00000106211	7	ENSMMUG00000004124	3
ENSG00000106236	7	ENSMMUG00000011970	3
ENSG00000106244	7	ENSMMUG00000001460	3
ENSG00000106245	7	ENSMMUG00000000427	3
ENSG00000106258	7	ENSMMUG00000041926	3
ENSG00000106261	7	ENSMMUG00000008601	3
ENSG00000106263	7	ENSMMUG00000015529	3
ENSG00000106266	7	ENSMMUG00000022074	3
ENSG00000106268	7	ENSMMUG00000022072	3
ENSG00000106278	7	ENSMMUG00000012418	3
ENSG00000106290	7	ENSMMUG00000013450	3
ENSG00000106299	7	ENSMMUG00000011544	3
ENSG00000106302	7	ENSMMUG00000005718	3
ENSG00000106304	7	ENSMMUG00000005719	3
ENSG00000106305	7	ENSMMUG00000030420	3
ENSG00000106327	7	ENSMMUG00000002950	3
ENSG00000106328	7	ENSMMUG00000015427	3
ENSG00000106330	7	ENSMMUG00000002949	3
ENSG00000106331	7	ENSMMUG00000015429	3
ENSG00000106333	7	ENSMMUG00000002947	3
ENSG00000106336	7	ENSMMUG00000015309	3
ENSG00000106341	7	ENSMMUG00000022485	3
ENSG00000106344	7	ENSMMUG00000007250	3
ENSG00000106346	7	ENSMMUG00000020321	3
ENSG00000106348	7	ENSMMUG00000014509	3
ENSG00000106351	7	ENSMMUG00000048302	3
ENSG00000106355	7	ENSMMUG00000045129	3
ENSG00000106366	7	ENSMMUG00000009926	13
ENSG00000106367	7	ENSMMUG00000010162	3
ENSG00000106384	7	ENSMMUG00000012213	3
ENSG00000106392	7	ENSMMUG00000038690	3
ENSG00000106397	7	ENSMMUG00000006949	3
ENSG00000106400	7	ENSMMUG00000006951	3
ENSG00000106404	7	ENSMMUG00000046997	3
ENSG00000106410	7	ENSMMUG00000020609	3
ENSG00000106415	7	ENSMMUG00000045449	3
ENSG00000106436	7	ENSMMUG00000030385	3
ENSG00000106443	7	ENSMMUG00000020895	3
ENSG00000106459	7	ENSMMUG00000041919	3
ENSG00000106460	7	ENSMMUG00000005159	3
ENSG00000106462	7	ENSMMUG00000013494	3
ENSG00000106477	7	ENSMMUG00000009496	3
ENSG00000106479	7	ENSMMUG00000011122	3
ENSG00000106483	7	ENSMMUG00000021089	3
ENSG00000106484	7	ENSMMUG00000009499	3
ENSG00000106511	7	ENSMMUG00000004976	3
ENSG00000106524	7	ENSMMUG00000017041	3
ENSG00000106536	7	ENSMMUG00000017106	3
ENSG00000106537	7	ENSMMUG00000017049	3
ENSG00000106538	7	ENSMMUG00000005232	3
ENSG00000106541	7	ENSMMUG00000017050	3
ENSG00000106560	7	ENSMMUG00000017008	3
ENSG00000106565	7	ENSMMUG00000008596	3
ENSG00000106571	7	ENSMMUG00000013614	3
ENSG00000106588	7	ENSMMUG00000022451	3
ENSG00000106591	7	ENSMMUG00000000026	X
ENSG00000106603	7	ENSMMUG00000019023	3
ENSG00000106605	7	ENSMMUG00000017382	3
ENSG00000106608	7	ENSMMUG00000002408	3
ENSG00000106609	7	ENSMMUG00000015843	3
