Macaque	ChrMacaque	Chicken	ChrChicken
ENSMMUG00000002899	1	ENSGALG00000008939	8
ENSMMUG00000002907	2	ENSGALG00000005710	2
ENSMMUG00000002909	7	ENSGALG00000026557	5
ENSMMUG00000002910	7	ENSGALG00000010301	5
ENSMMUG00000002911	7	ENSGALG00000010304	5
ENSMMUG00000002916	10	ENSGALG00000008716	3
ENSMMUG00000002917	14	ENSGALG00000004267	5
ENSMMUG00000002919	14	ENSGALG00000006567	24
ENSMMUG00000002921	11	ENSGALG00000019355	1
ENSMMUG00000002922	14	ENSGALG00000006527	24
ENSMMUG00000002923	16	ENSGALG00000030907	27
ENSMMUG00000002925	2	ENSGALG00000014970	1
ENSMMUG00000002930	9	ENSGALG00000007667	2
ENSMMUG00000002931	16	ENSGALG00000040017	27
ENSMMUG00000002932	1	ENSGALG00000039376	1
ENSMMUG00000002935	2	ENSGALG00000015253	1
ENSMMUG00000002936	4	ENSGALG00000012705	2
ENSMMUG00000002939	2	ENSGALG00000015267	1
ENSMMUG00000002940	4	ENSGALG00000012709	2
ENSMMUG00000002942	16	ENSGALG00000004916	14
ENSMMUG00000002943	2	ENSGALG00000029980	12
ENSMMUG00000002944	16	ENSGALG00000001624	27
ENSMMUG00000002945	2	ENSGALG00000015271	1
ENSMMUG00000002946	2	ENSGALG00000015263	1
ENSMMUG00000002947	3	ENSGALG00000037835	AADN04008257.1
ENSMMUG00000002948	2	ENSGALG00000006824	12
ENSMMUG00000002951	8	ENSGALG00000029264	2
ENSMMUG00000002952	2	ENSGALG00000006802	12
ENSMMUG00000002958	16	ENSGALG00000027771	18
ENSMMUG00000002959	16	ENSGALG00000027152	18
ENSMMUG00000002961	19	ENSGALG00000003238	28
ENSMMUG00000002963	14	ENSGALG00000043511	24
ENSMMUG00000002964	19	ENSGALG00000042503	AADN04001595.1
ENSMMUG00000002968	1	ENSGALG00000013639	23
ENSMMUG00000002974	19	ENSGALG00000032854	AADN04001212.1
ENSMMUG00000002975	16	ENSGALG00000027641	19
ENSMMUG00000002976	16	ENSGALG00000005468	19
ENSMMUG00000002982	10	ENSGALG00000045410	4
ENSMMUG00000002984	20	ENSGALG00000034829	14
ENSMMUG00000002985	9	ENSGALG00000005637	6
ENSMMUG00000002987	3	ENSGALG00000034024	2
ENSMMUG00000002990	9	ENSGALG00000005653	6
ENSMMUG00000002991	20	ENSGALG00000041989	14
ENSMMUG00000002993	9	ENSGALG00000042551	6
ENSMMUG00000002995	3	ENSGALG00000012823	1
ENSMMUG00000002999	16	ENSGALG00000028145	3
ENSMMUG00000003000	9	ENSGALG00000005687	6
ENSMMUG00000003001	9	ENSGALG00000007351	2
ENSMMUG00000003003	13	ENSGALG00000043587	3
ENSMMUG00000003005	10	ENSGALG00000012442	1
ENSMMUG00000003006	15	ENSGALG00000013493	Z
ENSMMUG00000003007	10	ENSGALG00000042365	1
ENSMMUG00000003013	7	ENSGALG00000039811	1
ENSMMUG00000003015	9	ENSGALG00000021231	6
ENSMMUG00000003017	8	ENSGALG00000033568	2
ENSMMUG00000003018	8	ENSGALG00000032701	2
ENSMMUG00000003020	3	ENSGALG00000015813	1
ENSMMUG00000003021	14	ENSGALG00000013304	5
ENSMMUG00000003023	3	ENSGALG00000015821	1
ENSMMUG00000003024	3	ENSGALG00000015822	1
ENSMMUG00000003031	19	ENSGALG00000029971	KQ759549.1
ENSMMUG00000003036	19	ENSGALG00000029354	AADN04000659.1
ENSMMUG00000003040	18	ENSGALG00000031142	Z
ENSMMUG00000003041	18	ENSGALG00000012984	28
ENSMMUG00000003042	16	ENSGALG00000042071	19
ENSMMUG00000003045	19	ENSGALG00000009703	28
ENSMMUG00000003046	19	ENSGALG00000040182	28
ENSMMUG00000003047	19	ENSGALG00000015200	28
ENSMMUG00000003048	2	ENSGALG00000005367	9
ENSMMUG00000003049	X	ENSGALG00000005775	4
ENSMMUG00000003050	19	ENSGALG00000015195	28
ENSMMUG00000003051	2	ENSGALG00000005357	9
ENSMMUG00000003053	19	ENSGALG00000042153	28
ENSMMUG00000003056	19	ENSGALG00000026384	28
ENSMMUG00000003061	2	ENSGALG00000015193	1
ENSMMUG00000003062	6	ENSGALG00000031487	13
ENSMMUG00000003067	6	ENSGALG00000002863	13
ENSMMUG00000003071	X	ENSGALG00000032045	4
ENSMMUG00000003072	4	ENSGALG00000014925	3
ENSMMUG00000003073	11	ENSGALG00000033609	33
ENSMMUG00000003074	2	ENSGALG00000006526	12
ENSMMUG00000003078	2	ENSGALG00000038044	1
ENSMMUG00000003081	15	ENSGALG00000001797	17
ENSMMUG00000003084	15	ENSGALG00000001889	17
ENSMMUG00000003086	15	ENSGALG00000044726	17
ENSMMUG00000003089	15	ENSGALG00000001921	17
ENSMMUG00000003090	9	ENSGALG00000023415	6
ENSMMUG00000003098	15	ENSGALG00000001950	17
ENSMMUG00000003100	2	ENSGALG00000026907	9
ENSMMUG00000003103	9	ENSGALG00000010517	6
ENSMMUG00000003104	14	ENSGALG00000006697	5
ENSMMUG00000003105	15	ENSGALG00000001964	17
ENSMMUG00000003112	X	ENSGALG00000029329	4
ENSMMUG00000003116	20	ENSGALG00000031851	11
ENSMMUG00000003118	20	ENSGALG00000003837	11
ENSMMUG00000003120	7	ENSGALG00000009946	5
ENSMMUG00000003123	7	ENSGALG00000009936	5
ENSMMUG00000003128	3	ENSGALG00000001076	19
ENSMMUG00000003130	6	ENSGALG00000006794	13
ENSMMUG00000003132	15	ENSGALG00000015113	Z
ENSMMUG00000003134	4	ENSGALG00000013651	3
ENSMMUG00000003135	4	ENSGALG00000014843	3
ENSMMUG00000003138	14	ENSGALG00000017327	1
ENSMMUG00000003141	14	ENSGALG00000001161	24
ENSMMUG00000003142	14	ENSGALG00000017323	1
ENSMMUG00000003143	6	ENSGALG00000014804	Z
ENSMMUG00000003144	14	ENSGALG00000001167	24
ENSMMUG00000003145	14	ENSGALG00000001181	24
ENSMMUG00000003146	6	ENSGALG00000026159	13
ENSMMUG00000003148	1	ENSGALG00000009965	8
ENSMMUG00000003149	1	ENSGALG00000009971	8
ENSMMUG00000003152	1	ENSGALG00000009988	8
ENSMMUG00000003158	16	ENSGALG00000003426	18
ENSMMUG00000003161	19	ENSGALG00000003499	28
ENSMMUG00000003162	19	ENSGALG00000003428	28
ENSMMUG00000003167	3	ENSGALG00000007149	14
ENSMMUG00000003169	2	ENSGALG00000037387	9
ENSMMUG00000003174	20	ENSGALG00000002648	11
ENSMMUG00000003178	8	ENSGALG00000034424	2
ENSMMUG00000003180	11	ENSGALG00000009859	1
ENSMMUG00000003184	7	ENSGALG00000010150	5
ENSMMUG00000003189	9	ENSGALG00000004809	6
ENSMMUG00000003191	1	ENSGALG00000029528	25
ENSMMUG00000003193	9	ENSGALG00000008677	2
ENSMMUG00000003200	12	ENSGALG00000011099	7
ENSMMUG00000003201	X	ENSGALG00000041078	1
ENSMMUG00000003202	12	ENSGALG00000041192	7
ENSMMUG00000003204	8	ENSGALG00000003118	22
ENSMMUG00000003210	4	ENSGALG00000028318	26
ENSMMUG00000003212	8	ENSGALG00000003124	22
ENSMMUG00000003214	4	ENSGALG00000000544	26
ENSMMUG00000003216	2	ENSGALG00000040948	9
ENSMMUG00000003217	11	ENSGALG00000014085	1
ENSMMUG00000003218	11	ENSGALG00000027435	1
ENSMMUG00000003221	11	ENSGALG00000012944	1
ENSMMUG00000003237	13	ENSGALG00000035016	3
ENSMMUG00000003239	7	ENSGALG00000034982	10
ENSMMUG00000003240	7	ENSGALG00000009431	5
ENSMMUG00000003244	14	ENSGALG00000006809	24
ENSMMUG00000003248	6	ENSGALG00000015641	Z
ENSMMUG00000003249	5	ENSGALG00000011963	4
ENSMMUG00000003261	7	ENSGALG00000037722	AADN04003746.1
ENSMMUG00000003262	2	ENSGALG00000037238	9
ENSMMUG00000003263	2	ENSGALG00000035116	9
ENSMMUG00000003264	1	ENSGALG00000011047	8
ENSMMUG00000003265	1	ENSGALG00000011058	8
ENSMMUG00000003267	1	ENSGALG00000026558	21
ENSMMUG00000003269	1	ENSGALG00000039532	21
ENSMMUG00000003272	10	ENSGALG00000013057	1
ENSMMUG00000003274	X	ENSGALG00000033002	4
ENSMMUG00000003275	10	ENSGALG00000008947	3
ENSMMUG00000003276	10	ENSGALG00000008918	3
ENSMMUG00000003277	2	ENSGALG00000029235	2
ENSMMUG00000003279	6	ENSGALG00000000946	13
ENSMMUG00000003280	6	ENSGALG00000000949	13
ENSMMUG00000003282	5	ENSGALG00000015373	Z
ENSMMUG00000003283	3	ENSGALG00000004209	14
ENSMMUG00000003286	5	ENSGALG00000020538	Z
ENSMMUG00000003288	20	ENSGALG00000033338	11
ENSMMUG00000003289	16	ENSGALG00000000379	27
ENSMMUG00000003291	16	ENSGALG00000044464	18
ENSMMUG00000003292	16	ENSGALG00000006880	18
ENSMMUG00000003294	15	ENSGALG00000026221	17
ENSMMUG00000003297	11	ENSGALG00000044894	15
ENSMMUG00000003300	14	ENSGALG00000001370	24
ENSMMUG00000003301	14	ENSGALG00000001407	24
ENSMMUG00000003302	18	ENSGALG00000015211	2
ENSMMUG00000003310	13	ENSGALG00000010020	3
ENSMMUG00000003311	1	ENSGALG00000040864	26
ENSMMUG00000003312	6	ENSGALG00000026899	Z
ENSMMUG00000003314	15	ENSGALG00000002452	Z
ENSMMUG00000003316	6	ENSGALG00000000255	Z
ENSMMUG00000003320	5	ENSGALG00000010195	4
ENSMMUG00000003324	16	ENSGALG00000046413	27
ENSMMUG00000003325	16	ENSGALG00000036683	27
ENSMMUG00000003333	5	ENSGALG00000043675	4
ENSMMUG00000003334	10	ENSGALG00000045218	15
ENSMMUG00000003335	14	ENSGALG00000006583	5
ENSMMUG00000003338	5	ENSGALG00000038372	4
ENSMMUG00000003343	1	ENSGALG00000039713	23
ENSMMUG00000003346	5	ENSGALG00000011844	4
ENSMMUG00000003347	8	ENSGALG00000031035	2
ENSMMUG00000003348	8	ENSGALG00000000314	22
ENSMMUG00000003349	16	ENSGALG00000004902	14
ENSMMUG00000003353	2	ENSGALG00000003103	12
ENSMMUG00000003355	13	ENSGALG00000016487	3
ENSMMUG00000003356	15	ENSGALG00000039990	17
ENSMMUG00000003357	10	ENSGALG00000041687	1
ENSMMUG00000003360	10	ENSGALG00000011914	1
ENSMMUG00000003363	5	ENSGALG00000041717	4
ENSMMUG00000003369	1	ENSGALG00000001319	26
ENSMMUG00000003371	17	ENSGALG00000017064	1
ENSMMUG00000003375	X	ENSGALG00000032485	AADN04002404.1
ENSMMUG00000003376	10	ENSGALG00000038919	20
ENSMMUG00000003378	10	ENSGALG00000003559	20
ENSMMUG00000003383	16	ENSGALG00000038645	27
ENSMMUG00000003385	10	ENSGALG00000003658	20
ENSMMUG00000003394	14	ENSGALG00000017189	1
ENSMMUG00000003395	7	ENSGALG00000011088	5
ENSMMUG00000003396	14	ENSGALG00000038154	1
ENSMMUG00000003397	7	ENSGALG00000011093	5
ENSMMUG00000003400	14	ENSGALG00000017186	1
ENSMMUG00000003401	15	ENSGALG00000012607	Z
ENSMMUG00000003402	10	ENSGALG00000004028	20
ENSMMUG00000003404	10	ENSGALG00000003952	20
ENSMMUG00000003405	14	ENSGALG00000017184	1
ENSMMUG00000003409	10	ENSGALG00000003921	20
ENSMMUG00000003410	10	ENSGALG00000003909	20
ENSMMUG00000003414	16	ENSGALG00000007522	18
ENSMMUG00000003421	16	ENSGALG00000007389	18
ENSMMUG00000003424	16	ENSGALG00000043975	18
ENSMMUG00000003427	3	ENSGALG00000016132	1
ENSMMUG00000003428	3	ENSGALG00000016128	1
ENSMMUG00000003429	3	ENSGALG00000008280	1
ENSMMUG00000003430	3	ENSGALG00000008249	1
ENSMMUG00000003431	16	ENSGALG00000005504	19
ENSMMUG00000003433	3	ENSGALG00000008222	1
ENSMMUG00000003435	8	ENSGALG00000031700	2
ENSMMUG00000003439	19	ENSGALG00000041643	28
ENSMMUG00000003442	1	ENSGALG00000006113	8
ENSMMUG00000003443	7	ENSGALG00000011116	5
ENSMMUG00000003452	16	ENSGALG00000026428	18
ENSMMUG00000003453	16	ENSGALG00000001279	27
ENSMMUG00000003456	X	ENSGALG00000006080	4
ENSMMUG00000003457	1	ENSGALG00000028530	8
ENSMMUG00000003458	20	ENSGALG00000034325	14
ENSMMUG00000003462	4	ENSGALG00000015768	3
ENSMMUG00000003463	4	ENSGALG00000015762	3
ENSMMUG00000003468	19	ENSGALG00000029968	28
ENSMMUG00000003472	1	ENSGALG00000009305	3
ENSMMUG00000003473	13	ENSGALG00000020084	3
ENSMMUG00000003474	13	ENSGALG00000009078	3
ENSMMUG00000003475	X	ENSGALG00000006049	4
ENSMMUG00000003476	13	ENSGALG00000009086	3
ENSMMUG00000003479	X	ENSGALG00000023843	4
ENSMMUG00000003482	X	ENSGALG00000016571	1
ENSMMUG00000003483	7	ENSGALG00000011372	5
ENSMMUG00000003484	7	ENSGALG00000011373	5
ENSMMUG00000003485	18	ENSGALG00000013889	2
ENSMMUG00000003486	1	ENSGALG00000002549	8
ENSMMUG00000003488	5	ENSGALG00000045983	4
ENSMMUG00000003490	13	ENSGALG00000009990	3
ENSMMUG00000003494	2	ENSGALG00000035578	12
ENSMMUG00000003497	6	ENSGALG00000004320	13
ENSMMUG00000003498	7	ENSGALG00000006002	10
ENSMMUG00000003506	12	ENSGALG00000043618	7
ENSMMUG00000003511	4	ENSGALG00000016707	3
ENSMMUG00000003514	7	ENSGALG00000012037	5
ENSMMUG00000003515	16	ENSGALG00000004246	19
ENSMMUG00000003518	5	ENSGALG00000010610	4
ENSMMUG00000003519	5	ENSGALG00000045063	4
ENSMMUG00000003520	5	ENSGALG00000010601	4
ENSMMUG00000003521	11	ENSGALG00000003901	15
ENSMMUG00000003523	13	ENSGALG00000015815	4
ENSMMUG00000003530	7	ENSGALG00000010052	5
ENSMMUG00000003532	13	ENSGALG00000015902	4
ENSMMUG00000003533	16	ENSGALG00000041025	18
ENSMMUG00000003534	16	ENSGALG00000002008	18
ENSMMUG00000003535	8	ENSGALG00000036915	2
ENSMMUG00000003538	8	ENSGALG00000032732	2
ENSMMUG00000003540	2	ENSGALG00000009537	9
ENSMMUG00000003543	16	ENSGALG00000021539	18
ENSMMUG00000003544	7	ENSGALG00000003505	10
ENSMMUG00000003546	1	ENSGALG00000031606	8
ENSMMUG00000003548	9	ENSGALG00000008802	6
ENSMMUG00000003555	19	ENSGALG00000037131	AADN04002271.1
ENSMMUG00000003558	17	ENSGALG00000016875	1
ENSMMUG00000003560	17	ENSGALG00000016921	1
ENSMMUG00000003561	18	ENSGALG00000039928	Z
ENSMMUG00000003562	18	ENSGALG00000036259	Z
ENSMMUG00000003564	X	ENSGALG00000004107	4
ENSMMUG00000003565	7	ENSGALG00000012173	5
ENSMMUG00000003566	18	ENSGALG00000040136	Z
ENSMMUG00000003567	7	ENSGALG00000012165	5
ENSMMUG00000003569	6	ENSGALG00000025915	Z
ENSMMUG00000003571	11	ENSGALG00000011594	1
ENSMMUG00000003572	3	ENSGALG00000008098	1
ENSMMUG00000003577	6	ENSGALG00000027714	Z
ENSMMUG00000003578	6	ENSGALG00000015617	Z
ENSMMUG00000003582	1	ENSGALG00000001561	21
ENSMMUG00000003585	17	ENSGALG00000017049	1
ENSMMUG00000003586	6	ENSGALG00000015008	Z
ENSMMUG00000003588	17	ENSGALG00000017048	1
ENSMMUG00000003589	9	ENSGALG00000003135	6
ENSMMUG00000003591	8	ENSGALG00000003349	22
ENSMMUG00000003592	2	ENSGALG00000015069	1
ENSMMUG00000003594	2	ENSGALG00000008909	9
ENSMMUG00000003595	2	ENSGALG00000043386	9
ENSMMUG00000003598	6	ENSGALG00000000107	16
ENSMMUG00000003604	6	ENSGALG00000000122	16
ENSMMUG00000003607	9	ENSGALG00000001934	6
ENSMMUG00000003610	9	ENSGALG00000008434	6
ENSMMUG00000003612	19	ENSGALG00000041323	KQ759610.1
ENSMMUG00000003614	5	ENSGALG00000014206	4
ENSMMUG00000003618	14	ENSGALG00000006830	5
ENSMMUG00000003619	3	ENSGALG00000011036	2
ENSMMUG00000003620	14	ENSGALG00000006799	5
ENSMMUG00000003621	19	ENSGALG00000037736	AADN04006090.1
ENSMMUG00000003625	7	ENSGALG00000009345	5
ENSMMUG00000003629	5	ENSGALG00000031538	4
ENSMMUG00000003633	10	ENSGALG00000016017	4
ENSMMUG00000003636	1	ENSGALG00000010570	8
ENSMMUG00000003641	7	ENSGALG00000011505	5
ENSMMUG00000003644	2	ENSGALG00000043359	12
ENSMMUG00000003653	7	ENSGALG00000037336	10
ENSMMUG00000003657	16	ENSGALG00000004926	14
ENSMMUG00000003658	7	ENSGALG00000042088	5
ENSMMUG00000003659	5	ENSGALG00000010013	4
ENSMMUG00000003662	20	ENSGALG00000005435	11
ENSMMUG00000003664	11	ENSGALG00000011814	1
ENSMMUG00000003665	11	ENSGALG00000029583	1
ENSMMUG00000003668	15	ENSGALG00000000993	17
ENSMMUG00000003669	11	ENSGALG00000026661	1
ENSMMUG00000003671	15	ENSGALG00000001124	17
ENSMMUG00000003673	1	ENSGALG00000000724	26
ENSMMUG00000003676	5	ENSGALG00000014337	4
ENSMMUG00000003678	4	ENSGALG00000015231	3
ENSMMUG00000003683	10	ENSGALG00000007015	20
ENSMMUG00000003685	11	ENSGALG00000013211	1
ENSMMUG00000003693	7	ENSGALG00000007643	10
ENSMMUG00000003697	5	ENSGALG00000009880	4
ENSMMUG00000003700	2	ENSGALG00000046159	9
ENSMMUG00000003703	3	ENSGALG00000029670	1
ENSMMUG00000003704	2	ENSGALG00000008703	9
ENSMMUG00000003705	9	ENSGALG00000029863	6
ENSMMUG00000003706	9	ENSGALG00000031305	6
ENSMMUG00000003707	12	ENSGALG00000041257	7
ENSMMUG00000003708	4	ENSGALG00000013941	3
ENSMMUG00000003709	4	ENSGALG00000019967	3
ENSMMUG00000003711	11	ENSGALG00000012658	1
ENSMMUG00000003715	17	ENSGALG00000016905	1
ENSMMUG00000003717	14	ENSGALG00000017244	1
ENSMMUG00000003718	15	ENSGALG00000012575	Z
ENSMMUG00000003719	4	ENSGALG00000016726	3
ENSMMUG00000003721	2	ENSGALG00000036133	12
ENSMMUG00000003722	3	ENSGALG00000035725	2
ENSMMUG00000003723	6	ENSGALG00000044387	13
ENSMMUG00000003725	4	ENSGALG00000010145	3
ENSMMUG00000003727	1	ENSGALG00000027984	8
ENSMMUG00000003728	1	ENSGALG00000020879	8
ENSMMUG00000003730	1	ENSGALG00000005229	8
ENSMMUG00000003733	8	ENSGALG00000035429	2
ENSMMUG00000003735	11	ENSGALG00000002242	15
ENSMMUG00000003736	5	ENSGALG00000012304	4
ENSMMUG00000003739	5	ENSGALG00000012308	4
ENSMMUG00000003742	2	ENSGALG00000034860	9
ENSMMUG00000003745	X	ENSGALG00000008507	4
ENSMMUG00000003747	9	ENSGALG00000008160	6
ENSMMUG00000003748	5	ENSGALG00000010847	4
ENSMMUG00000003749	9	ENSGALG00000008179	6
ENSMMUG00000003750	4	ENSGALG00000013754	3
ENSMMUG00000003753	17	ENSGALG00000016971	1
ENSMMUG00000003755	11	ENSGALG00000042807	AADN04004088.1
ENSMMUG00000003758	11	ENSGALG00000001109	27
ENSMMUG00000003760	7	ENSGALG00000002160	10
ENSMMUG00000003762	11	ENSGALG00000033957	AADN04000737.1
ENSMMUG00000003764	10	ENSGALG00000043058	1
ENSMMUG00000003768	1	ENSGALG00000004205	8
ENSMMUG00000003769	1	ENSGALG00000004173	8
ENSMMUG00000003770	1	ENSGALG00000004163	8
ENSMMUG00000003771	17	ENSGALG00000017084	1
ENSMMUG00000003773	2	ENSGALG00000006405	9
ENSMMUG00000003774	2	ENSGALG00000006408	9
ENSMMUG00000003776	5	ENSGALG00000011762	4
ENSMMUG00000003780	15	ENSGALG00000015109	Z
ENSMMUG00000003782	15	ENSGALG00000016438	Z
ENSMMUG00000003783	7	ENSGALG00000001664	10
ENSMMUG00000003784	16	ENSGALG00000006011	19
ENSMMUG00000003785	1	ENSGALG00000001024	21
ENSMMUG00000003786	1	ENSGALG00000001017	21
ENSMMUG00000003787	6	ENSGALG00000013397	2
ENSMMUG00000003788	16	ENSGALG00000030401	19
ENSMMUG00000003789	6	ENSGALG00000039738	2
ENSMMUG00000003795	15	ENSGALG00000004152	17
ENSMMUG00000003797	15	ENSGALG00000041104	17
ENSMMUG00000003799	15	ENSGALG00000004088	17
ENSMMUG00000003802	9	ENSGALG00000010493	6
ENSMMUG00000003815	19	ENSGALG00000024298	28
ENSMMUG00000003820	2	ENSGALG00000039830	2
ENSMMUG00000003823	2	ENSGALG00000032561	2
ENSMMUG00000003825	3	ENSGALG00000004394	7
ENSMMUG00000003827	5	ENSGALG00000035219	4
ENSMMUG00000003833	5	ENSGALG00000011664	4
ENSMMUG00000003834	7	ENSGALG00000010323	5
ENSMMUG00000003839	7	ENSGALG00000008692	5
ENSMMUG00000003840	3	ENSGALG00000043302	19
ENSMMUG00000003843	3	ENSGALG00000029449	19
ENSMMUG00000003844	7	ENSGALG00000008940	5
ENSMMUG00000003846	7	ENSGALG00000008950	5
ENSMMUG00000003849	9	ENSGALG00000021039	6
ENSMMUG00000003851	2	ENSGALG00000011744	7
ENSMMUG00000003853	10	ENSGALG00000039658	1
ENSMMUG00000003854	10	ENSGALG00000012422	1
ENSMMUG00000003855	12	ENSGALG00000009012	7
ENSMMUG00000003857	20	ENSGALG00000027635	14
ENSMMUG00000003870	10	ENSGALG00000041365	20
ENSMMUG00000003873	14	ENSGALG00000031657	5
ENSMMUG00000003874	14	ENSGALG00000006613	5
ENSMMUG00000003875	4	ENSGALG00000008022	16
ENSMMUG00000003877	11	ENSGALG00000033877	KQ759644.1
ENSMMUG00000003878	8	ENSGALG00000030866	2
ENSMMUG00000003887	1	ENSGALG00000027189	21
ENSMMUG00000003890	7	ENSGALG00000016736	1
ENSMMUG00000003892	7	ENSGALG00000016737	1
ENSMMUG00000003894	16	ENSGALG00000003403	27
ENSMMUG00000003896	X	ENSGALG00000016602	1
ENSMMUG00000003898	17	ENSGALG00000029764	4
ENSMMUG00000003905	19	ENSGALG00000031013	AADN04000777.1
ENSMMUG00000003912	14	ENSGALG00000029648	5
ENSMMUG00000003913	7	ENSGALG00000012237	5
ENSMMUG00000003914	7	ENSGALG00000012241	5
ENSMMUG00000003915	19	ENSGALG00000036359	KQ759715.1
ENSMMUG00000003919	6	ENSGALG00000003377	13
ENSMMUG00000003922	X	ENSGALG00000043447	4
ENSMMUG00000003924	9	ENSGALG00000001907	6
ENSMMUG00000003927	2	ENSGALG00000021180	9
ENSMMUG00000003932	X	ENSGALG00000016655	1
ENSMMUG00000003942	11	ENSGALG00000036360	15
ENSMMUG00000003947	12	ENSGALG00000009287	7
ENSMMUG00000003950	14	ENSGALG00000040018	1
ENSMMUG00000003954	12	ENSGALG00000009286	7
ENSMMUG00000003955	14	ENSGALG00000027762	1
ENSMMUG00000003956	3	ENSGALG00000041867	1
ENSMMUG00000003958	14	ENSGALG00000041762	1
ENSMMUG00000003961	3	ENSGALG00000030363	1
ENSMMUG00000003962	14	ENSGALG00000017350	1
ENSMMUG00000003966	6	ENSGALG00000014851	Z
ENSMMUG00000003968	6	ENSGALG00000033098	Z
ENSMMUG00000003974	18	ENSGALG00000014935	2
ENSMMUG00000003979	13	ENSGALG00000008866	3
ENSMMUG00000003981	16	ENSGALG00000026940	18
ENSMMUG00000003984	6	ENSGALG00000014884	Z
ENSMMUG00000003987	1	ENSGALG00000034761	21
ENSMMUG00000003992	KQ743396.1	ENSGALG00000041334	2
ENSMMUG00000003996	6	ENSGALG00000014381	13
ENSMMUG00000003997	6	ENSGALG00000023920	13
ENSMMUG00000003999	4	ENSGALG00000001418	26
ENSMMUG00000004000	6	ENSGALG00000006708	13
ENSMMUG00000004001	1	ENSGALG00000026033	26
ENSMMUG00000004002	6	ENSGALG00000006057	13
ENSMMUG00000004004	16	ENSGALG00000003859	27
ENSMMUG00000004011	8	ENSGALG00000042599	2
ENSMMUG00000004012	14	ENSGALG00000006873	5
ENSMMUG00000004013	6	ENSGALG00000006371	13
ENSMMUG00000004014	14	ENSGALG00000014297	5
ENSMMUG00000004024	14	ENSGALG00000034822	5
ENSMMUG00000004026	7	ENSGALG00000008007	10
ENSMMUG00000004028	7	ENSGALG00000007335	10
ENSMMUG00000004029	7	ENSGALG00000007349	10
ENSMMUG00000004032	18	ENSGALG00000013886	2
ENSMMUG00000004034	2	ENSGALG00000006395	9
ENSMMUG00000004035	2	ENSGALG00000006392	9
ENSMMUG00000004041	7	ENSGALG00000010229	5
ENSMMUG00000004045	18	ENSGALG00000014904	2
ENSMMUG00000004046	18	ENSGALG00000014897	2
ENSMMUG00000004048	14	ENSGALG00000017242	1
ENSMMUG00000004049	1	ENSGALG00000032278	8
ENSMMUG00000004052	2	ENSGALG00000005620	12
ENSMMUG00000004054	18	ENSGALG00000014860	2
ENSMMUG00000004056	9	ENSGALG00000006095	6
ENSMMUG00000004060	9	ENSGALG00000006109	6
ENSMMUG00000004061	4	ENSGALG00000015471	3
ENSMMUG00000004063	9	ENSGALG00000006137	6
ENSMMUG00000004064	8	ENSGALG00000013621	2
ENSMMUG00000004067	10	ENSGALG00000012003	1
ENSMMUG00000004070	1	ENSGALG00000009615	3
ENSMMUG00000004074	10	ENSGALG00000007668	20
ENSMMUG00000004079	2	ENSGALG00000041873	9
ENSMMUG00000004083	2	ENSGALG00000008983	9
ENSMMUG00000004084	7	ENSGALG00000012200	5
ENSMMUG00000004091	7	ENSGALG00000004304	10
ENSMMUG00000004093	11	ENSGALG00000031699	1
ENSMMUG00000004101	9	ENSGALG00000004174	6
ENSMMUG00000004103	1	ENSGALG00000005180	8
ENSMMUG00000004108	16	ENSGALG00000000371	27
ENSMMUG00000004109	1	ENSGALG00000000692	26
ENSMMUG00000004111	14	ENSGALG00000017212	1
ENSMMUG00000004113	1	ENSGALG00000000695	26
ENSMMUG00000004116	1	ENSGALG00000000703	26
ENSMMUG00000004124	3	ENSGALG00000001926	19
ENSMMUG00000004125	3	ENSGALG00000017358	19
ENSMMUG00000004127	3	ENSGALG00000009733	2
ENSMMUG00000004129	16	ENSGALG00000000603	27
ENSMMUG00000004131	10	ENSGALG00000014226	1
ENSMMUG00000004136	1	ENSGALG00000031894	21
ENSMMUG00000004139	10	ENSGALG00000008731	3
ENSMMUG00000004143	10	ENSGALG00000008749	3
ENSMMUG00000004149	1	ENSGALG00000010084	21
ENSMMUG00000004153	14	ENSGALG00000017159	1
ENSMMUG00000004157	14	ENSGALG00000017162	1
ENSMMUG00000004160	7	ENSGALG00000020438	5
ENSMMUG00000004161	14	ENSGALG00000017163	1
ENSMMUG00000004164	13	ENSGALG00000037439	1
ENSMMUG00000004165	13	ENSGALG00000016791	1
ENSMMUG00000004169	13	ENSGALG00000038936	1
ENSMMUG00000004172	11	ENSGALG00000013424	1
ENSMMUG00000004173	3	ENSGALG00000006543	9
ENSMMUG00000004174	3	ENSGALG00000006539	9
ENSMMUG00000004175	3	ENSGALG00000005631	9
ENSMMUG00000004177	12	ENSGALG00000001936	9
ENSMMUG00000004178	X	ENSGALG00000006707	4
ENSMMUG00000004179	12	ENSGALG00000001995	9
ENSMMUG00000004180	12	ENSGALG00000037153	9
ENSMMUG00000004181	4	ENSGALG00000011624	3
ENSMMUG00000004184	16	ENSGALG00000001031	19
ENSMMUG00000004188	X	ENSGALG00000008088	4
ENSMMUG00000004189	2	ENSGALG00000009222	9
ENSMMUG00000004192	2	ENSGALG00000044610	12
ENSMMUG00000004194	2	ENSGALG00000027947	9
ENSMMUG00000004197	2	ENSGALG00000006306	12
ENSMMUG00000004198	X	ENSGALG00000034250	4
ENSMMUG00000004200	15	ENSGALG00000004052	17
