Macaque	ChrMacaque	Platypus	ChrPlatypus
ENSMMUG00000007814	5	ENSOANG00000003589	12
ENSMMUG00000007816	18	ENSOANG00000001971	3
ENSMMUG00000007819	10	ENSOANG00000022563	Contig27219
ENSMMUG00000007820	9	ENSOANG00000015416	Contig13
ENSMMUG00000007825	2	ENSOANG00000011325	Contig27711
ENSMMUG00000007828	1	ENSOANG00000002743	Contig2094
ENSMMUG00000007829	1	ENSOANG00000002741	Contig2094
ENSMMUG00000007831	14	ENSOANG00000002770	Ultra7
ENSMMUG00000007834	1	ENSOANG00000002739	Contig2094
ENSMMUG00000007838	14	ENSOANG00000011106	Ultra186
ENSMMUG00000007841	14	ENSOANG00000021995	Contig11656
ENSMMUG00000007842	14	ENSOANG00000014498	Contig17227
ENSMMUG00000007844	6	ENSOANG00000005452	10
ENSMMUG00000007845	10	ENSOANG00000011360	Contig14386
ENSMMUG00000007851	1	ENSOANG00000031118	Contig45173
ENSMMUG00000007854	1	ENSOANG00000009938	Contig38621
ENSMMUG00000007860	7	ENSOANG00000020382	Contig12435
ENSMMUG00000007863	16	ENSOANG00000006853	Contig21793
ENSMMUG00000007864	9	ENSOANG00000006050	Ultra274
ENSMMUG00000007865	2	ENSOANG00000015684	7
ENSMMUG00000007868	13	ENSOANG00000006829	Contig17559
ENSMMUG00000007870	7	ENSOANG00000012720	Contig24232
ENSMMUG00000007876	16	ENSOANG00000010108	Ultra42
ENSMMUG00000007878	10	ENSOANG00000008679	Ultra516
ENSMMUG00000007880	17	ENSOANG00000013391	Contig4829
ENSMMUG00000007881	17	ENSOANG00000003379	Ultra161
ENSMMUG00000007886	2	ENSOANG00000010069	Contig3110
ENSMMUG00000007888	17	ENSOANG00000015558	Ultra336
ENSMMUG00000007891	17	ENSOANG00000015555	Ultra336
ENSMMUG00000007896	1	ENSOANG00000001439	Ultra67
ENSMMUG00000007897	1	ENSOANG00000008977	Contig43838
ENSMMUG00000007899	6	ENSOANG00000014072	X5
ENSMMUG00000007903	1	ENSOANG00000009412	Contig63308
ENSMMUG00000007904	19	ENSOANG00000006110	Ultra75
ENSMMUG00000007906	13	ENSOANG00000004753	1
ENSMMUG00000007909	8	ENSOANG00000008021	5
ENSMMUG00000007911	4	ENSOANG00000014663	2
ENSMMUG00000007915	12	ENSOANG00000006151	Ultra274
ENSMMUG00000007917	16	ENSOANG00000004545	Contig21731
ENSMMUG00000007920	16	ENSOANG00000011516	Ultra9
ENSMMUG00000007921	14	ENSOANG00000005627	Contig17105
ENSMMUG00000007922	X	ENSOANG00000011679	6
ENSMMUG00000007923	16	ENSOANG00000011515	Ultra9
ENSMMUG00000007925	10	ENSOANG00000001176	Ultra91
ENSMMUG00000007933	14	ENSOANG00000007247	Contig30542
ENSMMUG00000007935	14	ENSOANG00000012121	Contig14542
ENSMMUG00000007937	20	ENSOANG00000001892	Contig8526
ENSMMUG00000007940	20	ENSOANG00000022490	Ultra353
ENSMMUG00000007943	20	ENSOANG00000009819	Contig21598
ENSMMUG00000007945	14	ENSOANG00000000566	3
ENSMMUG00000007948	5	ENSOANG00000022316	Contig14880
ENSMMUG00000007950	14	ENSOANG00000030679	Contig10382
ENSMMUG00000007952	1	ENSOANG00000000895	Ultra341
ENSMMUG00000007953	20	ENSOANG00000009821	Contig21598
ENSMMUG00000007954	4	ENSOANG00000011129	Contig195
ENSMMUG00000007959	13	ENSOANG00000003045	Contig23477
ENSMMUG00000007960	20	ENSOANG00000002543	Contig76196
ENSMMUG00000007964	15	ENSOANG00000012130	X5
ENSMMUG00000007967	16	ENSOANG00000008031	Ultra288
ENSMMUG00000007968	5	ENSOANG00000013920	Ultra33
ENSMMUG00000007970	3	ENSOANG00000000762	Contig1657
ENSMMUG00000007972	19	ENSOANG00000009369	Contig11042
ENSMMUG00000007973	2	ENSOANG00000004437	Contig5379
ENSMMUG00000007974	5	ENSOANG00000015112	12
ENSMMUG00000007975	19	ENSOANG00000030018	Contig10763
ENSMMUG00000007997	X	ENSOANG00000011690	6
ENSMMUG00000007998	4	ENSOANG00000007666	2
ENSMMUG00000007999	14	ENSOANG00000010497	Ultra192
ENSMMUG00000008003	1	ENSOANG00000010843	Contig9783
ENSMMUG00000008005	3	ENSOANG00000001697	Ultra479
ENSMMUG00000008006	7	ENSOANG00000002201	Contig11685
ENSMMUG00000008015	15	ENSOANG00000013663	4
ENSMMUG00000008018	15	ENSOANG00000021642	Contig12606
ENSMMUG00000008023	9	ENSOANG00000020079	Contig4959
ENSMMUG00000008025	14	ENSOANG00000011712	Ultra29
ENSMMUG00000008026	1	ENSOANG00000004165	Ultra83
ENSMMUG00000008028	8	ENSOANG00000014390	Contig2157
ENSMMUG00000008029	1	ENSOANG00000006944	Ultra305
ENSMMUG00000008030	1	ENSOANG00000011989	Contig24078
ENSMMUG00000008031	1	ENSOANG00000008832	Contig29263
ENSMMUG00000008034	20	ENSOANG00000009417	Contig9293
ENSMMUG00000008036	15	ENSOANG00000014255	Contig4811
ENSMMUG00000008040	17	ENSOANG00000015596	Ultra336
ENSMMUG00000008041	19	ENSOANG00000012724	Ultra517
ENSMMUG00000008043	8	ENSOANG00000020228	4
ENSMMUG00000008045	8	ENSOANG00000007125	4
ENSMMUG00000008047	12	ENSOANG00000008758	7
ENSMMUG00000008048	14	ENSOANG00000000318	Contig10612
ENSMMUG00000008049	12	ENSOANG00000008759	7
ENSMMUG00000008053	14	ENSOANG00000014794	Contig5218
ENSMMUG00000008055	13	ENSOANG00000010353	Ultra544
ENSMMUG00000008056	13	ENSOANG00000010351	Ultra544
ENSMMUG00000008058	15	ENSOANG00000004662	X1
ENSMMUG00000008067	2	ENSOANG00000009142	1
ENSMMUG00000008074	13	ENSOANG00000001431	Contig8840
ENSMMUG00000008077	13	ENSOANG00000005986	Contig18171
ENSMMUG00000008080	13	ENSOANG00000002850	Contig5043
ENSMMUG00000008081	13	ENSOANG00000004114	Contig9013
ENSMMUG00000008095	7	ENSOANG00000001669	Contig2612
ENSMMUG00000008097	13	ENSOANG00000012414	Ultra56
ENSMMUG00000008098	13	ENSOANG00000012415	Ultra56
ENSMMUG00000008100	6	ENSOANG00000010695	Ultra457
ENSMMUG00000008101	12	ENSOANG00000022645	Contig14436
ENSMMUG00000008104	13	ENSOANG00000004646	Contig1446
ENSMMUG00000008112	7	ENSOANG00000008529	Ultra366
ENSMMUG00000008120	4	ENSOANG00000003899	Ultra339
ENSMMUG00000008121	4	ENSOANG00000003898	Ultra339
ENSMMUG00000008123	10	ENSOANG00000009287	Ultra516
ENSMMUG00000008125	20	ENSOANG00000003741	Ultra78
ENSMMUG00000008126	3	ENSOANG00000003792	Ultra121
ENSMMUG00000008127	16	ENSOANG00000010296	Contig524
ENSMMUG00000008129	16	ENSOANG00000012675	Ultra69
ENSMMUG00000008130	16	ENSOANG00000012671	Ultra69
ENSMMUG00000008135	10	ENSOANG00000031469	Contig48352
ENSMMUG00000008136	10	ENSOANG00000001890	Ultra201
ENSMMUG00000008137	19	ENSOANG00000006295	Ultra355
ENSMMUG00000008139	19	ENSOANG00000011111	Contig20849
ENSMMUG00000008140	4	ENSOANG00000013095	Ultra520
ENSMMUG00000008141	13	ENSOANG00000002188	Contig1775
ENSMMUG00000008143	19	ENSOANG00000032082	Contig33271
ENSMMUG00000008144	1	ENSOANG00000002671	Contig52166
ENSMMUG00000008151	1	ENSOANG00000014006	4
ENSMMUG00000008153	1	ENSOANG00000006703	Contig19209
ENSMMUG00000008155	1	ENSOANG00000003876	Ultra341
ENSMMUG00000008160	10	ENSOANG00000029324	Contig6259
ENSMMUG00000008162	5	ENSOANG00000015680	Contig10163
ENSMMUG00000008164	5	ENSOANG00000013966	4
ENSMMUG00000008169	7	ENSOANG00000001182	Contig38726
ENSMMUG00000008173	16	ENSOANG00000022616	Contig30192
ENSMMUG00000008174	5	ENSOANG00000003663	Ultra445
ENSMMUG00000008175	7	ENSOANG00000032166	Contig84465
ENSMMUG00000008176	16	ENSOANG00000001186	Contig20076
ENSMMUG00000008179	16	ENSOANG00000001187	Contig20076
ENSMMUG00000008182	4	ENSOANG00000000939	Ultra483
ENSMMUG00000008183	15	ENSOANG00000003910	4
ENSMMUG00000008184	4	ENSOANG00000000940	Ultra483
ENSMMUG00000008187	4	ENSOANG00000029859	Contig28253
ENSMMUG00000008188	7	ENSOANG00000004079	Ultra130
ENSMMUG00000008189	3	ENSOANG00000010306	Contig14685
ENSMMUG00000008190	18	ENSOANG00000005612	7
ENSMMUG00000008195	10	ENSOANG00000004945	Ultra337
ENSMMUG00000008196	15	ENSOANG00000012132	X5
ENSMMUG00000008197	1	ENSOANG00000031917	Contig41189
ENSMMUG00000008203	7	ENSOANG00000009095	Contig283
ENSMMUG00000008205	7	ENSOANG00000009097	Contig283
ENSMMUG00000008207	X	ENSOANG00000014707	Ultra369
ENSMMUG00000008209	X	ENSOANG00000004206	Ultra519
ENSMMUG00000008210	X	ENSOANG00000004207	Ultra519
ENSMMUG00000008212	X	ENSOANG00000004204	Ultra519
ENSMMUG00000008213	7	ENSOANG00000002100	Contig2495
ENSMMUG00000008214	7	ENSOANG00000013983	4
ENSMMUG00000008217	9	ENSOANG00000006866	Contig18321
ENSMMUG00000008218	1	ENSOANG00000022521	Contig51672
ENSMMUG00000008219	3	ENSOANG00000006568	2
ENSMMUG00000008220	3	ENSOANG00000006567	2
ENSMMUG00000008228	4	ENSOANG00000005868	Ultra413
ENSMMUG00000008229	10	ENSOANG00000004974	Contig101
ENSMMUG00000008230	15	ENSOANG00000012517	Contig530
ENSMMUG00000008233	15	ENSOANG00000028420	Contig18537
ENSMMUG00000008236	2	ENSOANG00000004965	Contig46398
ENSMMUG00000008237	16	ENSOANG00000000646	Contig12490
ENSMMUG00000008239	16	ENSOANG00000000647	Contig12490
ENSMMUG00000008242	2	ENSOANG00000000485	Ultra166
ENSMMUG00000008249	15	ENSOANG00000001042	4
ENSMMUG00000008252	20	ENSOANG00000014810	Ultra302
ENSMMUG00000008254	20	ENSOANG00000021041	Contig22654
ENSMMUG00000008260	16	ENSOANG00000003459	Contig11658
ENSMMUG00000008265	12	ENSOANG00000021593	Contig3141
ENSMMUG00000008268	9	ENSOANG00000006041	Ultra274
ENSMMUG00000008270	1	ENSOANG00000010276	Ultra67
ENSMMUG00000008274	14	ENSOANG00000015255	Ultra285
ENSMMUG00000008281	15	ENSOANG00000021490	Contig24250
ENSMMUG00000008284	7	ENSOANG00000013991	4
ENSMMUG00000008287	13	ENSOANG00000021531	Ultra202
ENSMMUG00000008288	13	ENSOANG00000006684	Contig54640
ENSMMUG00000008290	20	ENSOANG00000014849	11
ENSMMUG00000008291	9	ENSOANG00000009547	Ultra272
ENSMMUG00000008293	13	ENSOANG00000013295	Ultra202
ENSMMUG00000008296	12	ENSOANG00000003630	Ultra514
ENSMMUG00000008297	7	ENSOANG00000006062	Contig11711
ENSMMUG00000008300	11	ENSOANG00000005930	Ultra124
ENSMMUG00000008303	X	ENSOANG00000011689	6
ENSMMUG00000008311	7	ENSOANG00000013544	Contig102
ENSMMUG00000008316	19	ENSOANG00000013042	Contig42925
ENSMMUG00000008318	6	ENSOANG00000005094	X1
ENSMMUG00000008323	5	ENSOANG00000000244	Ultra544
ENSMMUG00000008324	19	ENSOANG00000003748	Contig14529
ENSMMUG00000008325	15	ENSOANG00000010155	Ultra474
ENSMMUG00000008326	19	ENSOANG00000009410	Contig25075
ENSMMUG00000008327	10	ENSOANG00000003206	Contig7323
ENSMMUG00000008329	3	ENSOANG00000009180	Ultra231
ENSMMUG00000008331	10	ENSOANG00000007796	Contig5153
ENSMMUG00000008334	12	ENSOANG00000012797	Ultra718
ENSMMUG00000008335	X	ENSOANG00000011507	Ultra462
ENSMMUG00000008336	11	ENSOANG00000004801	2
ENSMMUG00000008338	1	ENSOANG00000015318	Ultra108
ENSMMUG00000008341	5	ENSOANG00000006226	12
ENSMMUG00000008342	5	ENSOANG00000006227	12
ENSMMUG00000008346	15	ENSOANG00000005025	X5
ENSMMUG00000008351	8	ENSOANG00000000711	5
ENSMMUG00000008352	13	ENSOANG00000005679	Ultra202
ENSMMUG00000008362	5	ENSOANG00000005407	Contig33748
ENSMMUG00000008363	5	ENSOANG00000014819	Ultra544
ENSMMUG00000008364	20	ENSOANG00000012010	Contig6348
ENSMMUG00000008369	3	ENSOANG00000031573	Ultra231
ENSMMUG00000008375	20	ENSOANG00000012835	Contig3770
ENSMMUG00000008376	9	ENSOANG00000006020	Ultra274
ENSMMUG00000008378	20	ENSOANG00000012889	Contig1296
ENSMMUG00000008379	5	ENSOANG00000001783	Contig3635
ENSMMUG00000008380	7	ENSOANG00000014636	1
ENSMMUG00000008381	20	ENSOANG00000012891	Contig1296
ENSMMUG00000008383	5	ENSOANG00000001782	Contig3635
ENSMMUG00000008384	12	ENSOANG00000006177	Ultra514
ENSMMUG00000008387	12	ENSOANG00000006186	Ultra514
ENSMMUG00000008390	5	ENSOANG00000021583	Ultra567
ENSMMUG00000008392	5	ENSOANG00000028333	Contig29957
ENSMMUG00000008393	12	ENSOANG00000006221	Ultra514
ENSMMUG00000008397	13	ENSOANG00000010367	5
ENSMMUG00000008399	7	ENSOANG00000002716	Ultra415
ENSMMUG00000008400	12	ENSOANG00000006223	Ultra514
ENSMMUG00000008402	1	ENSOANG00000029845	Contig51439
ENSMMUG00000008403	20	ENSOANG00000001170	Ultra55
ENSMMUG00000008409	19	ENSOANG00000013450	Contig10509
ENSMMUG00000008411	11	ENSOANG00000002697	Contig66705
ENSMMUG00000008416	11	ENSOANG00000028489	Contig35097
ENSMMUG00000008418	1	ENSOANG00000002058	Ultra472
ENSMMUG00000008419	1	ENSOANG00000002057	Ultra472
ENSMMUG00000008420	1	ENSOANG00000002054	Ultra472
ENSMMUG00000008423	16	ENSOANG00000008487	Ultra324
ENSMMUG00000008425	X	ENSOANG00000000691	Ultra403
ENSMMUG00000008426	1	ENSOANG00000001213	Ultra461
ENSMMUG00000008427	1	ENSOANG00000001215	Ultra461
ENSMMUG00000008428	X	ENSOANG00000000689	Ultra403
ENSMMUG00000008429	X	ENSOANG00000000687	Ultra403
ENSMMUG00000008430	11	ENSOANG00000012839	Contig18297
ENSMMUG00000008432	11	ENSOANG00000029690	Contig22050
ENSMMUG00000008438	8	ENSOANG00000028288	Contig15650
ENSMMUG00000008439	8	ENSOANG00000007275	7
ENSMMUG00000008441	5	ENSOANG00000030254	Contig9553
ENSMMUG00000008442	4	ENSOANG00000009985	Ultra543
ENSMMUG00000008443	14	ENSOANG00000001120	Contig2353
ENSMMUG00000008444	4	ENSOANG00000022285	Contig18468
ENSMMUG00000008447	7	ENSOANG00000003815	Contig252
ENSMMUG00000008451	4	ENSOANG00000011126	Contig195
ENSMMUG00000008452	4	ENSOANG00000011125	Contig195
ENSMMUG00000008453	1	ENSOANG00000009739	Contig20313
ENSMMUG00000008460	1	ENSOANG00000014941	Contig5264
ENSMMUG00000008462	1	ENSOANG00000015187	Contig8200
ENSMMUG00000008463	13	ENSOANG00000006698	Contig8587
ENSMMUG00000008464	1	ENSOANG00000003299	Contig5759
ENSMMUG00000008470	10	ENSOANG00000028435	Contig22318
ENSMMUG00000008475	7	ENSOANG00000010720	Contig588
ENSMMUG00000008477	7	ENSOANG00000010719	Contig588
ENSMMUG00000008480	14	ENSOANG00000003468	Contig4871
ENSMMUG00000008481	14	ENSOANG00000031565	Contig4871
ENSMMUG00000008483	4	ENSOANG00000014956	Ultra352
ENSMMUG00000008485	4	ENSOANG00000014957	Ultra352
ENSMMUG00000008486	14	ENSOANG00000004368	Contig26876
ENSMMUG00000008487	4	ENSOANG00000014959	Ultra352
ENSMMUG00000008488	14	ENSOANG00000005980	Contig26604
ENSMMUG00000008490	14	ENSOANG00000003958	Contig12399
ENSMMUG00000008491	20	ENSOANG00000009470	Ultra126
ENSMMUG00000008495	7	ENSOANG00000009682	Ultra451
ENSMMUG00000008501	5	ENSOANG00000020047	Contig9753
ENSMMUG00000008502	12	ENSOANG00000008624	Ultra514
ENSMMUG00000008504	3	ENSOANG00000006422	Ultra222
ENSMMUG00000008506	1	ENSOANG00000022005	Contig70861
ENSMMUG00000008509	1	ENSOANG00000003069	Ultra182
ENSMMUG00000008513	1	ENSOANG00000003070	Ultra182
ENSMMUG00000008518	1	ENSOANG00000029070	Contig5180
ENSMMUG00000008519	1	ENSOANG00000003071	Ultra182
ENSMMUG00000008522	20	ENSOANG00000001879	Contig5093
ENSMMUG00000008526	4	ENSOANG00000008809	Ultra147
ENSMMUG00000008532	15	ENSOANG00000002377	Contig15382
ENSMMUG00000008535	9	ENSOANG00000014188	Contig14051
ENSMMUG00000008537	9	ENSOANG00000005237	Contig15682
ENSMMUG00000008539	9	ENSOANG00000029388	Contig53356
ENSMMUG00000008542	9	ENSOANG00000002144	Contig7280
ENSMMUG00000008543	16	ENSOANG00000015781	1
ENSMMUG00000008546	11	ENSOANG00000014696	Contig11124
ENSMMUG00000008547	5	ENSOANG00000015651	12
ENSMMUG00000008548	11	ENSOANG00000014697	Contig11124
ENSMMUG00000008549	2	ENSOANG00000012175	Ultra26
ENSMMUG00000008556	16	ENSOANG00000010109	Ultra42
ENSMMUG00000008557	15	ENSOANG00000005539	4
ENSMMUG00000008559	15	ENSOANG00000003126	Contig37198
ENSMMUG00000008560	4	ENSOANG00000007196	Ultra474
ENSMMUG00000008561	15	ENSOANG00000006934	Contig3537
ENSMMUG00000008563	6	ENSOANG00000015159	Ultra84
ENSMMUG00000008564	9	ENSOANG00000001996	Ultra103
ENSMMUG00000008568	20	ENSOANG00000013371	Contig6436
ENSMMUG00000008569	20	ENSOANG00000031158	2
ENSMMUG00000008572	1	ENSOANG00000000920	Ultra341
ENSMMUG00000008574	7	ENSOANG00000006882	2
ENSMMUG00000008576	19	ENSOANG00000012176	Contig14752
ENSMMUG00000008578	19	ENSOANG00000029891	Contig25222
ENSMMUG00000008579	5	ENSOANG00000005193	Contig10291
ENSMMUG00000008581	3	ENSOANG00000001658	Contig18332
ENSMMUG00000008587	5	ENSOANG00000009295	Ultra445
ENSMMUG00000008592	12	ENSOANG00000031433	7
ENSMMUG00000008593	20	ENSOANG00000002163	11
ENSMMUG00000008603	16	ENSOANG00000005671	Ultra17
ENSMMUG00000008604	16	ENSOANG00000005672	Ultra17
ENSMMUG00000008608	2	ENSOANG00000002278	Ultra51
ENSMMUG00000008610	2	ENSOANG00000002277	Ultra51
ENSMMUG00000008615	12	ENSOANG00000006081	Ultra514
ENSMMUG00000008616	2	ENSOANG00000000495	X1
ENSMMUG00000008618	X	ENSOANG00000013580	Ultra295
ENSMMUG00000008620	2	ENSOANG00000000489	X1
ENSMMUG00000008623	X	ENSOANG00000013583	Ultra295
ENSMMUG00000008624	X	ENSOANG00000013584	Ultra295
ENSMMUG00000008628	2	ENSOANG00000000487	X1
ENSMMUG00000008633	5	ENSOANG00000009296	Ultra445
ENSMMUG00000008634	14	ENSOANG00000013030	Contig1728
ENSMMUG00000008635	8	ENSOANG00000012897	4
ENSMMUG00000008636	1	ENSOANG00000010237	Ultra67
ENSMMUG00000008637	16	ENSOANG00000008865	Contig17050
ENSMMUG00000008638	1	ENSOANG00000010240	Ultra67
ENSMMUG00000008643	2	ENSOANG00000031168	Contig37846
ENSMMUG00000008650	3	ENSOANG00000020728	Contig48
ENSMMUG00000008653	14	ENSOANG00000001178	Contig49892
ENSMMUG00000008654	14	ENSOANG00000014562	Contig35695
ENSMMUG00000008655	14	ENSOANG00000000349	Contig5049
ENSMMUG00000008657	20	ENSOANG00000013405	Contig65
ENSMMUG00000008661	17	ENSOANG00000010466	Contig45450
ENSMMUG00000008662	15	ENSOANG00000000887	X5
ENSMMUG00000008665	15	ENSOANG00000000886	X5
ENSMMUG00000008666	2	ENSOANG00000014698	Contig907
ENSMMUG00000008668	19	ENSOANG00000012015	Contig11370
ENSMMUG00000008670	15	ENSOANG00000030503	X5
ENSMMUG00000008672	19	ENSOANG00000002706	Contig8294
ENSMMUG00000008678	4	ENSOANG00000006976	Ultra474
ENSMMUG00000008681	4	ENSOANG00000019878	Ultra474
ENSMMUG00000008684	4	ENSOANG00000002861	Contig2358
ENSMMUG00000008685	15	ENSOANG00000022150	Contig9867
ENSMMUG00000008690	9	ENSOANG00000005910	3
ENSMMUG00000008691	9	ENSOANG00000005911	3
ENSMMUG00000008692	19	ENSOANG00000006109	Ultra75
ENSMMUG00000008693	19	ENSOANG00000006107	Ultra75
ENSMMUG00000008694	9	ENSOANG00000005912	3
ENSMMUG00000008696	10	ENSOANG00000003371	Ultra337
ENSMMUG00000008697	19	ENSOANG00000006093	Ultra75
ENSMMUG00000008698	3	ENSOANG00000012122	Contig1087
ENSMMUG00000008702	5	ENSOANG00000003312	12
ENSMMUG00000008703	5	ENSOANG00000003313	12
ENSMMUG00000008705	5	ENSOANG00000003314	12
ENSMMUG00000008710	6	ENSOANG00000006986	Contig20982
ENSMMUG00000008713	1	ENSOANG00000001906	Contig785
ENSMMUG00000008715	7	ENSOANG00000011847	Contig214
ENSMMUG00000008716	20	ENSOANG00000011365	Ultra78
ENSMMUG00000008717	7	ENSOANG00000011846	Contig214
ENSMMUG00000008724	9	ENSOANG00000009788	Ultra272
ENSMMUG00000008727	3	ENSOANG00000022349	Contig61039
ENSMMUG00000008728	10	ENSOANG00000015127	Contig7474
ENSMMUG00000008729	19	ENSOANG00000011921	Contig1754
ENSMMUG00000008733	3	ENSOANG00000006137	Ultra274
ENSMMUG00000008734	8	ENSOANG00000008318	Contig3679
ENSMMUG00000008737	18	ENSOANG00000006005	Contig5523
ENSMMUG00000008738	6	ENSOANG00000005802	Contig2106
ENSMMUG00000008740	19	ENSOANG00000009787	Contig9621
ENSMMUG00000008742	19	ENSOANG00000030126	Contig17172
ENSMMUG00000008744	1	ENSOANG00000012233	Contig6750
ENSMMUG00000008747	7	ENSOANG00000011046	Contig6036
ENSMMUG00000008750	16	ENSOANG00000029059	Contig23136
ENSMMUG00000008751	X	ENSOANG00000000712	Ultra403
ENSMMUG00000008757	7	ENSOANG00000005759	Contig9213
ENSMMUG00000008758	14	ENSOANG00000005853	3
ENSMMUG00000008759	14	ENSOANG00000005854	3
ENSMMUG00000008760	X	ENSOANG00000000710	Ultra403
ENSMMUG00000008761	1	ENSOANG00000010268	Ultra67
ENSMMUG00000008762	4	ENSOANG00000022356	Contig7066
ENSMMUG00000008770	13	ENSOANG00000012427	Ultra56
ENSMMUG00000008771	14	ENSOANG00000005993	Contig25204
ENSMMUG00000008772	13	ENSOANG00000012428	Ultra56
ENSMMUG00000008774	8	ENSOANG00000005044	7
ENSMMUG00000008775	10	ENSOANG00000015017	Contig2745
ENSMMUG00000008776	1	ENSOANG00000000916	Ultra341
ENSMMUG00000008777	8	ENSOANG00000005045	7
ENSMMUG00000008778	10	ENSOANG00000015016	Contig2745
ENSMMUG00000008779	1	ENSOANG00000000917	Ultra341
ENSMMUG00000008781	X	ENSOANG00000012035	Contig4987
ENSMMUG00000008783	8	ENSOANG00000029625	Contig27922
ENSMMUG00000008784	20	ENSOANG00000000789	Ultra434
ENSMMUG00000008785	X	ENSOANG00000020235	Contig18206
ENSMMUG00000008786	2	ENSOANG00000007495	Contig14
ENSMMUG00000008787	2	ENSOANG00000007497	Contig14
ENSMMUG00000008789	9	ENSOANG00000030333	Ultra28
ENSMMUG00000008790	9	ENSOANG00000022033	Contig29965
ENSMMUG00000008791	2	ENSOANG00000007496	Contig14
ENSMMUG00000008793	5	ENSOANG00000013630	Contig263
ENSMMUG00000008797	5	ENSOANG00000013633	Contig263
ENSMMUG00000008801	15	ENSOANG00000013047	Contig890
ENSMMUG00000008808	8	ENSOANG00000001415	4
ENSMMUG00000008818	X	ENSOANG00000002862	6
ENSMMUG00000008825	X	ENSOANG00000012031	Contig1007
ENSMMUG00000008828	1	ENSOANG00000007282	Contig13387
ENSMMUG00000008829	12	ENSOANG00000007591	Ultra470
ENSMMUG00000008833	16	ENSOANG00000013033	Contig4594
ENSMMUG00000008834	5	ENSOANG00000010331	Ultra544
ENSMMUG00000008836	1	ENSOANG00000010401	Contig17061
ENSMMUG00000008837	1	ENSOANG00000004731	Contig8710
ENSMMUG00000008839	4	ENSOANG00000008361	Contig14117
ENSMMUG00000008848	6	ENSOANG00000014559	Ultra177
ENSMMUG00000008859	1	ENSOANG00000015425	Contig1111
ENSMMUG00000008867	8	ENSOANG00000008566	Ultra173
ENSMMUG00000008868	5	ENSOANG00000005603	12
ENSMMUG00000008869	4	ENSOANG00000014797	2
ENSMMUG00000008873	9	ENSOANG00000001639	Ultra272
ENSMMUG00000008875	12	ENSOANG00000029952	Contig39958
ENSMMUG00000008876	14	ENSOANG00000000951	Contig28887
ENSMMUG00000008878	14	ENSOANG00000002458	Contig24908
ENSMMUG00000008885	16	ENSOANG00000003543	Contig29816
ENSMMUG00000008886	7	ENSOANG00000031687	Contig25731
ENSMMUG00000008890	4	ENSOANG00000030774	Contig47785
ENSMMUG00000008897	11	ENSOANG00000005199	Contig88329
ENSMMUG00000008899	11	ENSOANG00000009400	Contig12465
ENSMMUG00000008903	4	ENSOANG00000002234	Contig4398
ENSMMUG00000008908	12	ENSOANG00000000913	Contig4711
ENSMMUG00000008911	9	ENSOANG00000005372	3
ENSMMUG00000008917	1	ENSOANG00000014143	Contig11856
ENSMMUG00000008918	2	ENSOANG00000014581	Contig5367
ENSMMUG00000008919	2	ENSOANG00000031623	Contig2824
ENSMMUG00000008921	14	ENSOANG00000004771	Contig28344
ENSMMUG00000008922	1	ENSOANG00000007372	Contig6855
ENSMMUG00000008923	14	ENSOANG00000002126	Contig24667
ENSMMUG00000008925	10	ENSOANG00000006457	Contig2987
ENSMMUG00000008928	10	ENSOANG00000006456	Contig2987
ENSMMUG00000008931	19	ENSOANG00000012450	Ultra21
ENSMMUG00000008937	4	ENSOANG00000003631	Contig12158
ENSMMUG00000008941	16	ENSOANG00000003053	Contig4445
ENSMMUG00000008942	18	ENSOANG00000013446	Ultra88
ENSMMUG00000008945	18	ENSOANG00000013445	Ultra88
ENSMMUG00000008949	16	ENSOANG00000012683	Ultra69
ENSMMUG00000008955	10	ENSOANG00000032147	Contig8326
ENSMMUG00000008964	7	ENSOANG00000003808	Contig252
ENSMMUG00000008969	2	ENSOANG00000001507	Ultra529
ENSMMUG00000008979	10	ENSOANG00000004509	Contig21918
ENSMMUG00000008985	9	ENSOANG00000004778	Contig2241
ENSMMUG00000008987	11	ENSOANG00000005945	Ultra124
ENSMMUG00000008990	1	ENSOANG00000000985	Ultra341
ENSMMUG00000008992	1	ENSOANG00000000987	Ultra341
ENSMMUG00000008993	4	ENSOANG00000013160	Ultra330
ENSMMUG00000009001	5	ENSOANG00000005289	Ultra539
ENSMMUG00000009002	20	ENSOANG00000011283	Contig2153
ENSMMUG00000009004	3	ENSOANG00000015064	Ultra5
ENSMMUG00000009006	3	ENSOANG00000015065	Ultra5
ENSMMUG00000009007	3	ENSOANG00000015066	Ultra5
ENSMMUG00000009008	3	ENSOANG00000015067	Ultra5
ENSMMUG00000009009	12	ENSOANG00000012302	Ultra323
ENSMMUG00000009010	2	ENSOANG00000021210	Contig385
ENSMMUG00000009012	X	ENSOANG00000009818	Contig20890
ENSMMUG00000009013	X	ENSOANG00000012269	Contig20824
ENSMMUG00000009014	19	ENSOANG00000003672	Ultra229
ENSMMUG00000009015	X	ENSOANG00000010201	Contig120803
ENSMMUG00000009017	19	ENSOANG00000014335	Contig6681
ENSMMUG00000009022	14	ENSOANG00000019968	Contig16921
ENSMMUG00000009024	1	ENSOANG00000003068	Ultra182
ENSMMUG00000009026	14	ENSOANG00000015146	3
ENSMMUG00000009027	16	ENSOANG00000011526	Ultra9
ENSMMUG00000009028	14	ENSOANG00000015145	3
