Opossum	ChrOpossum	Chicken	ChrChicken
ENSMODG00000006050	8	ENSGALG00000035559	AADN04011452.1
ENSMODG00000006053	2	ENSGALG00000004227	8
ENSMODG00000006054	3	ENSGALG00000041200	2
ENSMODG00000006058	1	ENSGALG00000040878	11
ENSMODG00000006062	2	ENSGALG00000011299	3
ENSMODG00000006064	3	ENSGALG00000040741	AADN04004297.1
ENSMODG00000006067	5	ENSGALG00000005294	5
ENSMODG00000006068	1	ENSGALG00000042066	AADN04016442.1
ENSMODG00000006070	8	ENSGALG00000035824	1
ENSMODG00000006071	1	ENSGALG00000026557	5
ENSMODG00000006072	6	ENSGALG00000031416	14
ENSMODG00000006073	2	ENSGALG00000004216	8
ENSMODG00000006076	2	ENSGALG00000009228	3
ENSMODG00000006078	1	ENSGALG00000004767	17
ENSMODG00000006079	5	ENSGALG00000027184	5
ENSMODG00000006093	1	ENSGALG00000010294	5
ENSMODG00000006095	2	ENSGALG00000009068	3
ENSMODG00000006096	4	ENSGALG00000026499	21
ENSMODG00000006099	5	ENSGALG00000005265	5
ENSMODG00000006102	6	ENSGALG00000006829	14
ENSMODG00000006103	X	ENSGALG00000028084	4
ENSMODG00000006106	8	ENSGALG00000033919	1
ENSMODG00000006110	8	ENSGALG00000036598	1
ENSMODG00000006111	2	ENSGALG00000011344	3
ENSMODG00000006114	2	ENSGALG00000009073	3
ENSMODG00000006115	6	ENSGALG00000030546	14
ENSMODG00000006126	8	ENSGALG00000014203	1
ENSMODG00000006127	5	ENSGALG00000038775	5
ENSMODG00000006128	1	ENSGALG00000030220	11
ENSMODG00000006129	1	ENSGALG00000010286	5
ENSMODG00000006132	X	ENSGALG00000007443	4
ENSMODG00000006136	6	ENSGALG00000004932	12
ENSMODG00000006137	1	ENSGALG00000023113	5
ENSMODG00000006138	4	ENSGALG00000038532	21
ENSMODG00000006139	2	ENSGALG00000004173	8
ENSMODG00000006140	6	ENSGALG00000038338	14
ENSMODG00000006143	2	ENSGALG00000011418	3
ENSMODG00000006145	6	ENSGALG00000004937	12
ENSMODG00000006146	1	ENSGALG00000002893	13
ENSMODG00000006147	6	ENSGALG00000030534	14
ENSMODG00000006150	1	ENSGALG00000001722	11
ENSMODG00000006151	2	ENSGALG00000009082	3
ENSMODG00000006153	6	ENSGALG00000004940	12
ENSMODG00000006154	1	ENSGALG00000002886	13
ENSMODG00000006156	2	ENSGALG00000004163	8
ENSMODG00000006159	6	ENSGALG00000004955	12
ENSMODG00000006160	X	ENSGALG00000007476	4
ENSMODG00000006163	1	ENSGALG00000008372	3
ENSMODG00000006166	6	ENSGALG00000006861	14
ENSMODG00000006168	1	ENSGALG00000045909	5
ENSMODG00000006170	1	ENSGALG00000035835	3
ENSMODG00000006174	4	ENSGALG00000032060	21
ENSMODG00000006177	1	ENSGALG00000036869	3
ENSMODG00000006179	1	ENSGALG00000010275	5
ENSMODG00000006180	2	ENSGALG00000033634	8
ENSMODG00000006182	6	ENSGALG00000001841	14
ENSMODG00000006183	7	ENSGALG00000016864	1
ENSMODG00000006184	1	ENSGALG00000002878	13
ENSMODG00000006186	1	ENSGALG00000001702	11
ENSMODG00000006187	2	ENSGALG00000020984	8
ENSMODG00000006189	4	ENSGALG00000024053	21
ENSMODG00000006193	2	ENSGALG00000011426	3
ENSMODG00000006197	6	ENSGALG00000029027	14
ENSMODG00000006198	1	ENSGALG00000039040	3
ENSMODG00000006199	6	ENSGALG00000004969	12
ENSMODG00000006200	3	ENSGALG00000029678	2
ENSMODG00000006201	1	ENSGALG00000002868	13
ENSMODG00000006202	1	ENSGALG00000010270	5
ENSMODG00000006203	1	ENSGALG00000001779	11
ENSMODG00000006205	8	ENSGALG00000014194	1
ENSMODG00000006206	X	ENSGALG00000027899	4
ENSMODG00000006207	6	ENSGALG00000006889	14
ENSMODG00000006209	4	ENSGALG00000032525	21
ENSMODG00000006213	1	ENSGALG00000030889	3
ENSMODG00000006214	1	ENSGALG00000002863	13
ENSMODG00000006215	1	ENSGALG00000037761	4
ENSMODG00000006216	8	ENSGALG00000029308	1
ENSMODG00000006219	1	ENSGALG00000036191	AADN04014142.1
ENSMODG00000006220	3	ENSGALG00000043573	2
ENSMODG00000006221	1	ENSGALG00000008359	3
ENSMODG00000006223	1	ENSGALG00000040360	13
ENSMODG00000006225	4	ENSGALG00000000719	21
ENSMODG00000006227	6	ENSGALG00000006911	14
ENSMODG00000006228	1	ENSGALG00000003224	11
ENSMODG00000006229	X	ENSGALG00000029502	4
ENSMODG00000006231	2	ENSGALG00000031119	8
ENSMODG00000006232	3	ENSGALG00000042794	2
ENSMODG00000006233	6	ENSGALG00000004974	12
ENSMODG00000006234	1	ENSGALG00000002846	13
ENSMODG00000006237	1	ENSGALG00000003201	11
ENSMODG00000006238	1	ENSGALG00000008350	3
ENSMODG00000006239	8	ENSGALG00000014189	1
ENSMODG00000006241	2	ENSGALG00000011473	3
ENSMODG00000006242	1	ENSGALG00000003195	11
ENSMODG00000006244	1	ENSGALG00000010258	5
ENSMODG00000006246	2	ENSGALG00000009158	3
ENSMODG00000006248	1	ENSGALG00000020417	5
ENSMODG00000006249	6	ENSGALG00000004981	12
ENSMODG00000006250	6	ENSGALG00000006916	14
ENSMODG00000006252	1	ENSGALG00000004719	17
ENSMODG00000006256	8	ENSGALG00000014178	1
ENSMODG00000006257	3	ENSGALG00000038529	28
ENSMODG00000006263	2	ENSGALG00000029238	8
ENSMODG00000006265	6	ENSGALG00000025959	12
ENSMODG00000006268	7	ENSGALG00000004869	15
ENSMODG00000006270	1	ENSGALG00000010237	5
ENSMODG00000006271	3	ENSGALG00000034487	2
ENSMODG00000006272	7	ENSGALG00000016865	1
ENSMODG00000006276	1	ENSGALG00000004702	17
ENSMODG00000006277	1	ENSGALG00000008313	3
ENSMODG00000006278	6	ENSGALG00000006925	14
ENSMODG00000006279	7	ENSGALG00000016934	1
ENSMODG00000006280	6	ENSGALG00000004991	12
ENSMODG00000006282	7	ENSGALG00000016866	1
ENSMODG00000006288	3	ENSGALG00000038772	2
ENSMODG00000006289	1	ENSGALG00000028520	3
ENSMODG00000006290	2	ENSGALG00000001691	21
ENSMODG00000006293	1	ENSGALG00000039587	3
ENSMODG00000006294	4	ENSGALG00000000747	21
ENSMODG00000006296	2	ENSGALG00000028898	21
ENSMODG00000006297	2	ENSGALG00000004333	18
ENSMODG00000006300	1	ENSGALG00000008660	3
ENSMODG00000006302	3	ENSGALG00000001962	28
ENSMODG00000006307	6	ENSGALG00000004998	12
ENSMODG00000006308	1	ENSGALG00000002831	13
ENSMODG00000006309	7	ENSGALG00000016867	1
ENSMODG00000006310	2	ENSGALG00000010630	3
ENSMODG00000006312	3	ENSGALG00000036019	2
ENSMODG00000006313	1	ENSGALG00000008651	3
ENSMODG00000006314	1	ENSGALG00000006705	6
ENSMODG00000006316	7	ENSGALG00000016936	1
ENSMODG00000006318	2	ENSGALG00000011489	3
ENSMODG00000006319	3	ENSGALG00000041323	KQ759610.1
ENSMODG00000006320	3	ENSGALG00000038940	2
ENSMODG00000006323	2	ENSGALG00000032317	21
ENSMODG00000006324	1	ENSGALG00000003183	11
ENSMODG00000006325	8	ENSGALG00000006749	2
ENSMODG00000006327	5	ENSGALG00000006368	5
ENSMODG00000006330	2	ENSGALG00000004370	18
ENSMODG00000006332	3	ENSGALG00000037997	2
ENSMODG00000006337	2	ENSGALG00000003955	8
ENSMODG00000006338	6	ENSGALG00000000643	14
ENSMODG00000006340	1	ENSGALG00000010232	5
ENSMODG00000006341	1	ENSGALG00000037395	13
ENSMODG00000006344	1	ENSGALG00000033695	6
ENSMODG00000006345	1	ENSGALG00000008632	3
ENSMODG00000006346	6	ENSGALG00000039779	14
ENSMODG00000006352	1	ENSGALG00000003169	11
ENSMODG00000006355	2	ENSGALG00000011537	3
ENSMODG00000006356	2	ENSGALG00000010641	3
ENSMODG00000006358	3	ENSGALG00000026055	28
ENSMODG00000006359	8	ENSGALG00000006797	2
ENSMODG00000006360	2	ENSGALG00000003933	8
ENSMODG00000006362	2	ENSGALG00000002631	19
ENSMODG00000006363	7	ENSGALG00000016937	1
ENSMODG00000006364	5	ENSGALG00000006358	5
ENSMODG00000006369	1	ENSGALG00000010229	5
ENSMODG00000006371	2	ENSGALG00000036587	8
ENSMODG00000006372	2	ENSGALG00000010649	3
ENSMODG00000006374	1	ENSGALG00000033517	5
ENSMODG00000006375	1	ENSGALG00000008563	3
ENSMODG00000006377	6	ENSGALG00000008420	12
ENSMODG00000006380	4	ENSGALG00000037241	21
ENSMODG00000006382	2	ENSGALG00000001600	21
ENSMODG00000006383	1	ENSGALG00000002816	13
ENSMODG00000006384	1	ENSGALG00000045856	5
ENSMODG00000006387	2	ENSGALG00000003924	8
ENSMODG00000006389	5	ENSGALG00000006342	5
ENSMODG00000006395	1	ENSGALG00000004689	17
ENSMODG00000006397	1	ENSGALG00000020419	5
ENSMODG00000006399	6	ENSGALG00000020747	12
ENSMODG00000006400	1	ENSGALG00000005140	11
ENSMODG00000006403	2	ENSGALG00000033954	19
ENSMODG00000006404	2	ENSGALG00000010653	3
ENSMODG00000006406	4	ENSGALG00000011040	7
ENSMODG00000006407	1	ENSGALG00000044248	17
ENSMODG00000006409	7	ENSGALG00000016941	1
ENSMODG00000006410	5	ENSGALG00000006312	5
ENSMODG00000006413	2	ENSGALG00000001561	21
ENSMODG00000006415	3	ENSGALG00000041179	2
ENSMODG00000006420	2	ENSGALG00000010664	3
ENSMODG00000006423	2	ENSGALG00000001555	21
ENSMODG00000006424	1	ENSGALG00000008508	3
ENSMODG00000006425	1	ENSGALG00000004659	17
ENSMODG00000006426	3	ENSGALG00000035762	28
ENSMODG00000006429	1	ENSGALG00000010211	5
ENSMODG00000006430	2	ENSGALG00000021611	19
ENSMODG00000006431	1	ENSGALG00000006763	6
ENSMODG00000006434	2	ENSGALG00000011555	3
ENSMODG00000006435	3	ENSGALG00000042356	28
ENSMODG00000006436	4	ENSGALG00000011009	7
ENSMODG00000006438	4	ENSGALG00000027265	21
ENSMODG00000006439	1	ENSGALG00000008525	3
ENSMODG00000006440	2	ENSGALG00000002598	19
ENSMODG00000006443	1	ENSGALG00000008538	3
ENSMODG00000006444	1	ENSGALG00000030008	6
ENSMODG00000006447	2	ENSGALG00000003893	8
ENSMODG00000006450	3	ENSGALG00000042948	28
ENSMODG00000006451	1	ENSGALG00000004645	17
ENSMODG00000006452	4	ENSGALG00000010971	7
ENSMODG00000006454	3	ENSGALG00000041822	28
ENSMODG00000006458	1	ENSGALG00000026221	17
ENSMODG00000006461	1	ENSGALG00000004622	17
ENSMODG00000006462	6	ENSGALG00000008452	12
ENSMODG00000006464	1	ENSGALG00000002229	13
ENSMODG00000006467	1	ENSGALG00000030597	6
ENSMODG00000006468	2	ENSGALG00000003885	8
ENSMODG00000006471	4	ENSGALG00000010960	7
ENSMODG00000006474	3	ENSGALG00000032850	2
ENSMODG00000006477	6	ENSGALG00000002119	14
ENSMODG00000006478	3	ENSGALG00000001377	28
ENSMODG00000006479	4	ENSGALG00000000975	21
ENSMODG00000006480	1	ENSGALG00000002203	13
ENSMODG00000006486	6	ENSGALG00000002042	14
ENSMODG00000006487	3	ENSGALG00000001342	28
ENSMODG00000006488	6	ENSGALG00000020745	12
ENSMODG00000006490	1	ENSGALG00000023506	3
ENSMODG00000006491	1	ENSGALG00000004573	17
ENSMODG00000006492	4	ENSGALG00000036295	21
ENSMODG00000006494	2	ENSGALG00000003880	8
ENSMODG00000006495	1	ENSGALG00000023188	3
ENSMODG00000006501	4	ENSGALG00000010956	7
ENSMODG00000006507	2	ENSGALG00000002542	19
ENSMODG00000006510	3	ENSGALG00000032453	2
ENSMODG00000006515	2	ENSGALG00000010671	3
ENSMODG00000006516	2	ENSGALG00000002501	19
ENSMODG00000006517	3	ENSGALG00000001328	28
ENSMODG00000006519	1	ENSGALG00000042266	17
ENSMODG00000006520	3	ENSGALG00000043764	2
ENSMODG00000006521	8	ENSGALG00000006939	2
ENSMODG00000006523	2	ENSGALG00000002379	19
ENSMODG00000006526	2	ENSGALG00000004386	18
ENSMODG00000006531	2	ENSGALG00000011571	3
ENSMODG00000006533	2	ENSGALG00000010678	3
ENSMODG00000006534	3	ENSGALG00000032718	2
ENSMODG00000006537	4	ENSGALG00000010943	7
ENSMODG00000006540	5	ENSGALG00000042340	5
ENSMODG00000006543	4	ENSGALG00000000978	21
ENSMODG00000006544	3	ENSGALG00000041344	2
ENSMODG00000006547	2	ENSGALG00000023936	21
ENSMODG00000006549	3	ENSGALG00000024332	28
ENSMODG00000006552	1	ENSGALG00000010202	5
ENSMODG00000006554	4	ENSGALG00000000980	21
ENSMODG00000006556	3	ENSGALG00000026834	28
ENSMODG00000006558	3	ENSGALG00000034188	2
ENSMODG00000006559	2	ENSGALG00000010702	3
ENSMODG00000006560	3	ENSGALG00000026780	28
ENSMODG00000006561	3	ENSGALG00000032042	2
ENSMODG00000006562	2	ENSGALG00000001542	21
ENSMODG00000006566	2	ENSGALG00000020032	3
ENSMODG00000006567	3	ENSGALG00000028341	28
ENSMODG00000006569	3	ENSGALG00000030011	2
ENSMODG00000006570	2	ENSGALG00000010705	3
ENSMODG00000006572	2	ENSGALG00000001527	21
ENSMODG00000006573	1	ENSGALG00000032273	3
ENSMODG00000006576	2	ENSGALG00000029893	18
ENSMODG00000006582	3	ENSGALG00000001317	28
ENSMODG00000006583	2	ENSGALG00000026401	18
ENSMODG00000006584	3	ENSGALG00000034376	2
ENSMODG00000006585	2	ENSGALG00000002397	19
ENSMODG00000006588	2	ENSGALG00000041769	AADN04008044.1
ENSMODG00000006591	8	ENSGALG00000007036	2
ENSMODG00000006592	1	ENSGALG00000010197	5
ENSMODG00000006593	1	ENSGALG00000008614	3
ENSMODG00000006594	2	ENSGALG00000020003	3
ENSMODG00000006595	4	ENSGALG00000043926	21
ENSMODG00000006599	1	ENSGALG00000044231	3
ENSMODG00000006602	1	ENSGALG00000010196	5
ENSMODG00000006603	2	ENSGALG00000035869	21
ENSMODG00000006605	2	ENSGALG00000002388	19
ENSMODG00000006608	3	ENSGALG00000001273	28
ENSMODG00000006611	1	ENSGALG00000043394	17
ENSMODG00000006612	1	ENSGALG00000008269	3
ENSMODG00000006613	3	ENSGALG00000040167	2
ENSMODG00000006616	2	ENSGALG00000001489	21
ENSMODG00000006618	6	ENSGALG00000036502	14
ENSMODG00000006621	3	ENSGALG00000036749	2
ENSMODG00000006622	1	ENSGALG00000010193	5
ENSMODG00000006623	4	ENSGALG00000001006	21
ENSMODG00000006624	1	ENSGALG00000046358	3
ENSMODG00000006626	2	ENSGALG00000034081	3
ENSMODG00000006628	6	ENSGALG00000002028	14
ENSMODG00000006630	1	ENSGALG00000038924	6
ENSMODG00000006632	1	ENSGALG00000039541	17
ENSMODG00000006633	6	ENSGALG00000007638	14
ENSMODG00000006634	2	ENSGALG00000002367	19
ENSMODG00000006637	6	ENSGALG00000027146	14
ENSMODG00000006639	1	ENSGALG00000032234	6
ENSMODG00000006640	1	ENSGALG00000009269	5
ENSMODG00000006642	2	ENSGALG00000010713	3
ENSMODG00000006643	3	ENSGALG00000001108	28
ENSMODG00000006644	2	ENSGALG00000027989	19
ENSMODG00000006646	2	ENSGALG00000029697	AADN04010246.1
ENSMODG00000006647	4	ENSGALG00000001017	21
ENSMODG00000006648	3	ENSGALG00000035031	2
ENSMODG00000006651	4	ENSGALG00000001024	21
ENSMODG00000006654	6	ENSGALG00000006078	14
ENSMODG00000006656	1	ENSGALG00000009282	5
ENSMODG00000006657	3	ENSGALG00000039761	AADN04001212.1
ENSMODG00000006662	1	ENSGALG00000028568	5
ENSMODG00000006663	6	ENSGALG00000006088	14
ENSMODG00000006665	2	ENSGALG00000031895	18
ENSMODG00000006666	1	ENSGALG00000008257	3
ENSMODG00000006669	6	ENSGALG00000002006	14
ENSMODG00000006670	1	ENSGALG00000032342	17
ENSMODG00000006671	3	ENSGALG00000039690	2
ENSMODG00000006672	3	ENSGALG00000043823	AADN04001212.1
ENSMODG00000006673	1	ENSGALG00000006912	6
ENSMODG00000006679	5	ENSGALG00000026111	5
ENSMODG00000006683	1	ENSGALG00000039791	17
ENSMODG00000006688	3	ENSGALG00000041266	AADN04001212.1
ENSMODG00000006689	1	ENSGALG00000015213	Z
ENSMODG00000006691	3	ENSGALG00000032489	AADN04001212.1
ENSMODG00000006693	6	ENSGALG00000006110	14
ENSMODG00000006694	2	ENSGALG00000001122	19
ENSMODG00000006695	3	ENSGALG00000035932	2
ENSMODG00000006697	1	ENSGALG00000030598	6
ENSMODG00000006698	4	ENSGALG00000000845	1
ENSMODG00000006701	2	ENSGALG00000010733	3
ENSMODG00000006704	5	ENSGALG00000006236	5
ENSMODG00000006705	3	ENSGALG00000032854	AADN04001212.1
ENSMODG00000006708	2	ENSGALG00000026940	18
ENSMODG00000006713	2	ENSGALG00000001473	21
ENSMODG00000006714	8	ENSGALG00000033178	2
ENSMODG00000006717	6	ENSGALG00000027592	14
ENSMODG00000006721	5	ENSGALG00000006231	5
ENSMODG00000006723	2	ENSGALG00000004495	18
ENSMODG00000006724	1	ENSGALG00000036965	17
ENSMODG00000006727	6	ENSGALG00000006117	14
ENSMODG00000006728	8	ENSGALG00000004613	19
ENSMODG00000006729	2	ENSGALG00000003833	8
ENSMODG00000006732	1	ENSGALG00000005132	11
ENSMODG00000006734	5	ENSGALG00000006220	5
ENSMODG00000006736	2	ENSGALG00000001392	21
ENSMODG00000006737	8	ENSGALG00000039999	2
ENSMODG00000006738	1	ENSGALG00000014614	6
ENSMODG00000006739	4	ENSGALG00000040418	1
ENSMODG00000006741	1	ENSGALG00000009300	5
ENSMODG00000006743	1	ENSGALG00000040205	13
ENSMODG00000006746	8	ENSGALG00000007065	2
ENSMODG00000006749	5	ENSGALG00000006216	5
ENSMODG00000006750	1	ENSGALG00000006670	6
ENSMODG00000006751	1	ENSGALG00000033591	13
ENSMODG00000006752	1	ENSGALG00000017611	17
ENSMODG00000006754	6	ENSGALG00000006140	14
ENSMODG00000006759	3	ENSGALG00000037704	AADN04012016.1
ENSMODG00000006761	1	ENSGALG00000004378	17
ENSMODG00000006764	8	ENSGALG00000007076	2
ENSMODG00000006766	1	ENSGALG00000002152	13
ENSMODG00000006768	1	ENSGALG00000009315	5
ENSMODG00000006770	3	ENSGALG00000036991	AADN04006785.1
ENSMODG00000006771	2	ENSGALG00000020002	3
ENSMODG00000006772	1	ENSGALG00000028236	17
ENSMODG00000006774	8	ENSGALG00000014188	1
ENSMODG00000006776	1	ENSGALG00000038013	17
ENSMODG00000006777	3	ENSGALG00000037164	2
ENSMODG00000006779	2	ENSGALG00000001382	21
ENSMODG00000006780	1	ENSGALG00000038043	6
ENSMODG00000006782	6	ENSGALG00000006156	14
ENSMODG00000006785	3	ENSGALG00000035621	AADN04006785.1
ENSMODG00000006787	2	ENSGALG00000043754	8
ENSMODG00000006788	1	ENSGALG00000005146	11
ENSMODG00000006790	8	ENSGALG00000014167	1
ENSMODG00000006791	5	ENSGALG00000006208	5
ENSMODG00000006792	1	ENSGALG00000009320	5
ENSMODG00000006795	2	ENSGALG00000001374	21
ENSMODG00000006797	2	ENSGALG00000045488	8
ENSMODG00000006798	1	ENSGALG00000006502	6
ENSMODG00000006801	6	ENSGALG00000042446	14
ENSMODG00000006802	8	ENSGALG00000014166	1
ENSMODG00000006804	3	ENSGALG00000029897	2
ENSMODG00000006805	3	ENSGALG00000042621	2
ENSMODG00000006807	3	ENSGALG00000040259	AADN04006785.1
ENSMODG00000006809	2	ENSGALG00000023359	18
ENSMODG00000006812	8	ENSGALG00000034275	1
ENSMODG00000006814	4	ENSGALG00000011214	1
ENSMODG00000006815	Un	ENSGALG00000004248	6
ENSMODG00000006816	1	ENSGALG00000033720	11
ENSMODG00000006817	2	ENSGALG00000010737	3
ENSMODG00000006818	2	ENSGALG00000021362	18
ENSMODG00000006819	6	ENSGALG00000006202	14
ENSMODG00000006820	1	ENSGALG00000009332	5
ENSMODG00000006821	1	ENSGALG00000002132	13
ENSMODG00000006823	3	ENSGALG00000000784	28
ENSMODG00000006826	2	ENSGALG00000001130	19
ENSMODG00000006827	1	ENSGALG00000006491	6
ENSMODG00000006829	2	ENSGALG00000042986	8
ENSMODG00000006832	1	ENSGALG00000004152	17
ENSMODG00000006835	1	ENSGALG00000002118	13
ENSMODG00000006837	3	ENSGALG00000024391	28
ENSMODG00000006841	5	ENSGALG00000006192	5
ENSMODG00000006842	2	ENSGALG00000010741	3
ENSMODG00000006844	3	ENSGALG00000037888	28
ENSMODG00000006845	2	ENSGALG00000032413	21
ENSMODG00000006846	2	ENSGALG00000027789	18
ENSMODG00000006847	8	ENSGALG00000014163	1
ENSMODG00000006848	3	ENSGALG00000045196	2
ENSMODG00000006850	2	ENSGALG00000033535	8
ENSMODG00000006852	2	ENSGALG00000040351	AADN04000710.1
ENSMODG00000006856	2	ENSGALG00000001153	19
ENSMODG00000006857	6	ENSGALG00000006270	14
ENSMODG00000006858	2	ENSGALG00000007650	18
ENSMODG00000006861	1	ENSGALG00000009338	5
ENSMODG00000006865	3	ENSGALG00000034050	2
ENSMODG00000006868	2	ENSGALG00000026263	8
ENSMODG00000006869	3	ENSGALG00000028029	28
ENSMODG00000006871	3	ENSGALG00000030866	2
ENSMODG00000006872	8	ENSGALG00000014140	1
ENSMODG00000006874	1	ENSGALG00000040549	6
ENSMODG00000006875	6	ENSGALG00000006286	14
ENSMODG00000006877	2	ENSGALG00000010748	3
ENSMODG00000006878	2	ENSGALG00000007747	18
ENSMODG00000006879	1	ENSGALG00000002113	13
ENSMODG00000006880	2	ENSGALG00000002485	19
ENSMODG00000006881	2	ENSGALG00000001334	21
ENSMODG00000006882	3	ENSGALG00000031424	2
ENSMODG00000006883	6	ENSGALG00000040675	14
ENSMODG00000006884	3	ENSGALG00000027838	28
ENSMODG00000006885	1	ENSGALG00000005251	11
ENSMODG00000006887	3	ENSGALG00000033880	2
ENSMODG00000006888	3	ENSGALG00000037527	AADN04003444.1
ENSMODG00000006889	1	ENSGALG00000009345	5
ENSMODG00000006890	1	ENSGALG00000002105	13
ENSMODG00000006893	1	ENSGALG00000000424	11
ENSMODG00000006897	3	ENSGALG00000000795	28
ENSMODG00000006899	Un	ENSGALG00000004066	21
ENSMODG00000006900	8	ENSGALG00000007082	2
ENSMODG00000006901	2	ENSGALG00000004614	8
ENSMODG00000006902	3	ENSGALG00000029264	2
ENSMODG00000006905	1	ENSGALG00000034216	11
ENSMODG00000006907	2	ENSGALG00000036742	19
ENSMODG00000006911	1	ENSGALG00000009787	6
ENSMODG00000006913	3	ENSGALG00000040782	AADN04003444.1
ENSMODG00000006914	8	ENSGALG00000011866	1
ENSMODG00000006915	2	ENSGALG00000027415	18
ENSMODG00000006916	1	ENSGALG00000041104	17
ENSMODG00000006917	6	ENSGALG00000002386	Z
ENSMODG00000006919	3	ENSGALG00000002085	28
ENSMODG00000006921	2	ENSGALG00000001174	19
ENSMODG00000006922	2	ENSGALG00000043793	AADN04007430.1
ENSMODG00000006927	3	ENSGALG00000017524	28
ENSMODG00000006929	2	ENSGALG00000010760	3
ENSMODG00000006932	8	ENSGALG00000011863	1
ENSMODG00000006935	3	ENSGALG00000041643	28
ENSMODG00000006937	3	ENSGALG00000042798	2
ENSMODG00000006940	3	ENSGALG00000030185	2
ENSMODG00000006941	1	ENSGALG00000009823	6
ENSMODG00000006942	2	ENSGALG00000035816	18
ENSMODG00000006943	2	ENSGALG00000010762	3
ENSMODG00000006944	8	ENSGALG00000007095	2
ENSMODG00000006945	4	ENSGALG00000017330	1
ENSMODG00000006946	1	ENSGALG00000008233	3
ENSMODG00000006947	6	ENSGALG00000027418	Z
ENSMODG00000006950	3	ENSGALG00000035845	2
ENSMODG00000006952	2	ENSGALG00000001189	19
ENSMODG00000006953	1	ENSGALG00000025996	6
ENSMODG00000006956	1	ENSGALG00000032349	11
ENSMODG00000006958	3	ENSGALG00000012311	4
ENSMODG00000006959	3	ENSGALG00000031824	AADN04003625.1
ENSMODG00000006961	3	ENSGALG00000033568	2
ENSMODG00000006963	6	ENSGALG00000008473	12
ENSMODG00000006966	3	ENSGALG00000040511	2
ENSMODG00000006970	3	ENSGALG00000035417	2
ENSMODG00000006974	3	ENSGALG00000029319	2
ENSMODG00000006976	3	ENSGALG00000041371	28
ENSMODG00000006980	3	ENSGALG00000035901	2
ENSMODG00000006983	4	ENSGALG00000017332	1
ENSMODG00000006986	3	ENSGALG00000014581	28
ENSMODG00000006987	6	ENSGALG00000008487	12
ENSMODG00000006988	3	ENSGALG00000040366	2
ENSMODG00000006989	2	ENSGALG00000007503	7
ENSMODG00000006993	8	ENSGALG00000011878	1
ENSMODG00000006995	5	ENSGALG00000006172	5
ENSMODG00000006996	1	ENSGALG00000039985	11
ENSMODG00000006998	1	ENSGALG00000004088	17
ENSMODG00000007000	1	ENSGALG00000009368	5
ENSMODG00000007001	3	ENSGALG00000041353	2
ENSMODG00000007002	3	ENSGALG00000037261	28
ENSMODG00000007004	5	ENSGALG00000020505	5
ENSMODG00000007005	2	ENSGALG00000004620	8
ENSMODG00000007006	3	ENSGALG00000027375	28
ENSMODG00000007007	6	ENSGALG00000027630	Z
ENSMODG00000007009	2	ENSGALG00000032698	KQ759409.1
ENSMODG00000007011	6	ENSGALG00000008500	12
ENSMODG00000007012	5	ENSGALG00000006446	5
ENSMODG00000007013	6	ENSGALG00000028118	Z
ENSMODG00000007014	2	ENSGALG00000013165	2
ENSMODG00000007015	5	ENSGALG00000006147	5
ENSMODG00000007016	6	ENSGALG00000002200	14
ENSMODG00000007018	6	ENSGALG00000008506	12
ENSMODG00000007020	2	ENSGALG00000029445	18
ENSMODG00000007021	4	ENSGALG00000033601	AADN04018475.1
ENSMODG00000007022	2	ENSGALG00000021665	19
ENSMODG00000007023	6	ENSGALG00000002394	Z
ENSMODG00000007024	8	ENSGALG00000011894	1
ENSMODG00000007030	8	ENSGALG00000035223	1
ENSMODG00000007031	4	ENSGALG00000030652	1
ENSMODG00000007032	6	ENSGALG00000026038	14
ENSMODG00000007035	2	ENSGALG00000038769	18
ENSMODG00000007041	1	ENSGALG00000004052	17
ENSMODG00000007047	6	ENSGALG00000008519	12
ENSMODG00000007049	1	ENSGALG00000002080	13
ENSMODG00000007050	8	ENSGALG00000011900	1
ENSMODG00000007051	4	ENSGALG00000017302	1
ENSMODG00000007054	2	ENSGALG00000007791	18
ENSMODG00000007055	3	ENSGALG00000026563	28
ENSMODG00000007057	2	ENSGALG00000004642	8
ENSMODG00000007058	5	ENSGALG00000006427	5
ENSMODG00000007059	6	ENSGALG00000002239	14
ENSMODG00000007062	5	ENSGALG00000006121	5
ENSMODG00000007065	1	ENSGALG00000027809	13
ENSMODG00000007066	1	ENSGALG00000012710	17
ENSMODG00000007069	8	ENSGALG00000007125	2
ENSMODG00000007070	6	ENSGALG00000002267	14
ENSMODG00000007072	4	ENSGALG00000016287	1
ENSMODG00000007075	2	ENSGALG00000028214	18
ENSMODG00000007076	6	ENSGALG00000002273	14
ENSMODG00000007077	3	ENSGALG00000029015	28
ENSMODG00000007078	5	ENSGALG00000006096	5
ENSMODG00000007084	2	ENSGALG00000039772	3
ENSMODG00000007086	1	ENSGALG00000001942	13
ENSMODG00000007089	3	ENSGALG00000042132	28
ENSMODG00000007090	2	ENSGALG00000041548	AADN04015470.1
ENSMODG00000007092	2	ENSGALG00000001618	18
ENSMODG00000007099	3	ENSGALG00000037955	2
ENSMODG00000007102	2	ENSGALG00000031427	3
ENSMODG00000007103	1	ENSGALG00000000296	5
ENSMODG00000007110	2	ENSGALG00000007808	18
ENSMODG00000007111	2	ENSGALG00000039839	18
ENSMODG00000007112	3	ENSGALG00000031390	2
