Opossum	ChrOpossum	Platypus	ChrPlatypus
ENSMODG00000006595	4	ENSOANG00000009496	Contig13662
ENSMODG00000006597	3	ENSOANG00000006982	Contig3986
ENSMODG00000006601	3	ENSOANG00000013850	Contig25211
ENSMODG00000006603	2	ENSOANG00000009312	Contig14034
ENSMODG00000006605	2	ENSOANG00000001841	Contig8130
ENSMODG00000006606	1	ENSOANG00000015707	Contig11109
ENSMODG00000006608	3	ENSOANG00000006977	Contig3986
ENSMODG00000006611	1	ENSOANG00000009675	Contig11142
ENSMODG00000006612	1	ENSOANG00000012054	Ultra36
ENSMODG00000006613	3	ENSOANG00000010033	Contig20053
ENSMODG00000006616	2	ENSOANG00000007557	Contig10813
ENSMODG00000006618	6	ENSOANG00000002418	Ultra281
ENSMODG00000006620	1	ENSOANG00000014124	Contig21998
ENSMODG00000006623	4	ENSOANG00000012528	Ultra178
ENSMODG00000006626	2	ENSOANG00000010258	Ultra67
ENSMODG00000006630	1	ENSOANG00000015725	Ultra110
ENSMODG00000006632	1	ENSOANG00000014623	Contig2191
ENSMODG00000006633	6	ENSOANG00000002417	Ultra281
ENSMODG00000006634	2	ENSOANG00000007675	Contig8226
ENSMODG00000006637	6	ENSOANG00000014307	2
ENSMODG00000006639	1	ENSOANG00000015724	Ultra110
ENSMODG00000006640	1	ENSOANG00000012777	Contig10857
ENSMODG00000006641	3	ENSOANG00000015045	Ultra419
ENSMODG00000006642	2	ENSOANG00000010263	Ultra67
ENSMODG00000006644	2	ENSOANG00000007674	Contig8226
ENSMODG00000006646	2	ENSOANG00000029633	Contig35213
ENSMODG00000006647	4	ENSOANG00000009742	Ultra178
ENSMODG00000006648	3	ENSOANG00000000812	Contig5782
ENSMODG00000006649	1	ENSOANG00000021715	Contig2567
ENSMODG00000006651	4	ENSOANG00000009741	Ultra178
ENSMODG00000006653	3	ENSOANG00000015046	Ultra419
ENSMODG00000006654	6	ENSOANG00000007671	2
ENSMODG00000006657	3	ENSOANG00000012102	Contig14076
ENSMODG00000006660	1	ENSOANG00000012822	Contig119140
ENSMODG00000006663	6	ENSOANG00000007670	2
ENSMODG00000006664	Un	ENSOANG00000013714	Contig20882
ENSMODG00000006665	2	ENSOANG00000009565	Contig1435
ENSMODG00000006666	1	ENSOANG00000019988	Contig7104
ENSMODG00000006671	3	ENSOANG00000015458	Contig19371
ENSMODG00000006672	3	ENSOANG00000001370	Contig12816
ENSMODG00000006673	1	ENSOANG00000015723	Ultra110
ENSMODG00000006679	5	ENSOANG00000000809	Contig3798
ENSMODG00000006683	1	ENSOANG00000013511	Contig8754
ENSMODG00000006688	3	ENSOANG00000010453	Contig16428
ENSMODG00000006691	3	ENSOANG00000011944	Ultra326
ENSMODG00000006692	2	ENSOANG00000009543	Contig2009
ENSMODG00000006693	6	ENSOANG00000007668	2
ENSMODG00000006694	2	ENSOANG00000008778	Contig36252
ENSMODG00000006695	3	ENSOANG00000008159	Contig9315
ENSMODG00000006696	6	ENSOANG00000014306	2
ENSMODG00000006697	1	ENSOANG00000010163	Contig3473
ENSMODG00000006698	4	ENSOANG00000014556	Contig3225
ENSMODG00000006700	3	ENSOANG00000013949	Contig10567
ENSMODG00000006701	2	ENSOANG00000010265	Ultra67
ENSMODG00000006704	5	ENSOANG00000012328	Contig4587
ENSMODG00000006705	3	ENSOANG00000013181	Ultra377
ENSMODG00000006706	1	ENSOANG00000000459	Contig24452
ENSMODG00000006707	1	ENSOANG00000031413	Contig13939
ENSMODG00000006708	2	ENSOANG00000003282	Ultra151
ENSMODG00000006711	Un	ENSOANG00000011196	Contig36959
ENSMODG00000006713	2	ENSOANG00000028355	Contig30834
ENSMODG00000006714	8	ENSOANG00000006083	Ultra274
ENSMODG00000006716	1	ENSOANG00000012631	1
ENSMODG00000006717	6	ENSOANG00000007667	2
ENSMODG00000006721	5	ENSOANG00000030336	Contig4587
ENSMODG00000006723	2	ENSOANG00000003283	Ultra151
ENSMODG00000006724	1	ENSOANG00000008240	4
ENSMODG00000006727	6	ENSOANG00000007385	Contig4775
ENSMODG00000006728	8	ENSOANG00000012692	Ultra69
ENSMODG00000006729	2	ENSOANG00000000975	Ultra341
ENSMODG00000006730	6	ENSOANG00000014305	2
ENSMODG00000006733	2	ENSOANG00000031857	Contig55019
ENSMODG00000006734	5	ENSOANG00000003052	Ultra327
ENSMODG00000006735	2	ENSOANG00000003284	Ultra151
ENSMODG00000006736	2	ENSOANG00000000644	Contig19161
ENSMODG00000006738	1	ENSOANG00000000256	Ultra110
ENSMODG00000006740	1	ENSOANG00000012630	1
ENSMODG00000006743	1	ENSOANG00000007795	X1
ENSMODG00000006746	8	ENSOANG00000006082	Ultra274
ENSMODG00000006750	1	ENSOANG00000007033	Ultra12
ENSMODG00000006751	1	ENSOANG00000007798	X1
ENSMODG00000006761	1	ENSOANG00000001314	4
ENSMODG00000006764	8	ENSOANG00000006080	Ultra274
ENSMODG00000006766	1	ENSOANG00000007799	X1
ENSMODG00000006770	3	ENSOANG00000013178	Ultra377
ENSMODG00000006771	2	ENSOANG00000003431	Contig2038
ENSMODG00000006774	8	ENSOANG00000028635	Contig2211
ENSMODG00000006776	1	ENSOANG00000002549	4
ENSMODG00000006779	2	ENSOANG00000000645	Contig19161
ENSMODG00000006780	1	ENSOANG00000011999	Ultra12
ENSMODG00000006782	6	ENSOANG00000014296	Ultra123
ENSMODG00000006783	Un	ENSOANG00000012840	Contig6155
ENSMODG00000006785	3	ENSOANG00000013177	Ultra377
ENSMODG00000006787	2	ENSOANG00000000979	Ultra341
ENSMODG00000006788	1	ENSOANG00000015274	Contig13289
ENSMODG00000006789	1	ENSOANG00000002550	4
ENSMODG00000006790	8	ENSOANG00000021608	Contig22784
ENSMODG00000006795	2	ENSOANG00000000642	Contig4774
ENSMODG00000006798	1	ENSOANG00000012000	Ultra12
ENSMODG00000006801	6	ENSOANG00000011283	Contig2153
ENSMODG00000006804	3	ENSOANG00000019964	Ultra753
ENSMODG00000006805	3	ENSOANG00000011349	Ultra521
ENSMODG00000006807	3	ENSOANG00000013176	Ultra377
ENSMODG00000006809	2	ENSOANG00000003285	Ultra151
ENSMODG00000006810	1	ENSOANG00000002551	4
ENSMODG00000006811	1	ENSOANG00000001588	Contig5065
ENSMODG00000006814	4	ENSOANG00000012755	Contig9897
ENSMODG00000006815	Un	ENSOANG00000008889	Contig1129
ENSMODG00000006816	1	ENSOANG00000012209	Contig17207
ENSMODG00000006817	2	ENSOANG00000010267	Ultra67
ENSMODG00000006818	2	ENSOANG00000003287	Ultra151
ENSMODG00000006819	6	ENSOANG00000014301	Ultra123
ENSMODG00000006820	1	ENSOANG00000001056	Contig867
ENSMODG00000006821	1	ENSOANG00000007800	X1
ENSMODG00000006823	3	ENSOANG00000006295	Ultra355
ENSMODG00000006826	2	ENSOANG00000030053	Contig60570
ENSMODG00000006827	1	ENSOANG00000012001	Ultra12
ENSMODG00000006829	2	ENSOANG00000000982	Ultra341
ENSMODG00000006830	1	ENSOANG00000001587	Contig5065
ENSMODG00000006832	1	ENSOANG00000002552	4
ENSMODG00000006835	1	ENSOANG00000007801	X1
ENSMODG00000006836	3	ENSOANG00000013175	Ultra377
ENSMODG00000006837	3	ENSOANG00000006296	Ultra355
ENSMODG00000006838	1	ENSOANG00000001061	Ultra249
ENSMODG00000006840	3	ENSOANG00000003682	4
ENSMODG00000006841	5	ENSOANG00000007679	Ultra270
ENSMODG00000006844	3	ENSOANG00000013517	Contig12797
ENSMODG00000006845	2	ENSOANG00000006377	Ultra468
ENSMODG00000006846	2	ENSOANG00000012583	Ultra428
ENSMODG00000006847	8	ENSOANG00000015127	Contig7474
ENSMODG00000006848	3	ENSOANG00000003683	4
ENSMODG00000006850	2	ENSOANG00000000984	Ultra341
ENSMODG00000006852	2	ENSOANG00000014283	Contig24705
ENSMODG00000006856	2	ENSOANG00000000328	Contig10108
ENSMODG00000006858	2	ENSOANG00000012584	Ultra428
ENSMODG00000006861	1	ENSOANG00000020058	Contig26001
ENSMODG00000006862	4	ENSOANG00000019968	Contig16921
ENSMODG00000006865	3	ENSOANG00000003684	4
ENSMODG00000006867	2	ENSOANG00000012585	Ultra428
ENSMODG00000006868	2	ENSOANG00000000985	Ultra341
ENSMODG00000006869	3	ENSOANG00000013516	Contig12797
ENSMODG00000006872	8	ENSOANG00000005849	Ultra634
ENSMODG00000006873	1	ENSOANG00000019933	Contig23905
ENSMODG00000006876	2	ENSOANG00000030666	Contig94233
ENSMODG00000006877	2	ENSOANG00000010268	Ultra67
ENSMODG00000006878	2	ENSOANG00000012586	Ultra428
ENSMODG00000006879	1	ENSOANG00000007802	X1
ENSMODG00000006880	2	ENSOANG00000010442	Contig8068
ENSMODG00000006881	2	ENSOANG00000006378	Ultra468
ENSMODG00000006882	3	ENSOANG00000003977	4
ENSMODG00000006883	6	ENSOANG00000029206	Ultra123
ENSMODG00000006884	3	ENSOANG00000013515	Contig12797
ENSMODG00000006885	1	ENSOANG00000028895	Contig25158
ENSMODG00000006887	3	ENSOANG00000001479	Contig12266
ENSMODG00000006888	3	ENSOANG00000010051	Contig11571
ENSMODG00000006890	1	ENSOANG00000007803	X1
ENSMODG00000006894	3	ENSOANG00000007650	Contig5719
ENSMODG00000006897	3	ENSOANG00000014325	Contig12641
ENSMODG00000006898	6	ENSOANG00000012592	Contig10364
ENSMODG00000006899	Un	ENSOANG00000015340	Contig642
ENSMODG00000006900	8	ENSOANG00000006077	Ultra274
ENSMODG00000006901	2	ENSOANG00000000987	Ultra341
ENSMODG00000006902	3	ENSOANG00000008301	Contig12304
ENSMODG00000006903	1	ENSOANG00000028869	Contig22735
ENSMODG00000006905	1	ENSOANG00000020353	Contig5746
ENSMODG00000006913	3	ENSOANG00000007648	Contig5719
ENSMODG00000006914	8	ENSOANG00000015007	Contig23376
ENSMODG00000006916	1	ENSOANG00000002553	4
ENSMODG00000006917	6	ENSOANG00000030733	Contig36092
ENSMODG00000006918	2	ENSOANG00000007295	Ultra61
ENSMODG00000006919	3	ENSOANG00000030591	Contig34673
ENSMODG00000006927	3	ENSOANG00000014789	Ultra355
ENSMODG00000006932	8	ENSOANG00000011029	Contig15537
ENSMODG00000006935	3	ENSOANG00000009557	Ultra621
ENSMODG00000006939	6	ENSOANG00000002634	2
ENSMODG00000006940	3	ENSOANG00000001414	4
ENSMODG00000006941	1	ENSOANG00000022429	Contig9948
ENSMODG00000006942	2	ENSOANG00000012587	Ultra428
ENSMODG00000006944	8	ENSOANG00000006068	Ultra274
ENSMODG00000006945	4	ENSOANG00000029410	Ultra661
ENSMODG00000006946	1	ENSOANG00000012628	1
ENSMODG00000006951	2	ENSOANG00000007203	Contig17994
ENSMODG00000006952	2	ENSOANG00000028421	Contig48308
ENSMODG00000006953	1	ENSOANG00000030909	Contig25330
ENSMODG00000006955	2	ENSOANG00000000989	Ultra341
ENSMODG00000006958	3	ENSOANG00000012614	Contig3286
ENSMODG00000006959	3	ENSOANG00000014251	Contig10177
ENSMODG00000006965	1	ENSOANG00000001916	Ultra560
ENSMODG00000006966	3	ENSOANG00000001415	4
ENSMODG00000006970	3	ENSOANG00000006338	Contig107539
ENSMODG00000006973	2	ENSOANG00000000990	Ultra341
ENSMODG00000006974	3	ENSOANG00000001416	4
ENSMODG00000006976	3	ENSOANG00000013481	Contig9134
ENSMODG00000006978	3	ENSOANG00000009080	Ultra326
ENSMODG00000006987	6	ENSOANG00000014027	X1
ENSMODG00000006988	3	ENSOANG00000006263	4
ENSMODG00000006989	2	ENSOANG00000010271	Ultra67
ENSMODG00000006993	8	ENSOANG00000004238	Contig1041
ENSMODG00000006995	5	ENSOANG00000007680	Ultra270
ENSMODG00000006996	1	ENSOANG00000007715	Contig1442
ENSMODG00000006997	3	ENSOANG00000009079	Ultra326
ENSMODG00000006998	1	ENSOANG00000002554	4
ENSMODG00000006999	Un	ENSOANG00000012955	Contig10025
ENSMODG00000007000	1	ENSOANG00000004085	Ultra333
ENSMODG00000007001	3	ENSOANG00000001451	Contig7226
ENSMODG00000007002	3	ENSOANG00000003658	Contig7760
ENSMODG00000007004	5	ENSOANG00000007682	Ultra270
ENSMODG00000007005	2	ENSOANG00000000991	Ultra341
ENSMODG00000007007	6	ENSOANG00000005200	Contig15727
ENSMODG00000007009	2	ENSOANG00000003303	Contig11955
ENSMODG00000007011	6	ENSOANG00000014024	X1
ENSMODG00000007014	2	ENSOANG00000010272	Ultra67
ENSMODG00000007015	5	ENSOANG00000007683	Ultra270
ENSMODG00000007018	6	ENSOANG00000021369	X1
ENSMODG00000007020	2	ENSOANG00000012588	Ultra428
ENSMODG00000007021	4	ENSOANG00000029737	Contig25831
ENSMODG00000007022	2	ENSOANG00000012919	Contig5624
ENSMODG00000007023	6	ENSOANG00000009626	Contig29594
ENSMODG00000007024	8	ENSOANG00000004239	Contig1041
ENSMODG00000007030	8	ENSOANG00000004240	Contig1041
ENSMODG00000007039	2	ENSOANG00000000992	Ultra341
ENSMODG00000007041	1	ENSOANG00000002555	4
ENSMODG00000007046	1	ENSOANG00000014068	Ultra224
ENSMODG00000007047	6	ENSOANG00000010886	X1
ENSMODG00000007050	8	ENSOANG00000004242	Contig1041
ENSMODG00000007054	2	ENSOANG00000020604	Contig58718
ENSMODG00000007055	3	ENSOANG00000029891	Contig25222
ENSMODG00000007056	8	ENSOANG00000004243	Contig1041
ENSMODG00000007057	2	ENSOANG00000000993	Ultra341
ENSMODG00000007059	6	ENSOANG00000014291	2
ENSMODG00000007062	5	ENSOANG00000007685	Ultra270
ENSMODG00000007065	1	ENSOANG00000007807	X1
ENSMODG00000007066	1	ENSOANG00000001037	4
ENSMODG00000007069	8	ENSOANG00000006064	Ultra274
ENSMODG00000007070	6	ENSOANG00000014290	2
ENSMODG00000007072	4	ENSOANG00000010905	Ultra98
ENSMODG00000007075	2	ENSOANG00000004377	Contig12618
ENSMODG00000007076	6	ENSOANG00000014289	2
ENSMODG00000007077	3	ENSOANG00000012176	Contig14752
ENSMODG00000007078	5	ENSOANG00000007687	Ultra270
ENSMODG00000007084	2	ENSOANG00000010274	Ultra67
ENSMODG00000007089	3	ENSOANG00000007136	Ultra21
ENSMODG00000007090	2	ENSOANG00000004333	Contig26401
ENSMODG00000007092	2	ENSOANG00000000392	Contig20454
ENSMODG00000007102	2	ENSOANG00000010276	Ultra67
ENSMODG00000007103	1	ENSOANG00000020892	Contig2779
ENSMODG00000007108	1	ENSOANG00000021128	Contig23728
ENSMODG00000007111	2	ENSOANG00000005217	Ultra428
ENSMODG00000007112	3	ENSOANG00000031011	Contig20651
ENSMODG00000007116	8	ENSOANG00000015792	Contig1295
ENSMODG00000007121	2	ENSOANG00000004375	Contig12618
ENSMODG00000007122	2	ENSOANG00000005216	Ultra428
ENSMODG00000007123	8	ENSOANG00000005944	Ultra124
ENSMODG00000007125	1	ENSOANG00000008836	Contig23728
ENSMODG00000007126	2	ENSOANG00000007032	Contig4120
ENSMODG00000007130	4	ENSOANG00000004495	Contig9723
ENSMODG00000007131	6	ENSOANG00000010885	X1
ENSMODG00000007132	8	ENSOANG00000015794	Contig1295
ENSMODG00000007135	2	ENSOANG00000005218	Ultra428
ENSMODG00000007138	5	ENSOANG00000007688	Ultra270
ENSMODG00000007139	2	ENSOANG00000000994	Ultra341
ENSMODG00000007140	8	ENSOANG00000005943	Ultra124
ENSMODG00000007141	3	ENSOANG00000015804	Contig22186
ENSMODG00000007142	1	ENSOANG00000008837	Contig23728
ENSMODG00000007144	3	ENSOANG00000001721	Contig1612
ENSMODG00000007145	8	ENSOANG00000015796	Contig1295
ENSMODG00000007146	2	ENSOANG00000007029	Contig4120
ENSMODG00000007147	5	ENSOANG00000007690	Ultra270
ENSMODG00000007149	1	ENSOANG00000019900	Contig60902
ENSMODG00000007155	3	ENSOANG00000002219	Ultra453
ENSMODG00000007156	2	ENSOANG00000029470	Ultra61
ENSMODG00000007158	2	ENSOANG00000007027	Contig4120
ENSMODG00000007162	3	ENSOANG00000012450	Ultra21
ENSMODG00000007163	4	ENSOANG00000014177	Contig5634
ENSMODG00000007165	1	ENSOANG00000007810	X1
ENSMODG00000007170	2	ENSOANG00000013057	Contig55077
ENSMODG00000007174	1	ENSOANG00000005497	Contig18274
ENSMODG00000007176	4	ENSOANG00000015335	Contig10884
ENSMODG00000007179	2	ENSOANG00000005646	Contig16300
ENSMODG00000007181	6	ENSOANG00000031045	Contig13636
ENSMODG00000007182	1	ENSOANG00000007809	X1
ENSMODG00000007184	2	ENSOANG00000000997	Ultra341
ENSMODG00000007186	6	ENSOANG00000014287	2
ENSMODG00000007189	3	ENSOANG00000006409	Contig6660
ENSMODG00000007196	4	ENSOANG00000006988	Contig5511
ENSMODG00000007199	4	ENSOANG00000006764	Ultra98
ENSMODG00000007200	1	ENSOANG00000012576	Contig13964
ENSMODG00000007201	3	ENSOANG00000020387	Contig51023
ENSMODG00000007202	4	ENSOANG00000029985	Contig3292
ENSMODG00000007207	6	ENSOANG00000014286	2
ENSMODG00000007209	4	ENSOANG00000010596	Contig3292
ENSMODG00000007215	3	ENSOANG00000013522	Contig1416
ENSMODG00000007218	1	ENSOANG00000013121	Ultra316
ENSMODG00000007219	8	ENSOANG00000005942	Ultra124
ENSMODG00000007224	5	ENSOANG00000022345	Ultra270
ENSMODG00000007225	3	ENSOANG00000002317	7
ENSMODG00000007227	1	ENSOANG00000012053	Ultra36
ENSMODG00000007228	1	ENSOANG00000001022	Contig12565
ENSMODG00000007229	3	ENSOANG00000009334	Ultra21
ENSMODG00000007232	6	ENSOANG00000029701	Contig18890
ENSMODG00000007233	1	ENSOANG00000013835	Contig4008
ENSMODG00000007236	5	ENSOANG00000022342	Ultra270
ENSMODG00000007242	6	ENSOANG00000006873	Contig3795
ENSMODG00000007246	2	ENSOANG00000008323	Contig1937
ENSMODG00000007249	1	ENSOANG00000029183	Contig2849
ENSMODG00000007252	4	ENSOANG00000012979	Contig39654
ENSMODG00000007259	6	ENSOANG00000006874	Contig3795
ENSMODG00000007262	6	ENSOANG00000005241	Contig15625
ENSMODG00000007265	8	ENSOANG00000005535	Contig7688
ENSMODG00000007268	3	ENSOANG00000004746	Ultra453
ENSMODG00000007269	6	ENSOANG00000002131	Contig793
ENSMODG00000007272	2	ENSOANG00000020458	Ultra341
ENSMODG00000007273	5	ENSOANG00000006368	Contig8628
ENSMODG00000007275	6	ENSOANG00000012273	Ultra348
ENSMODG00000007277	6	ENSOANG00000005239	Contig15625
ENSMODG00000007280	5	ENSOANG00000032034	Contig11697
ENSMODG00000007284	8	ENSOANG00000015800	Contig1295
ENSMODG00000007285	2	ENSOANG00000012579	Ultra428
ENSMODG00000007286	3	ENSOANG00000013122	Contig3237
ENSMODG00000007289	6	ENSOANG00000012272	Ultra348
ENSMODG00000007290	2	ENSOANG00000008324	Contig1937
ENSMODG00000007292	1	ENSOANG00000007813	X1
ENSMODG00000007296	1	ENSOANG00000009779	Contig14969
ENSMODG00000007297	3	ENSOANG00000014223	Contig17419
ENSMODG00000007299	2	ENSOANG00000001004	Ultra341
ENSMODG00000007301	1	ENSOANG00000000745	Ultra12
ENSMODG00000007303	5	ENSOANG00000006654	Contig9891
ENSMODG00000007304	8	ENSOANG00000032147	Contig8326
ENSMODG00000007305	2	ENSOANG00000008325	Contig1937
ENSMODG00000007310	1	ENSOANG00000031929	Contig15128
ENSMODG00000007311	4	ENSOANG00000031800	Contig43681
ENSMODG00000007315	2	ENSOANG00000003292	Ultra151
ENSMODG00000007316	3	ENSOANG00000005327	Contig26567
ENSMODG00000007323	8	ENSOANG00000005936	Ultra124
ENSMODG00000007328	2	ENSOANG00000008326	Contig1937
ENSMODG00000007332	2	ENSOANG00000001005	Ultra341
ENSMODG00000007334	1	ENSOANG00000013997	4
ENSMODG00000007335	5	ENSOANG00000006884	Ultra268
ENSMODG00000007336	4	ENSOANG00000019857	Contig7935
ENSMODG00000007337	8	ENSOANG00000002392	6
ENSMODG00000007342	2	ENSOANG00000008328	Contig1937
ENSMODG00000007343	3	ENSOANG00000011348	Ultra48
ENSMODG00000007346	7	ENSOANG00000011307	Ultra284
ENSMODG00000007348	3	ENSOANG00000021218	Contig26624
ENSMODG00000007350	1	ENSOANG00000001086	Contig15590
ENSMODG00000007352	1	ENSOANG00000013999	4
ENSMODG00000007357	2	ENSOANG00000001006	Ultra341
ENSMODG00000007360	5	ENSOANG00000009946	2
ENSMODG00000007363	2	ENSOANG00000008865	Contig17050
ENSMODG00000007364	5	ENSOANG00000011295	3
ENSMODG00000007365	8	ENSOANG00000006277	Ultra201
ENSMODG00000007366	2	ENSOANG00000001007	Ultra341
ENSMODG00000007371	5	ENSOANG00000009944	2
ENSMODG00000007377	2	ENSOANG00000012996	Contig24240
ENSMODG00000007386	3	ENSOANG00000019912	Ultra516
ENSMODG00000007387	8	ENSOANG00000005934	Ultra124
ENSMODG00000007389	2	ENSOANG00000003295	Ultra151
ENSMODG00000007395	3	ENSOANG00000022146	Contig24073
ENSMODG00000007396	8	ENSOANG00000001889	Ultra201
ENSMODG00000007399	3	ENSOANG00000007880	Contig59236
ENSMODG00000007405	2	ENSOANG00000008329	Contig1937
ENSMODG00000007410	8	ENSOANG00000001890	Ultra201
ENSMODG00000007411	2	ENSOANG00000003298	Ultra151
ENSMODG00000007413	6	ENSOANG00000030185	Contig24912
ENSMODG00000007414	5	ENSOANG00000020955	Ultra276
ENSMODG00000007415	3	ENSOANG00000029625	Contig27922
ENSMODG00000007418	4	ENSOANG00000006333	Contig3483
ENSMODG00000007419	2	ENSOANG00000005827	Ultra151
ENSMODG00000007420	2	ENSOANG00000012199	Ultra61
ENSMODG00000007421	2	ENSOANG00000010281	Ultra67
ENSMODG00000007422	2	ENSOANG00000001008	Ultra341
ENSMODG00000007425	7	ENSOANG00000011304	Ultra284
ENSMODG00000007426	2	ENSOANG00000008331	Contig1937
ENSMODG00000007427	4	ENSOANG00000030550	Contig22599
ENSMODG00000007429	2	ENSOANG00000001186	Contig20076
ENSMODG00000007430	6	ENSOANG00000007148	Contig8202
ENSMODG00000007431	3	ENSOANG00000015734	X2
ENSMODG00000007432	7	ENSOANG00000011303	Ultra284
ENSMODG00000007433	8	ENSOANG00000001891	Ultra201
ENSMODG00000007436	3	ENSOANG00000015735	X2
ENSMODG00000007438	2	ENSOANG00000030893	Contig38703
ENSMODG00000007439	8	ENSOANG00000006063	Ultra274
ENSMODG00000007440	2	ENSOANG00000001187	Contig20076
ENSMODG00000007441	3	ENSOANG00000013501	7
ENSMODG00000007442	5	ENSOANG00000006570	Ultra276
ENSMODG00000007448	4	ENSOANG00000007736	Contig2811
ENSMODG00000007452	6	ENSOANG00000029239	Contig10220
ENSMODG00000007454	2	ENSOANG00000001010	Ultra341
ENSMODG00000007455	8	ENSOANG00000001893	Ultra201
ENSMODG00000007458	2	ENSOANG00000011917	7
ENSMODG00000007459	2	ENSOANG00000009396	Contig2568
ENSMODG00000007461	4	ENSOANG00000007738	Contig2811
ENSMODG00000007462	X	ENSOANG00000002181	Contig16160
ENSMODG00000007463	6	ENSOANG00000001974	Contig17534
ENSMODG00000007472	2	ENSOANG00000001013	Ultra341
ENSMODG00000007474	2	ENSOANG00000020516	Ultra589
ENSMODG00000007477	2	ENSOANG00000005718	Contig4232
ENSMODG00000007478	2	ENSOANG00000012198	Ultra61
ENSMODG00000007480	5	ENSOANG00000006440	Ultra707
ENSMODG00000007482	Un	ENSOANG00000013272	Contig16036
ENSMODG00000007488	2	ENSOANG00000028689	2
ENSMODG00000007489	1	ENSOANG00000014001	4
ENSMODG00000007497	2	ENSOANG00000009397	Contig2568
ENSMODG00000007498	4	ENSOANG00000007210	Contig19231
ENSMODG00000007499	2	ENSOANG00000004958	Ultra151
ENSMODG00000007500	3	ENSOANG00000001913	Ultra48
ENSMODG00000007501	6	ENSOANG00000011783	Contig11375
ENSMODG00000007502	1	ENSOANG00000028730	Contig11885
ENSMODG00000007505	1	ENSOANG00000014002	4
ENSMODG00000007511	1	ENSOANG00000014003	4
ENSMODG00000007512	4	ENSOANG00000011502	Ultra462
ENSMODG00000007513	5	ENSOANG00000004111	Contig3294
ENSMODG00000007521	2	ENSOANG00000000632	Contig2156
ENSMODG00000007524	5	ENSOANG00000006442	Ultra707
ENSMODG00000007525	6	ENSOANG00000007474	Contig6793
ENSMODG00000007528	3	ENSOANG00000015030	Ultra48
ENSMODG00000007529	1	ENSOANG00000029092	Contig112431
ENSMODG00000007531	2	ENSOANG00000003380	Ultra197
ENSMODG00000007532	2	ENSOANG00000015844	Contig4053
ENSMODG00000007537	3	ENSOANG00000029483	Ultra48
ENSMODG00000007540	2	ENSOANG00000014605	Ultra215
ENSMODG00000007541	4	ENSOANG00000011504	Ultra462
ENSMODG00000007542	1	ENSOANG00000012165	Contig5633
ENSMODG00000007544	5	ENSOANG00000003113	3
ENSMODG00000007545	6	ENSOANG00000007476	Contig6793
ENSMODG00000007546	4	ENSOANG00000006233	Ultra514
ENSMODG00000007547	4	ENSOANG00000007209	Contig19231
ENSMODG00000007554	2	ENSOANG00000011684	Contig14453
ENSMODG00000007557	5	ENSOANG00000003114	3
ENSMODG00000007560	2	ENSOANG00000014378	Contig13178
ENSMODG00000007561	3	ENSOANG00000013899	Contig6717
ENSMODG00000007562	2	ENSOANG00000015843	Contig4053
ENSMODG00000007566	4	ENSOANG00000008490	Ultra514
ENSMODG00000007568	2	ENSOANG00000001014	Ultra341
ENSMODG00000007569	4	ENSOANG00000013904	Ultra725
ENSMODG00000007571	5	ENSOANG00000005059	Contig19695
ENSMODG00000007573	6	ENSOANG00000003452	Contig1202
ENSMODG00000007574	2	ENSOANG00000004956	Ultra151
ENSMODG00000007576	4	ENSOANG00000013906	Ultra725
ENSMODG00000007585	2	ENSOANG00000029746	Contig25140
ENSMODG00000007592	2	ENSOANG00000011951	Contig2948
ENSMODG00000007594	4	ENSOANG00000000297	Contig15805
ENSMODG00000007595	3	ENSOANG00000013504	7
ENSMODG00000007597	4	ENSOANG00000005597	Contig28626
ENSMODG00000007600	4	ENSOANG00000004335	Contig23709
ENSMODG00000007603	6	ENSOANG00000022069	Contig5952
ENSMODG00000007604	8	ENSOANG00000006058	Ultra274
ENSMODG00000007605	2	ENSOANG00000015842	Contig4053
ENSMODG00000007607	3	ENSOANG00000015357	Contig10796
ENSMODG00000007608	4	ENSOANG00000008055	Contig7967
ENSMODG00000007609	1	ENSOANG00000004634	Ultra701
ENSMODG00000007616	5	ENSOANG00000014197	Contig11999
ENSMODG00000007617	2	ENSOANG00000021228	Contig5973
ENSMODG00000007620	8	ENSOANG00000005965	Contig54716
ENSMODG00000007621	2	ENSOANG00000008317	Contig35194
ENSMODG00000007623	1	ENSOANG00000022259	Ultra758
ENSMODG00000007626	6	ENSOANG00000031601	Contig20432
ENSMODG00000007627	5	ENSOANG00000012461	Ultra679
ENSMODG00000007628	3	ENSOANG00000011998	Contig773
ENSMODG00000007630	6	ENSOANG00000004469	Contig29572
ENSMODG00000007635	4	ENSOANG00000007836	Contig37142
ENSMODG00000007636	2	ENSOANG00000012912	Contig19997
ENSMODG00000007637	7	ENSOANG00000006989	10
ENSMODG00000007640	2	ENSOANG00000032145	Contig11141
ENSMODG00000007641	1	ENSOANG00000021414	X1
ENSMODG00000007644	3	ENSOANG00000011997	Contig773
ENSMODG00000007645	6	ENSOANG00000003259	Ultra371
ENSMODG00000007647	2	ENSOANG00000001031	Contig2652
ENSMODG00000007648	1	ENSOANG00000009724	Contig2152
ENSMODG00000007651	1	ENSOANG00000003604	X1
ENSMODG00000007652	6	ENSOANG00000003260	Ultra371
ENSMODG00000007654	2	ENSOANG00000005209	Ultra729
ENSMODG00000007656	6	ENSOANG00000003261	Ultra371
ENSMODG00000007657	8	ENSOANG00000011413	Contig12848
