Human	ChrHuman	Mouse	ChrMouse
ENSG00000112378	6	ENSMUSG00000019851	10
ENSG00000112379	6	ENSMUSG00000019852	10
ENSG00000112394	6	ENSMUSG00000019838	10
ENSG00000112406	6	ENSMUSG00000039879	10
ENSG00000112414	6	ENSMUSG00000039116	10
ENSG00000112419	6	ENSMUSG00000062866	10
ENSG00000112425	6	ENSMUSG00000055493	10
ENSG00000112462	6	ENSMUSG00000029184	17
ENSG00000112473	6	ENSMUSG00000024327	17
ENSG00000112486	6	ENSMUSG00000040899	17
ENSG00000112499	6	ENSMUSG00000040966	17
ENSG00000112511	6	ENSMUSG00000024193	17
ENSG00000112514	6	ENSMUSG00000024194	17
ENSG00000112530	6	ENSMUSG00000037196	17
ENSG00000112531	6	ENSMUSG00000062078	17
ENSG00000112539	6	ENSMUSG00000023873	17
ENSG00000112541	6	ENSMUSG00000023868	17
ENSG00000112559	6	ENSMUSG00000032717	17
ENSG00000112561	6	ENSMUSG00000023990	17
ENSG00000112562	6	ENSMUSG00000023886	17
ENSG00000112576	6	ENSMUSG00000034165	17
ENSG00000112578	6	ENSMUSG00000023988	17
ENSG00000112584	6	ENSMUSG00000014763	17
ENSG00000112592	6	ENSMUSG00000014767	17
ENSG00000112599	6	ENSMUSG00000023979	17
ENSG00000112619	6	ENSMUSG00000023978	17
ENSG00000112624	6	ENSMUSG00000036568	17
ENSG00000112640	6	ENSMUSG00000059409	17
ENSG00000112651	6	ENSMUSG00000002767	17
ENSG00000112655	6	ENSMUSG00000023972	17
ENSG00000112658	6	ENSMUSG00000015605	17
ENSG00000112659	6	ENSMUSG00000040327	17
ENSG00000112667	6	ENSMUSG00000040658	17
ENSG00000112679	6	ENSMUSG00000069255	13
ENSG00000112685	6	ENSMUSG00000021357	13
ENSG00000112695	6	ENSMUSG00000032330	9
ENSG00000112697	6	ENSMUSG00000032328	9
ENSG00000112699	6	ENSMUSG00000038372	13
ENSG00000112701	6	ENSMUSG00000034252	9
ENSG00000112706	6	ENSMUSG00000032343	9
ENSG00000112715	6	ENSMUSG00000023951	17
ENSG00000112739	6	ENSMUSG00000021413	13
ENSG00000112742	6	ENSMUSG00000038379	9
ENSG00000112759	6	ENSMUSG00000023942	17
ENSG00000112761	6	ENSMUSG00000062074	10
ENSG00000112769	6	ENSMUSG00000019846	10
ENSG00000112773	6	ENSMUSG00000032265	9
ENSG00000112782	6	ENSMUSG00000023959	17
ENSG00000112787	12	ENSMUSG00000043323	5
ENSG00000112796	6	ENSMUSG00000023960	17
ENSG00000112799	6	ENSMUSG00000021423	13
ENSG00000112812	6	ENSMUSG00000006179	13
ENSG00000112818	6	ENSMUSG00000023914	17
ENSG00000112837	6	ENSMUSG00000032419	9
ENSG00000112851	5	ENSMUSG00000021709	13
ENSG00000112852	5	ENSMUSG00000051599	18
ENSG00000112855	5	ENSMUSG00000019143	18
ENSG00000112874	5	ENSMUSG00000024228	17
ENSG00000112877	5	ENSMUSG00000021572	13
ENSG00000112893	5	ENSMUSG00000024085	17
ENSG00000112902	5	ENSMUSG00000022231	15
ENSG00000112936	5	ENSMUSG00000079105	15
ENSG00000112941	5	ENSMUSG00000034575	13
ENSG00000112964	5	ENSMUSG00000055737	15
ENSG00000112972	5	ENSMUSG00000093930	13
ENSG00000112981	5	ENSMUSG00000035984	18
ENSG00000112983	5	ENSMUSG00000003778	18
ENSG00000112984	5	ENSMUSG00000003779	18
ENSG00000112992	5	ENSMUSG00000025453	13
ENSG00000112996	5	ENSMUSG00000021731	13
ENSG00000113013	5	ENSMUSG00000024359	18
ENSG00000113048	5	ENSMUSG00000041632	13
ENSG00000113068	5	ENSMUSG00000024346	18
ENSG00000113070	5	ENSMUSG00000024486	18
ENSG00000113073	5	ENSMUSG00000024485	18
ENSG00000113083	5	ENSMUSG00000024529	18
ENSG00000113088	5	ENSMUSG00000042385	13
ENSG00000113100	5	ENSMUSG00000025370	15
ENSG00000113108	5	ENSMUSG00000006050	18
ENSG00000113119	5	ENSMUSG00000006850	18
ENSG00000113140	5	ENSMUSG00000018593	11
ENSG00000113141	5	ENSMUSG00000024474	18
ENSG00000113161	5	ENSMUSG00000021670	13
ENSG00000113163	5	ENSMUSG00000021669	13
ENSG00000113194	5	ENSMUSG00000025873	13
ENSG00000113196	5	ENSMUSG00000037335	11
ENSG00000113205	5	ENSMUSG00000045498	18
ENSG00000113211	5	ENSMUSG00000047307	18
ENSG00000113212	5	ENSMUSG00000047033	18
ENSG00000113231	5	ENSMUSG00000021684	13
ENSG00000113240	5	ENSMUSG00000020385	11
ENSG00000113248	5	ENSMUSG00000073591	18
ENSG00000113262	5	ENSMUSG00000000617	11
ENSG00000113263	5	ENSMUSG00000020395	11
ENSG00000113269	5	ENSMUSG00000020376	11
ENSG00000113272	5	ENSMUSG00000011254	11
ENSG00000113273	5	ENSMUSG00000042082	13
ENSG00000113282	5	ENSMUSG00000006169	11
ENSG00000113296	5	ENSMUSG00000021702	13
ENSG00000113300	5	ENSMUSG00000020362	11
ENSG00000113302	5	ENSMUSG00000004296	11
ENSG00000113312	5	ENSMUSG00000041278	11
ENSG00000113318	5	ENSMUSG00000014850	13
ENSG00000113319	5	ENSMUSG00000021708	13
ENSG00000113327	5	ENSMUSG00000020436	11
ENSG00000113328	5	ENSMUSG00000020326	11
ENSG00000113356	5	ENSMUSG00000035834	13
ENSG00000113360	5	ENSMUSG00000022191	15
ENSG00000113361	5	ENSMUSG00000039385	15
ENSG00000113368	5	ENSMUSG00000024590	18
ENSG00000113369	5	ENSMUSG00000074794	13
ENSG00000113384	5	ENSMUSG00000022200	15
ENSG00000113387	5	ENSMUSG00000022205	15
ENSG00000113389	5	ENSMUSG00000022206	15
ENSG00000113391	5	ENSMUSG00000064138	13
ENSG00000113396	5	ENSMUSG00000024600	18
ENSG00000113407	5	ENSMUSG00000022241	15
ENSG00000113430	5	ENSMUSG00000021604	13
ENSG00000113441	5	ENSMUSG00000023845	17
ENSG00000113448	5	ENSMUSG00000021699	13
ENSG00000113456	5	ENSMUSG00000022248	15
ENSG00000113460	5	ENSMUSG00000022247	15
ENSG00000113492	5	ENSMUSG00000089678	15
ENSG00000113504	5	ENSMUSG00000017756	13
ENSG00000113520	5	ENSMUSG00000000869	11
ENSG00000113522	5	ENSMUSG00000020380	11
ENSG00000113525	5	ENSMUSG00000036117	11
ENSG00000113532	5	ENSMUSG00000040710	1
ENSG00000113552	5	ENSMUSG00000052102	18
ENSG00000113555	5	ENSMUSG00000024440	18
ENSG00000113569	5	ENSMUSG00000022142	15
ENSG00000113575	5	ENSMUSG00000020349	11
ENSG00000113578	5	ENSMUSG00000036585	18
ENSG00000113580	5	ENSMUSG00000024431	18
ENSG00000113583	5	ENSMUSG00000036275	11
ENSG00000113593	5	ENSMUSG00000021713	13
ENSG00000113594	5	ENSMUSG00000054263	15
ENSG00000113595	5	ENSMUSG00000021712	13
ENSG00000113597	5	ENSMUSG00000021711	13
ENSG00000113600	5	ENSMUSG00000022149	15
ENSG00000113615	5	ENSMUSG00000036391	11
ENSG00000113621	5	ENSMUSG00000021497	13
ENSG00000113638	5	ENSMUSG00000022151	15
ENSG00000113643	5	ENSMUSG00000018848	11
ENSG00000113645	5	ENSMUSG00000018849	11
ENSG00000113648	5	ENSMUSG00000015937	13
ENSG00000113649	5	ENSMUSG00000024498	18
ENSG00000113657	5	ENSMUSG00000024501	18
ENSG00000113658	5	ENSMUSG00000021540	13
ENSG00000113716	5	ENSMUSG00000024622	18
ENSG00000113719	5	ENSMUSG00000001576	17
ENSG00000113721	5	ENSMUSG00000024620	18
ENSG00000113722	5	ENSMUSG00000024619	18
ENSG00000113732	5	ENSMUSG00000015575	17
ENSG00000113734	5	ENSMUSG00000024191	17
ENSG00000113739	5	ENSMUSG00000020303	11
ENSG00000113742	5	ENSMUSG00000020300	11
ENSG00000113749	5	ENSMUSG00000034987	13
ENSG00000113758	5	ENSMUSG00000034675	13
ENSG00000113761	5	ENSMUSG00000021481	13
ENSG00000113763	5	ENSMUSG00000025876	13
ENSG00000113790	3	ENSMUSG00000022853	16
ENSG00000113805	3	ENSMUSG00000030075	6
ENSG00000113810	3	ENSMUSG00000034349	3
ENSG00000113811	3	ENSMUSG00000042682	14
ENSG00000113812	3	ENSMUSG00000015971	14
ENSG00000113838	3	ENSMUSG00000004462	16
ENSG00000113845	3	ENSMUSG00000002846	16
ENSG00000113851	3	ENSMUSG00000005362	6
ENSG00000113905	3	ENSMUSG00000022877	16
ENSG00000113916	3	ENSMUSG00000022508	16
ENSG00000113924	3	ENSMUSG00000022821	16
ENSG00000113946	3	ENSMUSG00000038148	16
ENSG00000113966	3	ENSMUSG00000022722	16
ENSG00000114013	3	ENSMUSG00000022901	16
ENSG00000114019	3	ENSMUSG00000032531	9
ENSG00000114021	3	ENSMUSG00000022751	16
ENSG00000114023	3	ENSMUSG00000003955	16
ENSG00000114026	3	ENSMUSG00000030271	6
ENSG00000114030	3	ENSMUSG00000022905	16
ENSG00000114054	3	ENSMUSG00000032527	9
ENSG00000114062	15	ENSMUSG00000025326	7
ENSG00000114098	3	ENSMUSG00000032468	9
ENSG00000114107	3	ENSMUSG00000056267	9
ENSG00000114113	3	ENSMUSG00000032454	9
ENSG00000114115	3	ENSMUSG00000046402	9
ENSG00000114120	3	ENSMUSG00000032449	9
ENSG00000114126	3	ENSMUSG00000032411	9
ENSG00000114127	3	ENSMUSG00000032410	9
ENSG00000114166	3	ENSMUSG00000000708	17
ENSG00000114200	3	ENSMUSG00000027792	3
ENSG00000114204	3	ENSMUSG00000034139	3
ENSG00000114209	3	ENSMUSG00000027835	3
ENSG00000114248	3	ENSMUSG00000074653	3
ENSG00000114251	3	ENSMUSG00000021994	14
ENSG00000114268	3	ENSMUSG00000025648	9
ENSG00000114270	3	ENSMUSG00000025650	9
ENSG00000114279	3	ENSMUSG00000022523	16
ENSG00000114302	3	ENSMUSG00000032601	9
ENSG00000114315	3	ENSMUSG00000022528	16
ENSG00000114316	3	ENSMUSG00000032612	9
ENSG00000114331	3	ENSMUSG00000049076	16
ENSG00000114346	3	ENSMUSG00000027699	3
ENSG00000114349	3	ENSMUSG00000034837	9
ENSG00000114353	3	ENSMUSG00000032562	9
ENSG00000114354	3	ENSMUSG00000022757	16
ENSG00000114374	Y	ENSMUSG00000069044	Y
ENSG00000114378	3	ENSMUSG00000010051	9
ENSG00000114383	3	ENSMUSG00000010054	9
ENSG00000114388	3	ENSMUSG00000010057	9
ENSG00000114391	3	ENSMUSG00000098274	16
ENSG00000114405	3	ENSMUSG00000033111	14
ENSG00000114416	3	ENSMUSG00000027680	3
ENSG00000114423	3	ENSMUSG00000022637	16
ENSG00000114439	3	ENSMUSG00000022641	16
ENSG00000114446	3	ENSMUSG00000032965	16
ENSG00000114450	3	ENSMUSG00000027669	3
ENSG00000114473	3	ENSMUSG00000035578	16
ENSG00000114480	3	ENSMUSG00000022707	16
ENSG00000114487	3	ENSMUSG00000022652	16
ENSG00000114491	3	ENSMUSG00000022814	16
ENSG00000114503	3	ENSMUSG00000022774	16
ENSG00000114520	3	ENSMUSG00000022808	16
ENSG00000114529	3	ENSMUSG00000033187	16
ENSG00000114541	3	ENSMUSG00000030064	6
ENSG00000114544	3	ENSMUSG00000030089	6
ENSG00000114554	3	ENSMUSG00000030084	6
ENSG00000114573	3	ENSMUSG00000052459	16
ENSG00000114626	3	ENSMUSG00000030083	6
ENSG00000114631	3	ENSMUSG00000033152	6
ENSG00000114638	3	ENSMUSG00000049436	16
ENSG00000114646	3	ENSMUSG00000032482	9
ENSG00000114648	3	ENSMUSG00000054792	9
ENSG00000114650	3	ENSMUSG00000032485	9
ENSG00000114654	3	ENSMUSG00000068263	6
ENSG00000114670	3	ENSMUSG00000035032	9
ENSG00000114686	3	ENSMUSG00000032563	9
ENSG00000114698	3	ENSMUSG00000032377	9
ENSG00000114735	3	ENSMUSG00000032579	9
ENSG00000114737	3	ENSMUSG00000032578	9
ENSG00000114738	3	ENSMUSG00000032577	9
ENSG00000114739	3	ENSMUSG00000061393	9
ENSG00000114742	3	ENSMUSG00000032512	9
ENSG00000114744	3	ENSMUSG00000036513	3
ENSG00000114745	3	ENSMUSG00000032513	9
ENSG00000114757	3	ENSMUSG00000027674	3
ENSG00000114767	3	ENSMUSG00000041506	9
ENSG00000114770	3	ENSMUSG00000022822	16
ENSG00000114771	3	ENSMUSG00000027761	3
ENSG00000114779	3	ENSMUSG00000042073	9
ENSG00000114784	3	ENSMUSG00000006941	9
ENSG00000114790	3	ENSMUSG00000036885	3
ENSG00000114796	3	ENSMUSG00000062901	16
ENSG00000114805	3	ENSMUSG00000036834	3
ENSG00000114812	3	ENSMUSG00000032528	9
ENSG00000114841	3	ENSMUSG00000019027	14
ENSG00000114850	3	ENSMUSG00000027828	3
ENSG00000114853	3	ENSMUSG00000013419	9
ENSG00000114854	3	ENSMUSG00000091898	14
ENSG00000114857	3	ENSMUSG00000032525	9
ENSG00000114859	3	ENSMUSG00000022843	16
ENSG00000114861	3	ENSMUSG00000030067	6
ENSG00000114867	3	ENSMUSG00000045983	16
ENSG00000114902	3	ENSMUSG00000021917	14
ENSG00000114904	3	ENSMUSG00000021918	14
ENSG00000114923	2	ENSMUSG00000006576	1
ENSG00000114933	2	ENSMUSG00000040865	1
ENSG00000114942	2	ENSMUSG00000025967	1
ENSG00000114948	2	ENSMUSG00000025964	1
ENSG00000114956	2	ENSMUSG00000014554	6
ENSG00000114978	2	ENSMUSG00000043131	6
ENSG00000114982	2	ENSMUSG00000010453	1
ENSG00000114988	2	ENSMUSG00000001143	1
ENSG00000114993	2	ENSMUSG00000034930	6
ENSG00000114999	2	ENSMUSG00000027394	2
ENSG00000115008	2	ENSMUSG00000027399	2
ENSG00000115009	2	ENSMUSG00000026166	1
ENSG00000115020	2	ENSMUSG00000025949	1
ENSG00000115041	2	ENSMUSG00000079056	2
ENSG00000115053	2	ENSMUSG00000026234	1
ENSG00000115073	2	ENSMUSG00000037351	1
ENSG00000115084	2	ENSMUSG00000026342	1
ENSG00000115085	2	ENSMUSG00000026117	1
ENSG00000115091	2	ENSMUSG00000026341	1
ENSG00000115107	2	ENSMUSG00000026389	1
ENSG00000115109	2	ENSMUSG00000026383	1
ENSG00000115112	2	ENSMUSG00000026380	1
ENSG00000115128	2	ENSMUSG00000037361	12
ENSG00000115137	2	ENSMUSG00000020657	12
ENSG00000115138	2	ENSMUSG00000020660	12
ENSG00000115145	2	ENSMUSG00000055371	2
ENSG00000115155	2	ENSMUSG00000062372	5
ENSG00000115159	2	ENSMUSG00000026827	2
ENSG00000115163	2	ENSMUSG00000029177	5
ENSG00000115165	2	ENSMUSG00000026832	2
ENSG00000115170	2	ENSMUSG00000026836	2
ENSG00000115183	2	ENSMUSG00000035168	2
ENSG00000115194	2	ENSMUSG00000029151	5
ENSG00000115204	2	ENSMUSG00000107283	5
ENSG00000115211	2	ENSMUSG00000029145	5
ENSG00000115216	2	ENSMUSG00000029148	5
ENSG00000115221	2	ENSMUSG00000026971	2
ENSG00000115226	2	ENSMUSG00000038552	5
ENSG00000115232	2	ENSMUSG00000027009	2
ENSG00000115233	2	ENSMUSG00000026914	2
ENSG00000115234	2	ENSMUSG00000029146	5
ENSG00000115241	2	ENSMUSG00000029147	5
ENSG00000115252	2	ENSMUSG00000059173	2
ENSG00000115255	19	ENSMUSG00000035504	10
ENSG00000115257	19	ENSMUSG00000020131	10
ENSG00000115263	2	ENSMUSG00000000394	2
ENSG00000115266	19	ENSMUSG00000020135	10
ENSG00000115267	2	ENSMUSG00000026896	2
ENSG00000115268	19	ENSMUSG00000090538	14
ENSG00000115271	2	ENSMUSG00000026893	2
ENSG00000115275	2	ENSMUSG00000030036	6
ENSG00000115286	19	ENSMUSG00000020153	10
ENSG00000115289	2	ENSMUSG00000069678	6
ENSG00000115290	2	ENSMUSG00000026888	2
ENSG00000115295	2	ENSMUSG00000024059	17
ENSG00000115297	2	ENSMUSG00000068327	6
ENSG00000115306	2	ENSMUSG00000020315	11
ENSG00000115307	2	ENSMUSG00000068328	6
ENSG00000115310	2	ENSMUSG00000020458	11
ENSG00000115317	2	ENSMUSG00000068329	6
ENSG00000115318	2	ENSMUSG00000000693	6
ENSG00000115325	2	ENSMUSG00000068335	6
ENSG00000115339	2	ENSMUSG00000026994	2
ENSG00000115350	2	ENSMUSG00000030042	6
ENSG00000115353	2	ENSMUSG00000030043	6
ENSG00000115355	2	ENSMUSG00000032740	11
ENSG00000115361	2	ENSMUSG00000026003	1
ENSG00000115363	2	ENSMUSG00000035104	6
ENSG00000115364	2	ENSMUSG00000030045	6
ENSG00000115365	2	ENSMUSG00000026000	1
ENSG00000115368	2	ENSMUSG00000025995	1
ENSG00000115380	2	ENSMUSG00000020467	11
ENSG00000115392	2	ENSMUSG00000004018	11
ENSG00000115414	2	ENSMUSG00000026193	1
ENSG00000115415	2	ENSMUSG00000026104	1
ENSG00000115419	2	ENSMUSG00000026103	1
ENSG00000115421	2	ENSMUSG00000020273	11
ENSG00000115423	2	ENSMUSG00000052861	6
ENSG00000115425	2	ENSMUSG00000026189	1
ENSG00000115446	2	ENSMUSG00000026111	1
ENSG00000115457	2	ENSMUSG00000039323	1
ENSG00000115459	2	ENSMUSG00000056698	6
ENSG00000115461	2	ENSMUSG00000026185	1
ENSG00000115464	2	ENSMUSG00000056342	11
ENSG00000115468	2	ENSMUSG00000026255	1
ENSG00000115474	2	ENSMUSG00000079436	1
ENSG00000115484	2	ENSMUSG00000007739	11
ENSG00000115486	2	ENSMUSG00000053460	6
ENSG00000115488	2	ENSMUSG00000079434	1
ENSG00000115504	2	ENSMUSG00000042302	11
ENSG00000115507	2	ENSMUSG00000005917	11
ENSG00000115514	2	ENSMUSG00000058407	1
ENSG00000115520	2	ENSMUSG00000025981	1
ENSG00000115524	2	ENSMUSG00000025982	1
ENSG00000115525	2	ENSMUSG00000056091	6
ENSG00000115526	2	ENSMUSG00000026080	1
ENSG00000115539	2	ENSMUSG00000026078	1
ENSG00000115541	2	ENSMUSG00000073676	1
ENSG00000115548	2	ENSMUSG00000053470	6
ENSG00000115556	2	ENSMUSG00000026173	1
ENSG00000115568	2	ENSMUSG00000026135	1
ENSG00000115590	2	ENSMUSG00000026073	1
ENSG00000115592	2	ENSMUSG00000006542	1
ENSG00000115593	2	ENSMUSG00000055027	6
ENSG00000115594	2	ENSMUSG00000026072	1
ENSG00000115596	2	ENSMUSG00000033227	1
ENSG00000115598	2	ENSMUSG00000070942	1
ENSG00000115602	2	ENSMUSG00000026069	1
ENSG00000115604	2	ENSMUSG00000026070	1
ENSG00000115607	2	ENSMUSG00000026068	1
ENSG00000115616	2	ENSMUSG00000026062	1
ENSG00000115641	2	ENSMUSG00000008136	1
ENSG00000115648	2	ENSMUSG00000026303	1
ENSG00000115649	2	ENSMUSG00000033159	1
ENSG00000115652	2	ENSMUSG00000057363	1
ENSG00000115657	2	ENSMUSG00000026198	1
ENSG00000115661	2	ENSMUSG00000026201	1
ENSG00000115665	2	ENSMUSG00000023945	17
ENSG00000115677	2	ENSMUSG00000034088	1
ENSG00000115685	2	ENSMUSG00000026275	1
ENSG00000115687	2	ENSMUSG00000026274	1
ENSG00000115694	2	ENSMUSG00000026277	1
ENSG00000115705	2	ENSMUSG00000020673	12
ENSG00000115718	2	ENSMUSG00000024386	18
ENSG00000115738	2	ENSMUSG00000020644	12
ENSG00000115750	2	ENSMUSG00000059669	12
ENSG00000115756	2	ENSMUSG00000071379	12
ENSG00000115758	2	ENSMUSG00000011179	12
ENSG00000115760	2	ENSMUSG00000024073	17
ENSG00000115761	2	ENSMUSG00000061458	12
ENSG00000115762	2	ENSMUSG00000026123	1
ENSG00000115806	2	ENSMUSG00000014959	2
ENSG00000115808	2	ENSMUSG00000024077	17
ENSG00000115816	2	ENSMUSG00000024081	17
ENSG00000115825	2	ENSMUSG00000024070	17
ENSG00000115827	2	ENSMUSG00000041966	2
ENSG00000115828	2	ENSMUSG00000024084	17
ENSG00000115839	2	ENSMUSG00000036104	1
ENSG00000115840	2	ENSMUSG00000027010	2
ENSG00000115841	2	ENSMUSG00000036368	17
ENSG00000115844	2	ENSMUSG00000023391	2
ENSG00000115850	2	ENSMUSG00000026354	1
ENSG00000115866	2	ENSMUSG00000026356	1
ENSG00000115875	2	ENSMUSG00000024097	17
ENSG00000115884	2	ENSMUSG00000020592	12
ENSG00000115896	2	ENSMUSG00000038349	1
ENSG00000115902	2	ENSMUSG00000020142	11
ENSG00000115904	2	ENSMUSG00000024241	17
ENSG00000115919	2	ENSMUSG00000026866	2
ENSG00000115935	2	ENSMUSG00000075284	2
ENSG00000115942	2	ENSMUSG00000026037	1
ENSG00000115944	2	ENSMUSG00000024248	17
ENSG00000115946	2	ENSMUSG00000020116	11
ENSG00000115947	2	ENSMUSG00000026761	2
ENSG00000115956	2	ENSMUSG00000020120	11
ENSG00000115963	2	ENSMUSG00000017144	2
ENSG00000115966	2	ENSMUSG00000027104	2
ENSG00000115970	2	ENSMUSG00000024251	17
ENSG00000115977	2	ENSMUSG00000057230	6
ENSG00000115993	2	ENSMUSG00000026028	1
ENSG00000115998	2	ENSMUSG00000046679	6
ENSG00000116001	2	ENSMUSG00000071337	6
ENSG00000116005	2	ENSMUSG00000029998	6
ENSG00000116014	19	ENSMUSG00000035773	10
ENSG00000116016	2	ENSMUSG00000024140	17
ENSG00000116017	19	ENSMUSG00000019564	10
ENSG00000116030	2	ENSMUSG00000026021	1
ENSG00000116031	2	ENSMUSG00000034783	6
ENSG00000116032	19	ENSMUSG00000035745	10
ENSG00000116035	2	ENSMUSG00000034777	6
ENSG00000116039	2	ENSMUSG00000006269	6
ENSG00000116044	2	ENSMUSG00000015839	2
ENSG00000116062	2	ENSMUSG00000005370	17
ENSG00000116095	2	ENSMUSG00000002733	2
ENSG00000116096	2	ENSMUSG00000033735	6
ENSG00000116106	2	ENSMUSG00000026235	1
ENSG00000116117	2	ENSMUSG00000052062	1
ENSG00000116120	2	ENSMUSG00000026245	1
ENSG00000116127	2	ENSMUSG00000063810	6
ENSG00000116128	1	ENSMUSG00000038256	3
ENSG00000116132	1	ENSMUSG00000026586	1
ENSG00000116133	1	ENSMUSG00000034926	4
ENSG00000116138	1	ENSMUSG00000040697	4
ENSG00000116141	1	ENSMUSG00000026620	1
ENSG00000116147	1	ENSMUSG00000015829	1
ENSG00000116151	1	ENSMUSG00000029049	4
ENSG00000116157	1	ENSMUSG00000028597	4
ENSG00000116161	1	ENSMUSG00000014226	1
ENSG00000116171	1	ENSMUSG00000028603	4
ENSG00000116176	16	ENSMUSG00000033200	17
ENSG00000116183	1	ENSMUSG00000073530	1
ENSG00000116191	1	ENSMUSG00000026594	1
ENSG00000116194	1	ENSMUSG00000033544	1
ENSG00000116198	1	ENSMUSG00000039523	4
ENSG00000116199	1	ENSMUSG00000033557	1
ENSG00000116205	1	ENSMUSG00000028619	4
ENSG00000116209	1	ENSMUSG00000028618	4
ENSG00000116212	1	ENSMUSG00000028617	4
ENSG00000116213	1	ENSMUSG00000029029	4
ENSG00000116218	1	ENSMUSG00000026602	1
ENSG00000116221	1	ENSMUSG00000028622	4
ENSG00000116237	1	ENSMUSG00000039662	4
ENSG00000116251	1	ENSMUSG00000028936	4
ENSG00000116254	1	ENSMUSG00000005045	4
ENSG00000116260	1	ENSMUSG00000033684	1
ENSG00000116266	1	ENSMUSG00000027882	3
ENSG00000116273	1	ENSMUSG00000047777	4
ENSG00000116285	1	ENSMUSG00000028967	4
ENSG00000116288	1	ENSMUSG00000028964	4
ENSG00000116299	1	ENSMUSG00000040412	3
ENSG00000116329	1	ENSMUSG00000050511	4
ENSG00000116337	1	ENSMUSG00000027889	3
ENSG00000116350	1	ENSMUSG00000028911	4
ENSG00000116353	1	ENSMUSG00000028910	4
ENSG00000116396	1	ENSMUSG00000027895	3
ENSG00000116406	1	ENSMUSG00000043019	1
ENSG00000116455	1	ENSMUSG00000000561	3
ENSG00000116459	1	ENSMUSG00000000563	3
ENSG00000116473	1	ENSMUSG00000068798	3
ENSG00000116489	1	ENSMUSG00000055357	X
ENSG00000116497	1	ENSMUSG00000040928	4
ENSG00000116514	1	ENSMUSG00000028793	4
ENSG00000116521	1	ENSMUSG00000028049	3
ENSG00000116525	1	ENSMUSG00000041000	4
ENSG00000116539	1	ENSMUSG00000028053	3
ENSG00000116544	1	ENSMUSG00000042388	4
ENSG00000116560	1	ENSMUSG00000028820	4
ENSG00000116574	1	ENSMUSG00000039960	8
ENSG00000116584	1	ENSMUSG00000028059	3
ENSG00000116586	1	ENSMUSG00000028062	3
ENSG00000116604	1	ENSMUSG00000001419	3
ENSG00000116641	1	ENSMUSG00000028556	4
ENSG00000116649	1	ENSMUSG00000006442	4
ENSG00000116661	1	ENSMUSG00000041556	4
ENSG00000116663	1	ENSMUSG00000055401	4
ENSG00000116667	1	ENSMUSG00000032666	1
ENSG00000116668	1	ENSMUSG00000052748	1
ENSG00000116670	1	ENSMUSG00000029003	4
ENSG00000116675	1	ENSMUSG00000028528	4
ENSG00000116678	1	ENSMUSG00000057722	4
ENSG00000116679	1	ENSMUSG00000023150	1
ENSG00000116685	1	ENSMUSG00000044496	4
ENSG00000116688	1	ENSMUSG00000029020	4
ENSG00000116690	1	ENSMUSG00000006014	1
ENSG00000116691	1	ENSMUSG00000029022	4
ENSG00000116698	1	ENSMUSG00000042772	1
ENSG00000116701	1	ENSMUSG00000026480	1
ENSG00000116703	1	ENSMUSG00000006007	1
ENSG00000116704	1	ENSMUSG00000028521	4
ENSG00000116711	1	ENSMUSG00000056220	1
ENSG00000116717	1	ENSMUSG00000036390	6
ENSG00000116729	1	ENSMUSG00000028173	3
ENSG00000116731	1	ENSMUSG00000057637	4
ENSG00000116741	1	ENSMUSG00000026360	1
ENSG00000116745	1	ENSMUSG00000028174	3
ENSG00000116747	1	ENSMUSG00000018199	1
ENSG00000116748	1	ENSMUSG00000070385	3
ENSG00000116750	1	ENSMUSG00000018189	1
ENSG00000116752	1	ENSMUSG00000005687	3
ENSG00000116754	1	ENSMUSG00000055436	3
ENSG00000116761	1	ENSMUSG00000028179	3
ENSG00000116771	1	ENSMUSG00000040706	4
ENSG00000116774	1	ENSMUSG00000027848	3
ENSG00000116786	1	ENSMUSG00000028917	4
ENSG00000116791	1	ENSMUSG00000028199	3
ENSG00000116793	1	ENSMUSG00000058388	3
ENSG00000116809	1	ENSMUSG00000006215	4
ENSG00000116819	1	ENSMUSG00000042477	4
ENSG00000116824	1	ENSMUSG00000027863	3
ENSG00000116830	1	ENSMUSG00000033222	3
ENSG00000116833	1	ENSMUSG00000026398	1
ENSG00000116852	1	ENSMUSG00000041642	1
ENSG00000116857	1	ENSMUSG00000026411	1
ENSG00000116863	1	ENSMUSG00000042558	4
ENSG00000116871	1	ENSMUSG00000028849	4
ENSG00000116874	1	ENSMUSG00000004233	3
ENSG00000116882	1	ENSMUSG00000027870	3
ENSG00000116885	1	ENSMUSG00000042616	4
ENSG00000116898	1	ENSMUSG00000028861	4
ENSG00000116903	1	ENSMUSG00000074030	8
ENSG00000116906	1	ENSMUSG00000031985	8
ENSG00000116954	1	ENSMUSG00000028646	4
ENSG00000116957	1	ENSMUSG00000039233	13
ENSG00000116962	1	ENSMUSG00000005397	13
ENSG00000116977	1	ENSMUSG00000057554	13
ENSG00000116981	1	ENSMUSG00000054958	4
ENSG00000116983	1	ENSMUSG00000046093	4
ENSG00000116984	1	ENSMUSG00000021311	13
ENSG00000116990	1	ENSMUSG00000028654	4
ENSG00000116991	1	ENSMUSG00000001995	8
ENSG00000117000	1	ENSMUSG00000049878	4
ENSG00000117009	1	ENSMUSG00000039783	1
ENSG00000117013	1	ENSMUSG00000028631	4
ENSG00000117016	1	ENSMUSG00000032890	4
