Platypus	ChrPlatypus	Chicken	ChrChicken
ENSOANG00000004512	Contig5585	ENSGALG00000007287	5
ENSOANG00000004514	7	ENSGALG00000001976	26
ENSOANG00000004515	7	ENSGALG00000002002	26
ENSOANG00000004516	7	ENSGALG00000002038	26
ENSOANG00000004519	7	ENSGALG00000002170	26
ENSOANG00000004520	7	ENSGALG00000002511	26
ENSOANG00000004521	7	ENSGALG00000002550	26
ENSOANG00000004522	7	ENSGALG00000002554	26
ENSOANG00000004524	7	ENSGALG00000003052	9
ENSOANG00000004525	Contig4306	ENSGALG00000011000	3
ENSOANG00000004532	Ultra747	ENSGALG00000001709	12
ENSOANG00000004533	Contig22476	ENSGALG00000046225	Z
ENSOANG00000004534	Contig173148	ENSGALG00000015473	1
ENSOANG00000004537	Ultra154	ENSGALG00000044199	14
ENSOANG00000004538	Ultra154	ENSGALG00000027698	14
ENSOANG00000004540	Ultra158	ENSGALG00000026305	9
ENSOANG00000004545	Contig21731	ENSGALG00000005360	19
ENSOANG00000004546	Contig14125	ENSGALG00000016617	3
ENSOANG00000004549	Contig27684	ENSGALG00000013503	4
ENSOANG00000004555	Ultra259	ENSGALG00000007736	10
ENSOANG00000004556	Contig162700	ENSGALG00000041103	6
ENSOANG00000004560	Contig3343	ENSGALG00000034487	2
ENSOANG00000004561	Contig3343	ENSGALG00000042794	2
ENSOANG00000004563	3	ENSGALG00000026547	Z
ENSOANG00000004564	3	ENSGALG00000018534	Z
ENSOANG00000004567	Ultra49	ENSGALG00000003304	28
ENSOANG00000004568	Ultra49	ENSGALG00000003220	28
ENSOANG00000004569	Ultra49	ENSGALG00000003161	28
ENSOANG00000004570	Ultra49	ENSGALG00000003160	28
ENSOANG00000004571	Ultra49	ENSGALG00000003153	28
ENSOANG00000004573	Ultra49	ENSGALG00000003058	28
ENSOANG00000004574	Ultra49	ENSGALG00000003047	28
ENSOANG00000004576	Contig7262	ENSGALG00000028081	28
ENSOANG00000004577	Contig89159	ENSGALG00000036106	1
ENSOANG00000004578	Contig17774	ENSGALG00000001028	19
ENSOANG00000004580	Contig2231	ENSGALG00000000751	25
ENSOANG00000004581	Contig2231	ENSGALG00000028147	25
ENSOANG00000004582	Contig2231	ENSGALG00000000775	25
ENSOANG00000004584	Contig20591	ENSGALG00000033530	27
ENSOANG00000004586	Ultra261	ENSGALG00000008901	8
ENSOANG00000004588	Ultra487	ENSGALG00000002803	8
ENSOANG00000004590	Contig7108	ENSGALG00000001932	19
ENSOANG00000004591	Ultra494	ENSGALG00000001711	10
ENSOANG00000004594	Contig1062	ENSGALG00000037744	26
ENSOANG00000004596	Contig1062	ENSGALG00000034347	26
ENSOANG00000004601	Contig7062	ENSGALG00000001201	11
ENSOANG00000004602	Contig8559	ENSGALG00000042840	2
ENSOANG00000004606	Ultra29	ENSGALG00000017234	1
ENSOANG00000004610	Ultra217	ENSGALG00000002710	6
ENSOANG00000004611	Ultra217	ENSGALG00000002705	6
ENSOANG00000004612	Ultra217	ENSGALG00000021213	6
ENSOANG00000004618	Ultra217	ENSGALG00000003861	6
ENSOANG00000004620	Contig56570	ENSGALG00000003199	27
ENSOANG00000004621	20	ENSGALG00000016764	1
ENSOANG00000004622	20	ENSGALG00000016766	1
ENSOANG00000004625	20	ENSGALG00000016776	1
ENSOANG00000004628	20	ENSGALG00000016954	1
ENSOANG00000004629	20	ENSGALG00000016955	1
ENSOANG00000004630	Contig22731	ENSGALG00000012488	1
ENSOANG00000004631	Contig22731	ENSGALG00000040840	1
ENSOANG00000004632	7	ENSGALG00000013932	2
ENSOANG00000004633	20	ENSGALG00000016959	1
ENSOANG00000004634	Ultra701	ENSGALG00000001750	13
ENSOANG00000004635	7	ENSGALG00000014976	2
ENSOANG00000004636	7	ENSGALG00000014974	2
ENSOANG00000004638	7	ENSGALG00000041334	2
ENSOANG00000004640	20	ENSGALG00000022739	1
ENSOANG00000004642	20	ENSGALG00000026163	1
ENSOANG00000004643	20	ENSGALG00000016967	1
ENSOANG00000004645	Contig1446	ENSGALG00000008172	3
ENSOANG00000004646	Contig1446	ENSGALG00000008163	3
ENSOANG00000004647	Contig10076	ENSGALG00000033098	Z
ENSOANG00000004650	Contig21470	ENSGALG00000011918	1
ENSOANG00000004651	Contig23827	ENSGALG00000023199	4
ENSOANG00000004652	Contig9430	ENSGALG00000015835	1
ENSOANG00000004653	Contig24532	ENSGALG00000037506	3
ENSOANG00000004654	Contig16321	ENSGALG00000004239	5
ENSOANG00000004656	4	ENSGALG00000005552	8
ENSOANG00000004658	Contig10350	ENSGALG00000003042	20
ENSOANG00000004660	X1	ENSGALG00000005123	12
ENSOANG00000004661	X1	ENSGALG00000005128	12
ENSOANG00000004662	X1	ENSGALG00000035557	12
ENSOANG00000004665	Ultra284	ENSGALG00000016906	1
ENSOANG00000004673	Contig17405	ENSGALG00000026572	8
ENSOANG00000004675	Contig18290	ENSGALG00000033683	27
ENSOANG00000004676	Contig18290	ENSGALG00000044071	27
ENSOANG00000004678	Contig13677	ENSGALG00000001561	21
ENSOANG00000004681	Contig3204	ENSGALG00000016504	3
ENSOANG00000004682	Ultra55	ENSGALG00000034373	11
ENSOANG00000004683	Ultra55	ENSGALG00000030160	11
ENSOANG00000004684	Ultra55	ENSGALG00000040627	11
ENSOANG00000004685	Ultra55	ENSGALG00000037939	11
ENSOANG00000004686	Ultra55	ENSGALG00000001149	11
ENSOANG00000004688	Contig3557	ENSGALG00000010238	1
ENSOANG00000004690	Ultra101	ENSGALG00000016359	3
ENSOANG00000004691	Ultra101	ENSGALG00000016356	3
ENSOANG00000004692	Ultra101	ENSGALG00000031021	3
ENSOANG00000004694	Ultra141	ENSGALG00000041873	9
ENSOANG00000004695	Ultra141	ENSGALG00000008983	9
ENSOANG00000004698	Ultra70	ENSGALG00000001347	17
ENSOANG00000004699	Ultra70	ENSGALG00000044151	17
ENSOANG00000004700	Ultra70	ENSGALG00000040987	17
ENSOANG00000004702	Contig14645	ENSGALG00000038599	1
ENSOANG00000004704	Contig28285	ENSGALG00000028971	27
ENSOANG00000004705	Contig28285	ENSGALG00000003403	27
ENSOANG00000004707	Contig18095	ENSGALG00000006775	20
ENSOANG00000004708	Contig6456	ENSGALG00000016419	3
ENSOANG00000004716	Ultra277	ENSGALG00000020151	4
ENSOANG00000004718	Contig22121	ENSGALG00000033034	21
ENSOANG00000004723	Contig854	ENSGALG00000014765	Z
ENSOANG00000004724	Contig854	ENSGALG00000014756	Z
ENSOANG00000004725	Contig854	ENSGALG00000014753	Z
ENSOANG00000004726	Contig854	ENSGALG00000014751	Z
ENSOANG00000004728	Ultra127	ENSGALG00000010320	1
ENSOANG00000004733	Ultra152	ENSGALG00000005551	5
ENSOANG00000004734	Ultra152	ENSGALG00000005569	5
ENSOANG00000004736	Contig40681	ENSGALG00000010104	8
ENSOANG00000004741	Ultra396	ENSGALG00000003751	6
ENSOANG00000004742	Contig13670	ENSGALG00000032039	7
ENSOANG00000004743	Contig13670	ENSGALG00000009274	7
ENSOANG00000004746	Ultra453	ENSGALG00000031076	2
ENSOANG00000004747	Contig12356	ENSGALG00000042533	19
ENSOANG00000004753	1	ENSGALG00000010551	3
ENSOANG00000004754	1	ENSGALG00000010554	3
ENSOANG00000004755	1	ENSGALG00000025822	3
ENSOANG00000004756	1	ENSGALG00000010547	3
ENSOANG00000004760	Contig25711	ENSGALG00000045547	28
ENSOANG00000004761	Ultra676	ENSGALG00000016464	3
ENSOANG00000004762	Contig28397	ENSGALG00000001817	11
ENSOANG00000004763	Ultra230	ENSGALG00000016912	1
ENSOANG00000004768	Contig18246	ENSGALG00000013352	25
ENSOANG00000004770	Contig10927	ENSGALG00000015543	Z
ENSOANG00000004771	Contig28344	ENSGALG00000006755	24
ENSOANG00000004773	Contig6407	ENSGALG00000009036	5
ENSOANG00000004775	Ultra747	ENSGALG00000001720	12
ENSOANG00000004778	Contig2241	ENSGALG00000004156	6
ENSOANG00000004781	2	ENSGALG00000032287	15
ENSOANG00000004782	2	ENSGALG00000003826	15
ENSOANG00000004783	2	ENSGALG00000003820	15
ENSOANG00000004784	2	ENSGALG00000004529	15
ENSOANG00000004785	2	ENSGALG00000003807	15
ENSOANG00000004786	2	ENSGALG00000004550	15
ENSOANG00000004787	Contig11684	ENSGALG00000001872	21
ENSOANG00000004788	2	ENSGALG00000041861	15
ENSOANG00000004789	2	ENSGALG00000004562	15
ENSOANG00000004790	2	ENSGALG00000004571	15
ENSOANG00000004791	2	ENSGALG00000044894	15
ENSOANG00000004792	2	ENSGALG00000004582	15
ENSOANG00000004793	2	ENSGALG00000004598	15
ENSOANG00000004795	2	ENSGALG00000004610	15
ENSOANG00000004796	2	ENSGALG00000004625	15
ENSOANG00000004797	Ultra352	ENSGALG00000034300	AADN04003573.1
ENSOANG00000004798	2	ENSGALG00000031240	15
ENSOANG00000004801	2	ENSGALG00000004725	15
ENSOANG00000004802	2	ENSGALG00000023510	15
ENSOANG00000004804	Contig528	ENSGALG00000040316	9
ENSOANG00000004805	2	ENSGALG00000043208	15
ENSOANG00000004808	2	ENSGALG00000004818	15
ENSOANG00000004810	Contig10621	ENSGALG00000003261	27
ENSOANG00000004812	Ultra300	ENSGALG00000026258	11
ENSOANG00000004814	Contig26037	ENSGALG00000008354	5
ENSOANG00000004816	Contig18031	ENSGALG00000035580	27
ENSOANG00000004818	Ultra482	ENSGALG00000036789	8
ENSOANG00000004820	Contig11221	ENSGALG00000039409	AADN04000732.1
ENSOANG00000004821	10	ENSGALG00000040114	1
ENSOANG00000004822	10	ENSGALG00000008953	1
ENSOANG00000004823	10	ENSGALG00000008926	1
ENSOANG00000004824	10	ENSGALG00000008874	1
ENSOANG00000004825	10	ENSGALG00000008836	1
ENSOANG00000004826	10	ENSGALG00000008823	1
ENSOANG00000004827	10	ENSGALG00000008821	1
ENSOANG00000004829	10	ENSGALG00000008805	1
ENSOANG00000004831	11	ENSGALG00000023472	11
ENSOANG00000004832	11	ENSGALG00000006175	11
ENSOANG00000004833	11	ENSGALG00000006161	11
ENSOANG00000004834	11	ENSGALG00000006144	11
ENSOANG00000004835	11	ENSGALG00000044991	11
ENSOANG00000004837	11	ENSGALG00000000513	11
ENSOANG00000004838	11	ENSGALG00000000516	11
ENSOANG00000004839	Contig13951	ENSGALG00000026548	18
ENSOANG00000004840	Contig13951	ENSGALG00000023338	18
ENSOANG00000004841	Contig5768	ENSGALG00000005034	12
ENSOANG00000004843	Contig8443	ENSGALG00000010298	4
ENSOANG00000004847	Contig3957	ENSGALG00000035629	1
ENSOANG00000004850	Ultra119	ENSGALG00000010958	1
ENSOANG00000004851	Ultra119	ENSGALG00000010940	1
ENSOANG00000004853	Ultra119	ENSGALG00000028091	1
ENSOANG00000004854	Ultra119	ENSGALG00000010936	1
ENSOANG00000004855	Ultra119	ENSGALG00000010935	1
ENSOANG00000004856	Ultra596	ENSGALG00000020057	3
ENSOANG00000004857	4	ENSGALG00000017376	8
ENSOANG00000004861	Contig13458	ENSGALG00000010857	8
ENSOANG00000004862	Contig4972	ENSGALG00000031274	33
ENSOANG00000004863	Contig6062	ENSGALG00000014833	Z
ENSOANG00000004865	Ultra360	ENSGALG00000028683	9
ENSOANG00000004866	4	ENSGALG00000014485	4
ENSOANG00000004868	Contig3666	ENSGALG00000011192	3
ENSOANG00000004870	Contig5476	ENSGALG00000008850	8
ENSOANG00000004874	4	ENSGALG00000040522	2
ENSOANG00000004878	4	ENSGALG00000032400	2
ENSOANG00000004879	4	ENSGALG00000029523	2
ENSOANG00000004881	Ultra52	ENSGALG00000040272	1
ENSOANG00000004882	Contig6406	ENSGALG00000009507	5
ENSOANG00000004884	Contig24760	ENSGALG00000003614	23
ENSOANG00000004886	Ultra358	ENSGALG00000014711	Z
ENSOANG00000004887	Ultra358	ENSGALG00000014712	Z
ENSOANG00000004888	Ultra358	ENSGALG00000014713	Z
ENSOANG00000004890	Ultra358	ENSGALG00000026192	Z
ENSOANG00000004892	Ultra358	ENSGALG00000015284	Z
ENSOANG00000004893	Contig20394	ENSGALG00000006346	13
ENSOANG00000004894	Contig3828	ENSGALG00000016808	1
ENSOANG00000004896	Ultra272	ENSGALG00000009427	6
ENSOANG00000004897	Ultra515	ENSGALG00000042333	5
ENSOANG00000004900	Contig28535	ENSGALG00000039615	4
ENSOANG00000004902	Contig23780	ENSGALG00000042598	23
ENSOANG00000004903	Ultra78	ENSGALG00000026534	11
ENSOANG00000004904	Contig5365	ENSGALG00000012118	5
ENSOANG00000004905	Contig4345	ENSGALG00000002282	3
ENSOANG00000004907	Contig33434	ENSGALG00000032979	24
ENSOANG00000004908	Ultra337	ENSGALG00000005843	20
ENSOANG00000004911	Ultra337	ENSGALG00000005852	20
ENSOANG00000004912	Ultra337	ENSGALG00000036838	20
ENSOANG00000004913	Ultra337	ENSGALG00000005901	20
ENSOANG00000004914	Ultra337	ENSGALG00000005932	20
ENSOANG00000004915	Ultra337	ENSGALG00000029170	20
ENSOANG00000004916	Ultra337	ENSGALG00000027965	20
ENSOANG00000004918	Ultra337	ENSGALG00000005976	20
ENSOANG00000004920	Ultra337	ENSGALG00000006001	20
ENSOANG00000004921	Ultra337	ENSGALG00000006007	20
ENSOANG00000004922	Ultra337	ENSGALG00000006013	20
ENSOANG00000004923	Ultra337	ENSGALG00000006040	20
ENSOANG00000004926	Ultra337	ENSGALG00000035378	20
ENSOANG00000004930	Ultra337	ENSGALG00000006062	20
ENSOANG00000004932	Ultra337	ENSGALG00000006092	20
ENSOANG00000004933	Ultra337	ENSGALG00000006101	20
ENSOANG00000004934	Ultra337	ENSGALG00000006106	20
ENSOANG00000004937	Contig12198	ENSGALG00000013468	4
ENSOANG00000004938	Ultra337	ENSGALG00000006130	20
ENSOANG00000004939	Ultra337	ENSGALG00000039685	20
ENSOANG00000004943	Ultra337	ENSGALG00000001054	20
ENSOANG00000004944	Ultra337	ENSGALG00000028567	20
ENSOANG00000004945	Ultra337	ENSGALG00000024081	20
ENSOANG00000004946	Ultra337	ENSGALG00000001046	20
ENSOANG00000004947	Contig7834	ENSGALG00000027908	4
ENSOANG00000004948	Ultra497	ENSGALG00000000577	28
ENSOANG00000004950	Contig5586	ENSGALG00000037998	15
ENSOANG00000004952	Ultra497	ENSGALG00000021692	28
ENSOANG00000004955	Ultra151	ENSGALG00000001335	18
ENSOANG00000004956	Ultra151	ENSGALG00000044567	18
ENSOANG00000004960	Contig4846	ENSGALG00000040479	5
ENSOANG00000004962	2	ENSGALG00000009572	1
ENSOANG00000004963	Contig10131	ENSGALG00000033957	AADN04000737.1
ENSOANG00000004964	Contig1714	ENSGALG00000040854	14
ENSOANG00000004965	Contig46398	ENSGALG00000033277	12
ENSOANG00000004966	Contig1255	ENSGALG00000027389	Z
ENSOANG00000004969	Contig101	ENSGALG00000005718	20
ENSOANG00000004970	Contig101	ENSGALG00000028225	20
ENSOANG00000004972	Contig101	ENSGALG00000005700	20
ENSOANG00000004974	Contig101	ENSGALG00000045499	20
ENSOANG00000004975	Contig101	ENSGALG00000005628	20
ENSOANG00000004976	Contig101	ENSGALG00000005609	20
ENSOANG00000004977	Contig101	ENSGALG00000005531	20
ENSOANG00000004978	Contig101	ENSGALG00000005524	20
ENSOANG00000004979	Contig101	ENSGALG00000005460	20
ENSOANG00000004981	Contig101	ENSGALG00000005352	20
ENSOANG00000004982	Contig27111	ENSGALG00000030847	27
ENSOANG00000004983	Contig33569	ENSGALG00000019489	2
ENSOANG00000004986	Ultra239	ENSGALG00000011281	2
ENSOANG00000004987	Ultra239	ENSGALG00000011278	2
ENSOANG00000004988	Ultra239	ENSGALG00000044362	2
ENSOANG00000004989	Ultra239	ENSGALG00000011272	2
ENSOANG00000004990	Ultra239	ENSGALG00000011262	2
ENSOANG00000004992	Ultra239	ENSGALG00000011254	2
ENSOANG00000004993	Ultra239	ENSGALG00000011251	2
ENSOANG00000004996	Contig1619	ENSGALG00000032145	13
ENSOANG00000004997	Contig1619	ENSGALG00000041754	13
ENSOANG00000004998	Contig1619	ENSGALG00000014381	13
ENSOANG00000004999	Contig1619	ENSGALG00000023920	13
ENSOANG00000005000	Contig1619	ENSGALG00000006708	13
ENSOANG00000005001	10	ENSGALG00000033471	1
ENSOANG00000005002	10	ENSGALG00000011727	1
ENSOANG00000005003	10	ENSGALG00000011724	1
ENSOANG00000005004	Contig27489	ENSGALG00000007037	5
ENSOANG00000005005	10	ENSGALG00000011722	1
ENSOANG00000005006	10	ENSGALG00000011682	1
ENSOANG00000005009	10	ENSGALG00000012908	1
ENSOANG00000005011	10	ENSGALG00000028459	1
ENSOANG00000005015	10	ENSGALG00000012894	1
ENSOANG00000005016	10	ENSGALG00000040493	1
ENSOANG00000005017	10	ENSGALG00000012890	1
ENSOANG00000005021	Contig6313	ENSGALG00000006072	2
ENSOANG00000005022	X5	ENSGALG00000015126	Z
ENSOANG00000005023	Contig1053	ENSGALG00000014773	Z
ENSOANG00000005024	X5	ENSGALG00000027374	Z
ENSOANG00000005025	X5	ENSGALG00000015118	Z
ENSOANG00000005028	X5	ENSGALG00000015113	Z
ENSOANG00000005030	7	ENSGALG00000041573	2
ENSOANG00000005031	7	ENSGALG00000030585	2
ENSOANG00000005032	7	ENSGALG00000041222	2
ENSOANG00000005033	Contig16295	ENSGALG00000015878	3
ENSOANG00000005034	7	ENSGALG00000015436	2
ENSOANG00000005036	7	ENSGALG00000038838	2
ENSOANG00000005038	7	ENSGALG00000039102	2
ENSOANG00000005040	7	ENSGALG00000039145	2
ENSOANG00000005041	7	ENSGALG00000015450	2
ENSOANG00000005042	7	ENSGALG00000041080	2
ENSOANG00000005045	7	ENSGALG00000030112	2
ENSOANG00000005046	7	ENSGALG00000034899	2
ENSOANG00000005047	Ultra81	ENSGALG00000041473	17
ENSOANG00000005048	Ultra584	ENSGALG00000006165	6
ENSOANG00000005049	7	ENSGALG00000031130	2
ENSOANG00000005050	Ultra81	ENSGALG00000031016	17
ENSOANG00000005051	7	ENSGALG00000030031	2
ENSOANG00000005052	Ultra81	ENSGALG00000040923	17
ENSOANG00000005053	7	ENSGALG00000039774	2
ENSOANG00000005054	Ultra81	ENSGALG00000003509	17
ENSOANG00000005056	7	ENSGALG00000029435	2
ENSOANG00000005059	Contig19695	ENSGALG00000007217	5
ENSOANG00000005064	Ultra143	ENSGALG00000028037	5
ENSOANG00000005065	Contig21308	ENSGALG00000000607	26
ENSOANG00000005066	Ultra143	ENSGALG00000010326	5
ENSOANG00000005068	Ultra143	ENSGALG00000010340	5
ENSOANG00000005070	Ultra143	ENSGALG00000020415	5
ENSOANG00000005071	4	ENSGALG00000006997	17
ENSOANG00000005072	X1	ENSGALG00000003702	13
ENSOANG00000005073	X1	ENSGALG00000038954	13
ENSOANG00000005074	X1	ENSGALG00000003722	13
ENSOANG00000005077	X1	ENSGALG00000003744	13
ENSOANG00000005078	X1	ENSGALG00000039687	13
ENSOANG00000005079	X1	ENSGALG00000003818	13
ENSOANG00000005080	11	ENSGALG00000023437	11
ENSOANG00000005081	11	ENSGALG00000000699	11
ENSOANG00000005082	X1	ENSGALG00000003857	13
ENSOANG00000005084	11	ENSGALG00000000713	11
ENSOANG00000005085	Contig22198	ENSGALG00000033110	10
ENSOANG00000005091	X1	ENSGALG00000003919	13
ENSOANG00000005092	X1	ENSGALG00000003937	13
ENSOANG00000005095	X1	ENSGALG00000003972	13
ENSOANG00000005096	X1	ENSGALG00000040109	13
ENSOANG00000005097	X1	ENSGALG00000035104	13
ENSOANG00000005098	Ultra285	ENSGALG00000037065	24
ENSOANG00000005099	X1	ENSGALG00000028994	13
ENSOANG00000005100	X1	ENSGALG00000004033	13
ENSOANG00000005102	X1	ENSGALG00000004068	13
ENSOANG00000005104	X1	ENSGALG00000004083	13
ENSOANG00000005105	Ultra486	ENSGALG00000008951	8
ENSOANG00000005108	X1	ENSGALG00000004101	13
ENSOANG00000005109	X1	ENSGALG00000004134	13
ENSOANG00000005112	X1	ENSGALG00000004184	13
ENSOANG00000005114	Contig5660	ENSGALG00000042761	21
ENSOANG00000005115	X1	ENSGALG00000004320	13
ENSOANG00000005116	X1	ENSGALG00000038582	13
ENSOANG00000005117	X1	ENSGALG00000027534	13
ENSOANG00000005118	Contig16104	ENSGALG00000009111	5
ENSOANG00000005119	Contig16104	ENSGALG00000009112	5
ENSOANG00000005120	X1	ENSGALG00000040335	3
ENSOANG00000005121	Ultra102	ENSGALG00000032590	14
ENSOANG00000005122	Ultra102	ENSGALG00000029360	14
ENSOANG00000005123	Ultra102	ENSGALG00000038152	14
ENSOANG00000005124	Ultra102	ENSGALG00000006646	14
ENSOANG00000005131	Ultra45	ENSGALG00000039257	KQ759549.1
ENSOANG00000005132	Ultra102	ENSGALG00000006532	14
ENSOANG00000005133	Ultra45	ENSGALG00000029971	KQ759549.1
ENSOANG00000005134	Ultra102	ENSGALG00000006520	14
ENSOANG00000005135	Ultra45	ENSGALG00000039156	KQ759480.1
ENSOANG00000005136	Ultra97	ENSGALG00000038722	6
ENSOANG00000005138	Ultra97	ENSGALG00000005422	6
ENSOANG00000005139	Ultra97	ENSGALG00000005451	6
ENSOANG00000005140	Ultra102	ENSGALG00000039815	14
ENSOANG00000005141	Ultra97	ENSGALG00000006983	6
ENSOANG00000005142	Ultra102	ENSGALG00000006456	14
ENSOANG00000005143	Ultra102	ENSGALG00000034829	14
ENSOANG00000005145	Ultra97	ENSGALG00000006966	6
ENSOANG00000005151	Contig22618	ENSGALG00000031512	33
ENSOANG00000005157	Ultra543	ENSGALG00000034630	26
ENSOANG00000005163	Contig9261	ENSGALG00000019286	1
ENSOANG00000005169	Ultra511	ENSGALG00000004980	6
ENSOANG00000005172	Ultra626	ENSGALG00000012300	3
ENSOANG00000005173	Contig6400	ENSGALG00000001992	10
ENSOANG00000005174	Ultra200	ENSGALG00000015166	Z
ENSOANG00000005176	3	ENSGALG00000004809	6
ENSOANG00000005183	Ultra403	ENSGALG00000029663	AADN04002404.1
ENSOANG00000005188	Ultra4	ENSGALG00000010411	9
ENSOANG00000005189	Ultra4	ENSGALG00000010410	9
ENSOANG00000005191	Contig20948	ENSGALG00000027696	28
ENSOANG00000005192	Contig29077	ENSGALG00000003870	13
ENSOANG00000005193	Contig10291	ENSGALG00000014078	4
ENSOANG00000005194	Contig10563	ENSGALG00000013272	1
ENSOANG00000005197	Contig3737	ENSGALG00000028900	11
ENSOANG00000005200	Contig15727	ENSGALG00000027630	Z
ENSOANG00000005205	Contig2443	ENSGALG00000003079	9
ENSOANG00000005207	Contig19869	ENSGALG00000008669	7
ENSOANG00000005209	Ultra729	ENSGALG00000019979	3
ENSOANG00000005212	Contig16147	ENSGALG00000036221	AADN04007468.1
ENSOANG00000005213	Contig16147	ENSGALG00000034738	AADN04013882.1
ENSOANG00000005214	Contig249088	ENSGALG00000007666	6
ENSOANG00000005215	Ultra428	ENSGALG00000023626	18
ENSOANG00000005216	Ultra428	ENSGALG00000001607	18
ENSOANG00000005217	Ultra428	ENSGALG00000039839	18
ENSOANG00000005218	Ultra428	ENSGALG00000001603	18
ENSOANG00000005219	Ultra204	ENSGALG00000028290	1
ENSOANG00000005221	Contig18388	ENSGALG00000017268	1
ENSOANG00000005222	Contig18388	ENSGALG00000019042	1
ENSOANG00000005223	Contig5752	ENSGALG00000000712	26
ENSOANG00000005230	Ultra222	ENSGALG00000016251	1
ENSOANG00000005232	Contig1555	ENSGALG00000038853	18
ENSOANG00000005233	Contig1555	ENSGALG00000007042	18
ENSOANG00000005234	Contig25857	ENSGALG00000007964	15
ENSOANG00000005235	Contig1555	ENSGALG00000007054	18
ENSOANG00000005239	Contig15625	ENSGALG00000002523	Z
ENSOANG00000005241	Contig15625	ENSGALG00000002412	Z
ENSOANG00000005242	Contig12948	ENSGALG00000015828	1
ENSOANG00000005244	Contig4011	ENSGALG00000002594	7
ENSOANG00000005245	7	ENSGALG00000037597	26
ENSOANG00000005246	7	ENSGALG00000001091	26
ENSOANG00000005248	7	ENSGALG00000000919	26
ENSOANG00000005251	Contig10013	ENSGALG00000010708	2
ENSOANG00000005252	Ultra288	ENSGALG00000003277	18
ENSOANG00000005253	Ultra288	ENSGALG00000003284	18
ENSOANG00000005255	2	ENSGALG00000013865	3
ENSOANG00000005257	2	ENSGALG00000013869	3
ENSOANG00000005260	Ultra288	ENSGALG00000003319	18
ENSOANG00000005261	Ultra539	ENSGALG00000010009	4
ENSOANG00000005262	Ultra539	ENSGALG00000010013	4
ENSOANG00000005263	Ultra539	ENSGALG00000010019	4
ENSOANG00000005264	Ultra539	ENSGALG00000010022	4
ENSOANG00000005265	Ultra298	ENSGALG00000014860	2
ENSOANG00000005267	Ultra539	ENSGALG00000010031	4
ENSOANG00000005268	Ultra539	ENSGALG00000010035	4
ENSOANG00000005269	Ultra539	ENSGALG00000032386	4
ENSOANG00000005270	Ultra610	ENSGALG00000007300	18
ENSOANG00000005271	Ultra610	ENSGALG00000002900	18
ENSOANG00000005276	Contig7129	ENSGALG00000014826	Z
ENSOANG00000005277	Ultra539	ENSGALG00000045289	4
ENSOANG00000005279	Contig142721	ENSGALG00000006600	9
ENSOANG00000005280	Ultra539	ENSGALG00000010090	4
ENSOANG00000005282	Ultra539	ENSGALG00000010097	4
ENSOANG00000005283	Ultra539	ENSGALG00000010103	4
ENSOANG00000005284	2	ENSGALG00000013810	3
ENSOANG00000005285	Ultra539	ENSGALG00000041361	4
ENSOANG00000005286	Ultra539	ENSGALG00000041054	4
ENSOANG00000005287	Ultra539	ENSGALG00000009207	4
ENSOANG00000005289	Ultra539	ENSGALG00000009230	4
ENSOANG00000005290	Ultra105	ENSGALG00000010716	4
ENSOANG00000005292	Ultra539	ENSGALG00000009241	4
ENSOANG00000005294	Ultra539	ENSGALG00000009262	4
ENSOANG00000005295	Ultra539	ENSGALG00000009257	4
ENSOANG00000005297	Ultra539	ENSGALG00000009266	4
ENSOANG00000005299	Ultra539	ENSGALG00000009268	4
ENSOANG00000005305	Contig31513	ENSGALG00000010377	9
ENSOANG00000005310	Ultra688	ENSGALG00000036625	2
ENSOANG00000005313	Contig29605	ENSGALG00000011816	18
ENSOANG00000005320	Ultra520	ENSGALG00000013994	3
ENSOANG00000005324	Contig9849	ENSGALG00000005584	5
ENSOANG00000005329	Contig24810	ENSGALG00000001363	19
ENSOANG00000005332	Contig5140	ENSGALG00000034271	28
ENSOANG00000005333	Contig13753	ENSGALG00000008176	3
ENSOANG00000005338	Contig4932	ENSGALG00000001276	27
ENSOANG00000005339	Contig3675	ENSGALG00000044799	4
ENSOANG00000005342	Contig1426	ENSGALG00000006899	24
ENSOANG00000005344	Contig13844	ENSGALG00000015464	1
ENSOANG00000005345	Contig10040	ENSGALG00000033234	28
ENSOANG00000005346	Contig1426	ENSGALG00000007412	24
ENSOANG00000005347	Contig1426	ENSGALG00000021271	24
ENSOANG00000005349	Ultra286	ENSGALG00000008438	5
ENSOANG00000005350	Ultra286	ENSGALG00000008436	5
ENSOANG00000005353	Ultra631	ENSGALG00000003716	Z
ENSOANG00000005356	Ultra286	ENSGALG00000008393	5
ENSOANG00000005358	Contig15151	ENSGALG00000041927	19
ENSOANG00000005363	5	ENSGALG00000010122	4
ENSOANG00000005364	5	ENSGALG00000010125	4
ENSOANG00000005367	Contig6852	ENSGALG00000002563	28
ENSOANG00000005368	Ultra272	ENSGALG00000009302	6
ENSOANG00000005370	Contig20983	ENSGALG00000032215	10
ENSOANG00000005379	Contig13244	ENSGALG00000006719	15
ENSOANG00000005381	Contig20437	ENSGALG00000038340	2
ENSOANG00000005383	7	ENSGALG00000000816	26
ENSOANG00000005385	7	ENSGALG00000013356	26
ENSOANG00000005387	Contig5907	ENSGALG00000009429	4
ENSOANG00000005390	Contig18729	ENSGALG00000033356	AADN04000662.1
