Mouse	ChrMouse	Chicken	ChrChicken
ENSMUSG00000021701	13	ENSGALG00000014725	Z
ENSMUSG00000021702	13	ENSGALG00000014804	Z
ENSMUSG00000021703	13	ENSGALG00000014798	Z
ENSMUSG00000021704	13	ENSGALG00000014807	Z
ENSMUSG00000021706	13	ENSGALG00000015576	Z
ENSMUSG00000021707	13	ENSGALG00000026757	Z
ENSMUSG00000021708	13	ENSGALG00000015598	Z
ENSMUSG00000021709	13	ENSGALG00000014773	Z
ENSMUSG00000021710	13	ENSGALG00000014769	Z
ENSMUSG00000021711	13	ENSGALG00000014767	Z
ENSMUSG00000021712	13	ENSGALG00000014765	Z
ENSMUSG00000021713	13	ENSGALG00000014756	Z
ENSMUSG00000021714	13	ENSGALG00000014753	Z
ENSMUSG00000021715	13	ENSGALG00000014747	Z
ENSMUSG00000021716	13	ENSGALG00000026028	Z
ENSMUSG00000021719	13	ENSGALG00000027389	Z
ENSMUSG00000021720	13	ENSGALG00000014743	Z
ENSMUSG00000021721	13	ENSGALG00000014742	Z
ENSMUSG00000021725	13	ENSGALG00000032991	Z
ENSMUSG00000021728	13	ENSGALG00000014877	Z
ENSMUSG00000021730	13	ENSGALG00000014875	Z
ENSMUSG00000021732	13	ENSGALG00000014872	Z
ENSMUSG00000021733	14	ENSGALG00000011405	2
ENSMUSG00000021737	14	ENSGALG00000007315	12
ENSMUSG00000021738	14	ENSGALG00000007302	12
ENSMUSG00000021743	14	ENSGALG00000007184	12
ENSMUSG00000021745	14	ENSGALG00000007177	12
ENSMUSG00000021748	14	ENSGALG00000029576	12
ENSMUSG00000021749	14	ENSGALG00000007152	12
ENSMUSG00000021750	14	ENSGALG00000007139	12
ENSMUSG00000021751	14	ENSGALG00000007132	12
ENSMUSG00000021752	14	ENSGALG00000007111	12
ENSMUSG00000021754	13	ENSGALG00000014718	Z
ENSMUSG00000021756	13	ENSGALG00000014716	Z
ENSMUSG00000021758	13	ENSGALG00000014713	Z
ENSMUSG00000021759	13	ENSGALG00000014711	Z
ENSMUSG00000021760	13	ENSGALG00000026704	Z
ENSMUSG00000021763	13	ENSGALG00000020561	Z
ENSMUSG00000021764	13	ENSGALG00000028026	Z
ENSMUSG00000021765	13	ENSGALG00000014908	Z
ENSMUSG00000021767	14	ENSGALG00000005035	6
ENSMUSG00000021768	14	ENSGALG00000005017	6
ENSMUSG00000021770	14	ENSGALG00000005004	6
ENSMUSG00000021771	14	ENSGALG00000005002	6
ENSMUSG00000021772	14	ENSGALG00000011289	2
ENSMUSG00000021773	14	ENSGALG00000005000	6
ENSMUSG00000021774	14	ENSGALG00000011286	2
ENSMUSG00000021775	14	ENSGALG00000011291	2
ENSMUSG00000021779	14	ENSGALG00000011294	2
ENSMUSG00000021782	14	ENSGALG00000043018	6
ENSMUSG00000021785	14	ENSGALG00000011304	2
ENSMUSG00000021786	14	ENSGALG00000011312	2
ENSMUSG00000021789	14	ENSGALG00000002496	6
ENSMUSG00000021790	14	ENSGALG00000002432	6
ENSMUSG00000021792	14	ENSGALG00000002421	6
ENSMUSG00000021794	14	ENSGALG00000034735	6
ENSMUSG00000021796	14	ENSGALG00000002003	6
ENSMUSG00000021799	14	ENSGALG00000001934	6
ENSMUSG00000021803	14	ENSGALG00000002314	6
ENSMUSG00000021804	14	ENSGALG00000002299	6
ENSMUSG00000021806	14	ENSGALG00000012394	5
ENSMUSG00000021807	14	ENSGALG00000012379	5
ENSMUSG00000021809	14	ENSGALG00000004319	6
ENSMUSG00000021810	14	ENSGALG00000002686	6
ENSMUSG00000021811	14	ENSGALG00000002701	6
ENSMUSG00000021814	14	ENSGALG00000005299	6
ENSMUSG00000021815	14	ENSGALG00000002597	14
ENSMUSG00000021816	14	ENSGALG00000005243	6
ENSMUSG00000021819	14	ENSGALG00000005134	6
ENSMUSG00000021820	14	ENSGALG00000005088	6
ENSMUSG00000021822	14	ENSGALG00000005086	6
ENSMUSG00000021824	14	ENSGALG00000005070	6
ENSMUSG00000021831	14	ENSGALG00000012404	5
ENSMUSG00000021832	14	ENSGALG00000012408	5
ENSMUSG00000021835	14	ENSGALG00000012429	5
ENSMUSG00000021843	14	ENSGALG00000012137	5
ENSMUSG00000021846	14	ENSGALG00000012124	5
ENSMUSG00000021848	14	ENSGALG00000034889	5
ENSMUSG00000021850	14	ENSGALG00000012095	5
ENSMUSG00000021852	14	ENSGALG00000012094	5
ENSMUSG00000021866	14	ENSGALG00000043826	6
ENSMUSG00000021868	14	ENSGALG00000004809	6
ENSMUSG00000021870	14	ENSGALG00000005670	12
ENSMUSG00000021877	14	ENSGALG00000005622	12
ENSMUSG00000021879	14	ENSGALG00000005601	12
ENSMUSG00000021884	14	ENSGALG00000011211	2
ENSMUSG00000021886	12	ENSGALG00000010595	5
ENSMUSG00000021890	14	ENSGALG00000033379	2
ENSMUSG00000021891	14	ENSGALG00000040665	2
ENSMUSG00000021892	14	ENSGALG00000039337	2
ENSMUSG00000021893	14	ENSGALG00000041731	2
ENSMUSG00000021895	14	ENSGALG00000005481	12
ENSMUSG00000021898	14	ENSGALG00000005537	12
ENSMUSG00000021900	14	ENSGALG00000011216	2
ENSMUSG00000021901	14	ENSGALG00000004366	12
ENSMUSG00000021903	14	ENSGALG00000011235	2
ENSMUSG00000021904	14	ENSGALG00000004476	12
ENSMUSG00000021905	14	ENSGALG00000011237	2
ENSMUSG00000021906	14	ENSGALG00000011239	2
ENSMUSG00000021907	14	ENSGALG00000043909	6
ENSMUSG00000021910	14	ENSGALG00000043825	12
ENSMUSG00000021911	14	ENSGALG00000002117	6
ENSMUSG00000021913	14	ENSGALG00000002266	6
ENSMUSG00000021916	14	ENSGALG00000001642	12
ENSMUSG00000021917	14	ENSGALG00000001655	12
ENSMUSG00000021918	14	ENSGALG00000041428	12
ENSMUSG00000021919	14	ENSGALG00000002289	6
ENSMUSG00000021929	14	ENSGALG00000017009	1
ENSMUSG00000021930	14	ENSGALG00000017010	1
ENSMUSG00000021932	14	ENSGALG00000017015	1
ENSMUSG00000021933	14	ENSGALG00000005076	9
ENSMUSG00000021936	14	ENSGALG00000006109	6
ENSMUSG00000021938	14	ENSGALG00000017142	1
ENSMUSG00000021939	14	ENSGALG00000030016	3
ENSMUSG00000021943	14	ENSGALG00000005985	6
ENSMUSG00000021944	14	ENSGALG00000016662	3
ENSMUSG00000021947	14	ENSGALG00000017135	1
ENSMUSG00000021948	14	ENSGALG00000002016	12
ENSMUSG00000021950	14	ENSGALG00000005956	6
ENSMUSG00000021951	14	ENSGALG00000017133	1
ENSMUSG00000021952	14	ENSGALG00000017132	1
ENSMUSG00000021953	14	ENSGALG00000016651	3
ENSMUSG00000021957	14	ENSGALG00000005309	12
ENSMUSG00000021958	14	ENSGALG00000041139	3
ENSMUSG00000021962	14	ENSGALG00000041547	12
ENSMUSG00000021965	14	ENSGALG00000017128	1
ENSMUSG00000021967	14	ENSGALG00000039783	1
ENSMUSG00000021972	14	ENSGALG00000016633	3
ENSMUSG00000021973	14	ENSGALG00000017125	1
ENSMUSG00000021974	14	ENSGALG00000025748	1
ENSMUSG00000021975	14	ENSGALG00000016631	3
ENSMUSG00000021978	14	ENSGALG00000016630	3
ENSMUSG00000021981	14	ENSGALG00000017005	1
ENSMUSG00000021982	14	ENSGALG00000017004	1
ENSMUSG00000021983	14	ENSGALG00000017106	1
ENSMUSG00000021986	14	ENSGALG00000027868	1
ENSMUSG00000021987	14	ENSGALG00000017112	1
ENSMUSG00000021990	14	ENSGALG00000034674	1
ENSMUSG00000021991	14	ENSGALG00000005400	12
ENSMUSG00000021993	14	ENSGALG00000017118	1
ENSMUSG00000021994	14	ENSGALG00000034168	12
ENSMUSG00000021996	14	ENSGALG00000016991	1
ENSMUSG00000021997	14	ENSGALG00000029314	1
ENSMUSG00000021998	14	ENSGALG00000016986	1
ENSMUSG00000021999	14	ENSGALG00000016985	1
ENSMUSG00000022000	14	ENSGALG00000016984	1
ENSMUSG00000022003	14	ENSGALG00000016979	1
ENSMUSG00000022008	14	ENSGALG00000031567	1
ENSMUSG00000022009	14	ENSGALG00000016972	1
ENSMUSG00000022010	14	ENSGALG00000016971	1
ENSMUSG00000022012	14	ENSGALG00000016967	1
ENSMUSG00000022013	14	ENSGALG00000016965	1
ENSMUSG00000022014	14	ENSGALG00000016964	1
ENSMUSG00000022015	14	ENSGALG00000026163	1
ENSMUSG00000022016	14	ENSGALG00000022739	1
ENSMUSG00000022018	14	ENSGALG00000016954	1
ENSMUSG00000022019	14	ENSGALG00000016936	1
ENSMUSG00000022021	14	ENSGALG00000016937	1
ENSMUSG00000022022	14	ENSGALG00000016951	1
ENSMUSG00000022023	14	ENSGALG00000016949	1
ENSMUSG00000022024	14	ENSGALG00000016946	1
ENSMUSG00000022025	14	ENSGALG00000016945	1
ENSMUSG00000022026	14	ENSGALG00000016943	1
ENSMUSG00000022031	14	ENSGALG00000016624	3
ENSMUSG00000022032	14	ENSGALG00000016580	3
ENSMUSG00000022033	14	ENSGALG00000016582	3
ENSMUSG00000022034	14	ENSGALG00000016583	3
ENSMUSG00000022035	14	ENSGALG00000016586	3
ENSMUSG00000022037	14	ENSGALG00000043051	3
ENSMUSG00000022040	14	ENSGALG00000016567	3
ENSMUSG00000022041	14	ENSGALG00000016565	3
ENSMUSG00000022043	14	ENSGALG00000016595	3
ENSMUSG00000022044	14	ENSGALG00000030929	3
ENSMUSG00000022048	14	ENSGALG00000000227	22
ENSMUSG00000022051	14	ENSGALG00000043405	22
ENSMUSG00000022052	14	ENSGALG00000000235	22
ENSMUSG00000022053	14	ENSGALG00000000242	22
ENSMUSG00000022054	14	ENSGALG00000000317	22
ENSMUSG00000022055	14	ENSGALG00000000314	22
ENSMUSG00000022057	14	ENSGALG00000000357	22
ENSMUSG00000022061	14	ENSGALG00000030601	AADN04012083.1
ENSMUSG00000022064	14	ENSGALG00000016929	1
ENSMUSG00000022070	14	ENSGALG00000016931	1
ENSMUSG00000022074	14	ENSGALG00000000452	22
ENSMUSG00000022075	14	ENSGALG00000034020	22
ENSMUSG00000022076	14	ENSGALG00000016907	1
ENSMUSG00000022092	14	ENSGALG00000041413	AADN04002520.1
ENSMUSG00000022094	14	ENSGALG00000033989	AADN04002725.1
ENSMUSG00000022099	14	ENSGALG00000040807	AADN04004214.1
ENSMUSG00000022100	14	ENSGALG00000001838	22
ENSMUSG00000022102	14	ENSGALG00000026250	22
ENSMUSG00000022103	14	ENSGALG00000032856	22
ENSMUSG00000022105	14	ENSGALG00000016997	1
ENSMUSG00000022106	14	ENSGALG00000017000	1
ENSMUSG00000022108	14	ENSGALG00000016996	1
ENSMUSG00000022109	14	ENSGALG00000016995	1
ENSMUSG00000022110	14	ENSGALG00000016993	1
ENSMUSG00000022112	14	ENSGALG00000016902	1
ENSMUSG00000022114	14	ENSGALG00000016906	1
ENSMUSG00000022119	14	ENSGALG00000016910	1
ENSMUSG00000022120	14	ENSGALG00000016911	1
ENSMUSG00000022122	14	ENSGALG00000016912	1
ENSMUSG00000022123	14	ENSGALG00000027514	1
ENSMUSG00000022124	14	ENSGALG00000045204	1
ENSMUSG00000022125	14	ENSGALG00000016917	1
ENSMUSG00000022126	14	ENSGALG00000016919	1
ENSMUSG00000022129	14	ENSGALG00000016899	1
ENSMUSG00000022130	14	ENSGALG00000016898	1
ENSMUSG00000022131	14	ENSGALG00000016897	1
ENSMUSG00000022132	14	ENSGALG00000019114	1
ENSMUSG00000022136	14	ENSGALG00000016894	1
ENSMUSG00000022139	14	ENSGALG00000016890	1
ENSMUSG00000022142	15	ENSGALG00000003688	Z
ENSMUSG00000022144	15	ENSGALG00000003716	Z
ENSMUSG00000022146	15	ENSGALG00000003747	Z
ENSMUSG00000022148	15	ENSGALG00000003792	Z
ENSMUSG00000022150	15	ENSGALG00000003803	Z
ENSMUSG00000022151	15	ENSGALG00000014826	Z
ENSMUSG00000022174	14	ENSGALG00000035626	27
ENSMUSG00000022177	14	ENSGALG00000039755	KQ759697.1
ENSMUSG00000022181	15	ENSGALG00000014840	Z
ENSMUSG00000022184	15	ENSGALG00000014851	Z
ENSMUSG00000022191	15	ENSGALG00000012916	2
ENSMUSG00000022195	15	ENSGALG00000012909	2
ENSMUSG00000022206	15	ENSGALG00000017405	Z
ENSMUSG00000022211	14	ENSGALG00000038527	KQ759530.1
ENSMUSG00000022231	15	ENSGALG00000028685	2
ENSMUSG00000022234	15	ENSGALG00000013041	2
ENSMUSG00000022236	15	ENSGALG00000013006	2
ENSMUSG00000022237	15	ENSGALG00000038328	2
ENSMUSG00000022240	15	ENSGALG00000013001	2
ENSMUSG00000022241	15	ENSGALG00000003288	Z
ENSMUSG00000022243	15	ENSGALG00000003310	Z
ENSMUSG00000022244	15	ENSGALG00000003326	Z
ENSMUSG00000022245	9	ENSGALG00000029521	10
ENSMUSG00000022246	15	ENSGALG00000003353	Z
ENSMUSG00000022247	15	ENSGALG00000003373	Z
ENSMUSG00000022248	15	ENSGALG00000003365	Z
ENSMUSG00000022253	15	ENSGALG00000003558	Z
ENSMUSG00000022255	15	ENSGALG00000034050	2
ENSMUSG00000022257	15	ENSGALG00000045196	2
ENSMUSG00000022261	15	ENSGALG00000031424	2
ENSMUSG00000022262	15	ENSGALG00000012997	2
ENSMUSG00000022263	15	ENSGALG00000031495	2
ENSMUSG00000022265	15	ENSGALG00000012964	2
ENSMUSG00000022269	15	ENSGALG00000042584	2
ENSMUSG00000022270	15	ENSGALG00000042679	2
ENSMUSG00000022272	15	ENSGALG00000036466	2
ENSMUSG00000022280	15	ENSGALG00000038772	2
ENSMUSG00000022285	15	ENSGALG00000031387	2
ENSMUSG00000022286	15	ENSGALG00000037687	2
ENSMUSG00000022292	15	ENSGALG00000040921	2
ENSMUSG00000022295	15	ENSGALG00000034099	2
ENSMUSG00000022296	15	ENSGALG00000045617	2
ENSMUSG00000022297	15	ENSGALG00000030626	2
ENSMUSG00000022299	15	ENSGALG00000039882	2
ENSMUSG00000022300	15	ENSGALG00000034618	2
ENSMUSG00000022303	15	ENSGALG00000033520	2
ENSMUSG00000022304	15	ENSGALG00000039011	2
ENSMUSG00000022305	15	ENSGALG00000033630	2
ENSMUSG00000022306	15	ENSGALG00000040079	2
ENSMUSG00000022309	15	ENSGALG00000029983	2
ENSMUSG00000022311	15	ENSGALG00000031578	2
ENSMUSG00000022312	15	ENSGALG00000040522	2
ENSMUSG00000022313	15	ENSGALG00000032400	2
ENSMUSG00000022314	15	ENSGALG00000029523	2
ENSMUSG00000022315	15	ENSGALG00000034377	2
ENSMUSG00000022321	15	ENSGALG00000032022	2
ENSMUSG00000022322	8	ENSGALG00000004444	11
ENSMUSG00000022323	15	ENSGALG00000044554	2
ENSMUSG00000022325	15	ENSGALG00000032042	2
ENSMUSG00000022329	15	ENSGALG00000032850	2
ENSMUSG00000022330	15	ENSGALG00000037695	2
ENSMUSG00000022332	15	ENSGALG00000031519	2
ENSMUSG00000022335	15	ENSGALG00000037698	2
ENSMUSG00000022336	15	ENSGALG00000037067	2
ENSMUSG00000022337	15	ENSGALG00000040325	2
ENSMUSG00000022338	15	ENSGALG00000036618	2
ENSMUSG00000022339	15	ENSGALG00000036293	2
ENSMUSG00000022340	15	ENSGALG00000036527	2
ENSMUSG00000022350	15	ENSGALG00000032732	2
ENSMUSG00000022351	15	ENSGALG00000036915	2
ENSMUSG00000022353	15	ENSGALG00000041969	2
ENSMUSG00000022354	15	ENSGALG00000042242	2
ENSMUSG00000022357	15	ENSGALG00000038946	2
ENSMUSG00000022358	15	ENSGALG00000041202	2
ENSMUSG00000022359	15	ENSGALG00000030059	2
ENSMUSG00000022360	15	ENSGALG00000034348	2
ENSMUSG00000022361	15	ENSGALG00000034999	2
ENSMUSG00000022364	15	ENSGALG00000030460	2
ENSMUSG00000022365	15	ENSGALG00000033950	2
ENSMUSG00000022367	15	ENSGALG00000029596	2
ENSMUSG00000022369	15	ENSGALG00000031524	2
ENSMUSG00000022370	15	ENSGALG00000041863	2
ENSMUSG00000022371	15	ENSGALG00000037675	2
ENSMUSG00000022372	15	ENSGALG00000039264	2
ENSMUSG00000022375	15	ENSGALG00000042548	2
ENSMUSG00000022376	15	ENSGALG00000030251	2
ENSMUSG00000022377	15	ENSGALG00000037618	2
ENSMUSG00000022378	15	ENSGALG00000036490	2
ENSMUSG00000022382	15	ENSGALG00000036255	1
ENSMUSG00000022383	15	ENSGALG00000041470	1
ENSMUSG00000022385	15	ENSGALG00000004897	1
ENSMUSG00000022386	15	ENSGALG00000031922	1
ENSMUSG00000022387	15	ENSGALG00000029379	1
ENSMUSG00000022389	15	ENSGALG00000011958	1
ENSMUSG00000022390	15	ENSGALG00000011965	1
ENSMUSG00000022391	15	ENSGALG00000011966	1
ENSMUSG00000022394	15	ENSGALG00000011976	1
ENSMUSG00000022400	15	ENSGALG00000011993	1
ENSMUSG00000022401	15	ENSGALG00000012003	1
ENSMUSG00000022403	15	ENSGALG00000012007	1
ENSMUSG00000022404	15	ENSGALG00000012013	1
ENSMUSG00000022407	15	ENSGALG00000012034	1
ENSMUSG00000022408	15	ENSGALG00000045936	1
ENSMUSG00000022412	15	ENSGALG00000012144	1
ENSMUSG00000022414	15	ENSGALG00000012150	1
ENSMUSG00000022415	15	ENSGALG00000027665	1
ENSMUSG00000022419	15	ENSGALG00000043787	2
ENSMUSG00000022420	15	ENSGALG00000043451	1
ENSMUSG00000022422	15	ENSGALG00000043799	2
ENSMUSG00000022425	15	ENSGALG00000032746	2
ENSMUSG00000022426	15	ENSGALG00000041766	1
ENSMUSG00000022427	15	ENSGALG00000019316	1
ENSMUSG00000022428	15	ENSGALG00000012218	1
ENSMUSG00000022429	15	ENSGALG00000012236	1
ENSMUSG00000022431	15	ENSGALG00000014232	1
ENSMUSG00000022432	15	ENSGALG00000014228	1
ENSMUSG00000022433	15	ENSGALG00000032257	1
ENSMUSG00000022435	15	ENSGALG00000014227	1
ENSMUSG00000022436	15	ENSGALG00000012422	1
ENSMUSG00000022437	15	ENSGALG00000014194	1
ENSMUSG00000022438	15	ENSGALG00000014201	1
ENSMUSG00000022439	15	ENSGALG00000014203	1
ENSMUSG00000022440	15	ENSGALG00000027067	1
ENSMUSG00000022441	15	ENSGALG00000014188	1
ENSMUSG00000022442	15	ENSGALG00000014163	1
ENSMUSG00000022443	15	ENSGALG00000043092	1
ENSMUSG00000022449	15	ENSGALG00000009572	1
ENSMUSG00000022450	15	ENSGALG00000035223	1
ENSMUSG00000022451	15	ENSGALG00000009595	1
ENSMUSG00000022452	15	ENSGALG00000011897	1
ENSMUSG00000022453	15	ENSGALG00000011900	1
ENSMUSG00000022454	15	ENSGALG00000009601	1
ENSMUSG00000022456	15	ENSGALG00000011913	1
ENSMUSG00000022462	15	ENSGALG00000008497	1
ENSMUSG00000022463	15	ENSGALG00000041687	1
ENSMUSG00000022464	15	ENSGALG00000009730	1
ENSMUSG00000022466	15	ENSGALG00000009743	1
ENSMUSG00000022468	15	ENSGALG00000039970	33
ENSMUSG00000022469	15	ENSGALG00000043775	33
ENSMUSG00000022471	15	ENSGALG00000011932	1
ENSMUSG00000022472	15	ENSGALG00000011934	1
ENSMUSG00000022474	15	ENSGALG00000038599	1
ENSMUSG00000022475	15	ENSGALG00000039710	33
ENSMUSG00000022476	15	ENSGALG00000011947	1
ENSMUSG00000022477	15	ENSGALG00000011950	1
ENSMUSG00000022479	15	ENSGALG00000033090	AADN04000776.1
ENSMUSG00000022484	15	ENSGALG00000029393	33
ENSMUSG00000022485	15	ENSGALG00000030416	33
ENSMUSG00000022487	15	ENSGALG00000001109	27
ENSMUSG00000022488	15	ENSGALG00000035386	AADN04001865.1
ENSMUSG00000022494	16	ENSGALG00000035799	14
ENSMUSG00000022498	16	ENSGALG00000003154	14
ENSMUSG00000022500	16	ENSGALG00000003217	14
ENSMUSG00000022503	16	ENSGALG00000007241	14
ENSMUSG00000022504	16	ENSGALG00000007171	14
ENSMUSG00000022505	16	ENSGALG00000027058	14
ENSMUSG00000022507	16	ENSGALG00000007291	14
ENSMUSG00000022508	16	ENSGALG00000007357	9
ENSMUSG00000022510	16	ENSGALG00000007324	9
ENSMUSG00000022512	16	ENSGALG00000026862	9
ENSMUSG00000022514	16	ENSGALG00000007253	9
ENSMUSG00000022515	16	ENSGALG00000000643	14
ENSMUSG00000022516	16	ENSGALG00000039779	14
ENSMUSG00000022517	16	ENSGALG00000037492	14
ENSMUSG00000022518	16	ENSGALG00000035115	14
ENSMUSG00000022519	16	ENSGALG00000038884	14
ENSMUSG00000022521	16	ENSGALG00000007762	14
ENSMUSG00000022523	16	ENSGALG00000036971	9
ENSMUSG00000022525	16	ENSGALG00000007193	9
ENSMUSG00000022533	16	ENSGALG00000007075	9
ENSMUSG00000022536	16	ENSGALG00000038338	14
ENSMUSG00000022538	16	ENSGALG00000007058	9
ENSMUSG00000022540	16	ENSGALG00000001841	14
ENSMUSG00000022542	16	ENSGALG00000029027	14
ENSMUSG00000022544	16	ENSGALG00000002044	14
ENSMUSG00000022545	16	ENSGALG00000002981	14
ENSMUSG00000022548	16	ENSGALG00000006995	9
ENSMUSG00000022552	15	ENSGALG00000044188	KQ759569.1
ENSMUSG00000022553	15	ENSGALG00000032777	AADN04005514.1
ENSMUSG00000022556	15	ENSGALG00000036821	AADN04000706.1
ENSMUSG00000022568	15	ENSGALG00000032790	2
ENSMUSG00000022570	15	ENSGALG00000031525	2
ENSMUSG00000022571	15	ENSGALG00000033828	2
ENSMUSG00000022574	15	ENSGALG00000038175	2
ENSMUSG00000022580	15	ENSGALG00000034337	2
ENSMUSG00000022595	15	ENSGALG00000035166	2
ENSMUSG00000022596	15	ENSGALG00000046632	2
ENSMUSG00000022598	15	ENSGALG00000045875	2
ENSMUSG00000022601	16	ENSGALG00000015334	1
ENSMUSG00000022602	15	ENSGALG00000016154	2
ENSMUSG00000022604	16	ENSGALG00000015342	1
ENSMUSG00000022607	15	ENSGALG00000031741	2
ENSMUSG00000022610	15	ENSGALG00000019384	1
ENSMUSG00000022613	15	ENSGALG00000041965	1
ENSMUSG00000022619	15	ENSGALG00000035559	AADN04011452.1
ENSMUSG00000022620	15	ENSGALG00000035824	1
ENSMUSG00000022621	15	ENSGALG00000032458	1
ENSMUSG00000022622	15	ENSGALG00000034366	1
ENSMUSG00000022623	15	ENSGALG00000033919	1
ENSMUSG00000022629	15	ENSGALG00000007098	1
ENSMUSG00000022634	15	ENSGALG00000009540	1
ENSMUSG00000022635	15	ENSGALG00000009544	1
ENSMUSG00000022636	16	ENSGALG00000015348	1
ENSMUSG00000022637	16	ENSGALG00000015351	1
ENSMUSG00000022641	16	ENSGALG00000015353	1
ENSMUSG00000022656	16	ENSGALG00000015367	1
ENSMUSG00000022658	16	ENSGALG00000015379	1
ENSMUSG00000022661	16	ENSGALG00000015396	1
ENSMUSG00000022663	16	ENSGALG00000015204	1
ENSMUSG00000022665	16	ENSGALG00000015193	1
ENSMUSG00000022668	16	ENSGALG00000015190	1
ENSMUSG00000022671	16	ENSGALG00000035749	10
ENSMUSG00000022672	16	ENSGALG00000042469	2
ENSMUSG00000022674	16	ENSGALG00000028133	2
ENSMUSG00000022677	16	ENSGALG00000006532	14
ENSMUSG00000022678	16	ENSGALG00000032590	14
ENSMUSG00000022680	16	ENSGALG00000034829	14
ENSMUSG00000022681	16	ENSGALG00000040905	14
ENSMUSG00000022682	16	ENSGALG00000041989	14
ENSMUSG00000022684	16	ENSGALG00000003111	14
ENSMUSG00000022685	16	ENSGALG00000003091	14
ENSMUSG00000022686	16	ENSGALG00000032526	9
ENSMUSG00000022687	16	ENSGALG00000015152	1
ENSMUSG00000022696	16	ENSGALG00000014812	1
ENSMUSG00000022698	16	ENSGALG00000033889	1
ENSMUSG00000022702	16	ENSGALG00000033598	15
ENSMUSG00000022704	16	ENSGALG00000037485	1
ENSMUSG00000022705	16	ENSGALG00000015117	1
ENSMUSG00000022706	16	ENSGALG00000001587	15
ENSMUSG00000022707	16	ENSGALG00000042771	1
ENSMUSG00000022708	16	ENSGALG00000015094	1
ENSMUSG00000022710	16	ENSGALG00000007307	14
ENSMUSG00000022711	16	ENSGALG00000007326	14
ENSMUSG00000022715	16	ENSGALG00000039005	14
ENSMUSG00000022718	16	ENSGALG00000033126	15
ENSMUSG00000022721	16	ENSGALG00000002094	15
ENSMUSG00000022722	16	ENSGALG00000019215	1
ENSMUSG00000022723	16	ENSGALG00000024077	1
ENSMUSG00000022724	16	ENSGALG00000039302	1
ENSMUSG00000022738	16	ENSGALG00000044245	15
ENSMUSG00000022742	16	ENSGALG00000015240	1
ENSMUSG00000022744	16	ENSGALG00000039538	1
ENSMUSG00000022747	16	ENSGALG00000015252	1
ENSMUSG00000022748	16	ENSGALG00000015267	1
ENSMUSG00000022749	16	ENSGALG00000015273	1
ENSMUSG00000022750	16	ENSGALG00000006422	15
ENSMUSG00000022751	16	ENSGALG00000015275	1
ENSMUSG00000022752	16	ENSGALG00000015285	1
ENSMUSG00000022753	16	ENSGALG00000015263	1
ENSMUSG00000022755	16	ENSGALG00000015294	1
ENSMUSG00000022756	16	ENSGALG00000002204	15
ENSMUSG00000022757	16	ENSGALG00000015299	1
ENSMUSG00000022758	16	ENSGALG00000026902	15
ENSMUSG00000022759	16	ENSGALG00000028023	15
ENSMUSG00000022760	16	ENSGALG00000036459	AADN04001138.1
ENSMUSG00000022761	16	ENSGALG00000031175	26
ENSMUSG00000022762	16	ENSGALG00000015737	1
ENSMUSG00000022763	16	ENSGALG00000007720	15
ENSMUSG00000022765	16	ENSGALG00000040128	15
ENSMUSG00000022766	16	ENSGALG00000039239	15
ENSMUSG00000022769	16	ENSGALG00000031982	15
ENSMUSG00000022770	16	ENSGALG00000006908	9
ENSMUSG00000022771	16	ENSGALG00000042052	15
ENSMUSG00000022772	16	ENSGALG00000008545	9
ENSMUSG00000022774	16	ENSGALG00000006843	9
ENSMUSG00000022779	16	ENSGALG00000030051	15
ENSMUSG00000022780	16	ENSGALG00000006855	9
ENSMUSG00000022781	16	ENSGALG00000006426	9
ENSMUSG00000022787	16	ENSGALG00000006395	9
ENSMUSG00000022788	16	ENSGALG00000012932	1
ENSMUSG00000022789	16	ENSGALG00000012929	1
ENSMUSG00000022790	16	ENSGALG00000015084	1
ENSMUSG00000022791	16	ENSGALG00000027983	9
ENSMUSG00000022792	16	ENSGALG00000012919	1
ENSMUSG00000022793	16	ENSGALG00000015069	1
ENSMUSG00000022797	16	ENSGALG00000007485	9
ENSMUSG00000022798	16	ENSGALG00000019240	1
ENSMUSG00000022799	16	ENSGALG00000015077	1
ENSMUSG00000022800	16	ENSGALG00000007581	9
ENSMUSG00000022801	16	ENSGALG00000007595	9
ENSMUSG00000022802	16	ENSGALG00000012067	7
ENSMUSG00000022803	16	ENSGALG00000014988	1
ENSMUSG00000022805	16	ENSGALG00000014980	1
ENSMUSG00000022807	16	ENSGALG00000012059	7
ENSMUSG00000022808	16	ENSGALG00000012052	7
ENSMUSG00000022811	16	ENSGALG00000012049	7
ENSMUSG00000022812	16	ENSGALG00000014977	1
ENSMUSG00000022814	16	ENSGALG00000011770	7
ENSMUSG00000022816	16	ENSGALG00000014970	1
ENSMUSG00000022817	16	ENSGALG00000029766	7
ENSMUSG00000022820	16	ENSGALG00000027688	1
ENSMUSG00000022821	16	ENSGALG00000014966	1
ENSMUSG00000022822	16	ENSGALG00000008369	9
ENSMUSG00000022827	16	ENSGALG00000014949	1
ENSMUSG00000022828	16	ENSGALG00000042320	1
ENSMUSG00000022831	16	ENSGALG00000039682	1
ENSMUSG00000022833	16	ENSGALG00000044814	7
ENSMUSG00000022836	16	ENSGALG00000011708	7
ENSMUSG00000022837	16	ENSGALG00000011655	7
ENSMUSG00000022838	16	ENSGALG00000011657	7
