Human	ChrHuman	Platypus	ChrPlatypus
ENSG00000101577	18	ENSOANG00000008912	Ultra22
ENSG00000101596	18	ENSOANG00000028285	Contig16165
ENSG00000101638	18	ENSOANG00000014835	3
ENSG00000101680	18	ENSOANG00000000432	Ultra138
ENSG00000101745	18	ENSOANG00000012877	Ultra495
ENSG00000101746	18	ENSOANG00000005609	7
ENSG00000101751	18	ENSOANG00000001796	3
ENSG00000101752	18	ENSOANG00000004636	7
ENSG00000101782	18	ENSOANG00000012074	Contig13871
ENSG00000101825	X	ENSOANG00000004044	Ultra462
ENSG00000101844	X	ENSOANG00000009658	Ultra597
ENSG00000101846	X	ENSOANG00000004049	Ultra462
ENSG00000101856	X	ENSOANG00000011657	6
ENSG00000101871	X	ENSOANG00000002628	Ultra462
ENSG00000101892	X	ENSOANG00000002581	Ultra390
ENSG00000101911	X	ENSOANG00000002617	Ultra462
ENSG00000101928	X	ENSOANG00000011685	6
ENSG00000101938	X	ENSOANG00000002407	6
ENSG00000101940	X	ENSOANG00000006932	Contig45310
ENSG00000101955	X	ENSOANG00000007116	Ultra222
ENSG00000101958	X	ENSOANG00000002603	Ultra462
ENSG00000101972	X	ENSOANG00000004050	Ultra390
ENSG00000101977	X	ENSOANG00000011658	6
ENSG00000101981	X	ENSOANG00000011661	6
ENSG00000101997	X	ENSOANG00000013583	Ultra295
ENSG00000102001	X	ENSOANG00000013580	Ultra295
ENSG00000102007	X	ENSOANG00000013578	Ultra295
ENSG00000102010	X	ENSOANG00000002579	Ultra462
ENSG00000102024	X	ENSOANG00000007227	Contig11890
ENSG00000102032	X	ENSOANG00000002892	Contig19493
ENSG00000102034	X	ENSOANG00000020235	Contig18206
ENSG00000102038	X	ENSOANG00000002862	6
ENSG00000102048	X	ENSOANG00000002597	Ultra462
ENSG00000102053	X	ENSOANG00000008267	Contig22929
ENSG00000102054	X	ENSOANG00000003884	Ultra462
ENSG00000102057	X	ENSOANG00000013573	Ultra295
ENSG00000102078	X	ENSOANG00000015384	Contig46202
ENSG00000102081	X	ENSOANG00000001097	6
ENSG00000102100	X	ENSOANG00000011373	Contig26534
ENSG00000102103	X	ENSOANG00000031396	Contig26534
ENSG00000102104	X	ENSOANG00000005828	Contig7714
ENSG00000102119	X	ENSOANG00000011017	Ultra401
ENSG00000102125	X	ENSOANG00000012765	Contig7533
ENSG00000102172	X	ENSOANG00000010654	Ultra462
ENSG00000102174	X	ENSOANG00000010653	Ultra462
ENSG00000102181	X	ENSOANG00000011636	6
ENSG00000102189	12	ENSOANG00000006628	Ultra443
ENSG00000102218	X	ENSOANG00000009198	Contig11743
ENSG00000102225	X	ENSOANG00000003108	Contig10577
ENSG00000102226	X	ENSOANG00000003109	Contig10577
ENSG00000102239	X	ENSOANG00000011675	6
ENSG00000102241	X	ENSOANG00000011674	6
ENSG00000102243	X	ENSOANG00000011673	6
ENSG00000102245	X	ENSOANG00000011672	6
ENSG00000102265	X	ENSOANG00000005238	Contig20209
ENSG00000102271	X	ENSOANG00000008969	Contig718
ENSG00000102302	X	ENSOANG00000000703	Ultra403
ENSG00000102309	X	ENSOANG00000014709	Ultra369
ENSG00000102312	X	ENSOANG00000005775	Contig12795
ENSG00000102313	X	ENSOANG00000000695	Ultra403
ENSG00000102317	X	ENSOANG00000012483	Contig9187
ENSG00000102349	X	ENSOANG00000001989	Ultra429
ENSG00000102359	X	ENSOANG00000004207	Ultra519
ENSG00000102384	X	ENSOANG00000004215	Ultra519
ENSG00000102385	X	ENSOANG00000004217	Ultra519
ENSG00000102390	X	ENSOANG00000013333	Contig4456
ENSG00000102393	X	ENSOANG00000004227	Ultra519
ENSG00000102445	13	ENSOANG00000015572	Ultra336
ENSG00000102452	13	ENSOANG00000011307	Ultra284
ENSG00000102466	13	ENSOANG00000031066	Ultra284
ENSG00000102468	13	ENSOANG00000015564	Ultra336
ENSG00000102471	13	ENSOANG00000029384	Ultra283
ENSG00000102524	13	ENSOANG00000015596	Ultra336
ENSG00000102531	13	ENSOANG00000015550	Ultra336
ENSG00000102543	13	ENSOANG00000015548	Ultra336
ENSG00000102547	13	ENSOANG00000015547	Ultra336
ENSG00000102554	13	ENSOANG00000009313	Contig4682
ENSG00000102572	13	ENSOANG00000005462	10
ENSG00000102575	19	ENSOANG00000013181	Ultra377
ENSG00000102606	13	ENSOANG00000015625	Ultra336
ENSG00000102678	13	ENSOANG00000009032	Contig59
ENSG00000102683	13	ENSOANG00000009039	Contig59
ENSG00000102710	13	ENSOANG00000015502	Ultra336
ENSG00000102738	13	ENSOANG00000015515	Ultra336
ENSG00000102753	13	ENSOANG00000015542	Ultra336
ENSG00000102755	13	ENSOANG00000009071	Contig59
ENSG00000102760	13	ENSOANG00000004628	20
ENSG00000102763	13	ENSOANG00000004629	20
ENSG00000102780	13	ENSOANG00000004633	20
ENSG00000102781	13	ENSOANG00000014718	Ultra336
ENSG00000102786	13	ENSOANG00000015531	Ultra336
ENSG00000102794	13	ENSOANG00000009555	Contig8072
ENSG00000102796	13	ENSOANG00000004504	Contig12543
ENSG00000102802	13	ENSOANG00000015471	Ultra336
ENSG00000102804	13	ENSOANG00000015593	Ultra336
ENSG00000102837	13	ENSOANG00000003540	Ultra294
ENSG00000102858	16	ENSOANG00000000423	Contig2045
ENSG00000102870	16	ENSOANG00000009748	Contig4354
ENSG00000102878	16	ENSOANG00000002419	Contig15375
ENSG00000102879	16	ENSOANG00000005243	Contig16163
ENSG00000102886	16	ENSOANG00000005893	Contig14873
ENSG00000102890	16	ENSOANG00000015197	X1
ENSG00000102891	16	ENSOANG00000000565	Ultra517
ENSG00000102893	16	ENSOANG00000002156	11
ENSG00000102897	16	ENSOANG00000014289	2
ENSG00000102898	16	ENSOANG00000010392	Contig10834
ENSG00000102900	16	ENSOANG00000013754	Ultra517
ENSG00000102901	16	ENSOANG00000005197	Contig3737
ENSG00000102908	16	ENSOANG00000002367	11
ENSG00000102921	16	ENSOANG00000000582	Ultra380
ENSG00000102924	16	ENSOANG00000000583	Ultra380
ENSG00000102934	16	ENSOANG00000013745	Ultra517
ENSG00000102935	16	ENSOANG00000000584	Ultra380
ENSG00000102962	16	ENSOANG00000013744	Ultra517
ENSG00000102967	16	ENSOANG00000006391	Ultra674
ENSG00000102970	16	ENSOANG00000020488	Ultra517
ENSG00000102974	16	ENSOANG00000004762	Contig28397
ENSG00000102977	16	ENSOANG00000029723	Contig26570
ENSG00000102978	16	ENSOANG00000009337	Ultra517
ENSG00000102981	16	ENSOANG00000004480	Contig28926
ENSG00000102984	16	ENSOANG00000008189	11
ENSG00000102996	16	ENSOANG00000012117	Ultra55
ENSG00000103005	16	ENSOANG00000012118	Ultra55
ENSG00000103018	16	ENSOANG00000002366	11
ENSG00000103021	16	ENSOANG00000012114	Ultra55
ENSG00000103023	16	ENSOANG00000012113	Ultra55
ENSG00000103024	16	ENSOANG00000031058	Contig379
ENSG00000103034	16	ENSOANG00000012111	Ultra55
ENSG00000103037	16	ENSOANG00000012110	Ultra55
ENSG00000103042	16	ENSOANG00000012107	Ultra55
ENSG00000103043	16	ENSOANG00000001165	Ultra55
ENSG00000103044	16	ENSOANG00000002358	11
ENSG00000103047	16	ENSOANG00000002357	11
ENSG00000103051	16	ENSOANG00000001160	Ultra55
ENSG00000103056	16	ENSOANG00000010981	X1
ENSG00000103061	16	ENSOANG00000022474	Contig75748
ENSG00000103064	16	ENSOANG00000010975	X1
ENSG00000103066	16	ENSOANG00000010974	X1
ENSG00000103067	16	ENSOANG00000010972	X1
ENSG00000103089	16	ENSOANG00000012891	Contig1296
ENSG00000103091	16	ENSOANG00000012892	Contig1296
ENSG00000103111	16	ENSOANG00000014596	Contig765
ENSG00000103126	16	ENSOANG00000000859	Contig12130
ENSG00000103145	16	ENSOANG00000029081	Contig1411
ENSG00000103148	16	ENSOANG00000011372	Contig20549
ENSG00000103154	16	ENSOANG00000013780	X1
ENSG00000103160	16	ENSOANG00000011393	X5
ENSG00000103168	16	ENSOANG00000031158	2
ENSG00000103175	16	ENSOANG00000011339	Ultra521
ENSG00000103187	16	ENSOANG00000011343	Ultra521
ENSG00000103194	16	ENSOANG00000011345	Ultra521
ENSG00000103196	16	ENSOANG00000011346	Ultra521
ENSG00000103199	16	ENSOANG00000002158	Ultra521
ENSG00000103227	16	ENSOANG00000013038	Contig6626
ENSG00000103241	16	ENSOANG00000007633	Contig110399
ENSG00000103245	16	ENSOANG00000013720	Contig15437
ENSG00000103248	16	ENSOANG00000003740	Ultra78
ENSG00000103249	16	ENSOANG00000002751	Contig4551
ENSG00000103254	16	ENSOANG00000011167	Contig12205
ENSG00000103257	16	ENSOANG00000003735	Ultra78
ENSG00000103260	16	ENSOANG00000001851	Contig46499
ENSG00000103269	16	ENSOANG00000012430	Contig27463
ENSG00000103274	16	ENSOANG00000002157	Contig14914
ENSG00000103275	16	ENSOANG00000030611	Contig26772
ENSG00000103316	16	ENSOANG00000006874	Contig3795
ENSG00000103319	16	ENSOANG00000003263	Ultra371
ENSG00000103326	16	ENSOANG00000013008	Contig20190
ENSG00000103351	16	ENSOANG00000010329	Contig4807
ENSG00000103353	16	ENSOANG00000007385	Contig4775
ENSG00000103355	16	ENSOANG00000000553	Contig21836
ENSG00000103356	16	ENSOANG00000009665	Contig10460
ENSG00000103363	16	ENSOANG00000013330	Contig17529
ENSG00000103375	16	ENSOANG00000001476	2
ENSG00000103381	16	ENSOANG00000004964	Contig1714
ENSG00000103415	16	ENSOANG00000002417	Ultra281
ENSG00000103449	16	ENSOANG00000013399	Contig65
ENSG00000103460	16	ENSOANG00000013400	Contig65
ENSG00000103479	16	ENSOANG00000013404	Contig65
ENSG00000103489	16	ENSOANG00000009533	Ultra102
ENSG00000103494	16	ENSOANG00000013406	Contig65
ENSG00000103495	16	ENSOANG00000004112	Contig17989
ENSG00000103496	16	ENSOANG00000012988	Contig17426
ENSG00000103502	16	ENSOANG00000007171	Contig5306
ENSG00000103507	16	ENSOANG00000004846	Contig22577
ENSG00000103510	16	ENSOANG00000029876	Contig71525
ENSG00000103522	16	ENSOANG00000014810	Ultra302
ENSG00000103528	16	ENSOANG00000014403	Contig42246
ENSG00000103534	16	ENSOANG00000003219	2
ENSG00000103540	16	ENSOANG00000003217	2
ENSG00000103546	16	ENSOANG00000011092	Ultra380
ENSG00000103549	16	ENSOANG00000009749	Contig4354
ENSG00000103569	15	ENSOANG00000013908	Contig66653
ENSG00000103591	15	ENSOANG00000013557	Contig102
ENSG00000103599	15	ENSOANG00000020145	Contig102
ENSG00000103642	15	ENSOANG00000014411	Contig4569
ENSG00000103647	15	ENSOANG00000013538	Contig102
ENSG00000103653	15	ENSOANG00000019817	Contig13343
ENSG00000103657	15	ENSOANG00000011146	Contig362
ENSG00000103671	15	ENSOANG00000013357	Ultra122
ENSG00000103710	15	ENSOANG00000002563	Contig4867
ENSG00000103723	15	ENSOANG00000013362	Ultra122
ENSG00000103740	15	ENSOANG00000005966	Contig13806
ENSG00000103742	15	ENSOANG00000011112	Contig7356
ENSG00000103769	15	ENSOANG00000002201	Contig11685
ENSG00000103852	15	ENSOANG00000000140	5
ENSG00000103855	15	ENSOANG00000020480	Ultra321
ENSG00000103876	15	ENSOANG00000030692	Contig16456
ENSG00000103888	15	ENSOANG00000028293	Contig23842
ENSG00000103932	15	ENSOANG00000032166	Contig84465
ENSG00000103942	15	ENSOANG00000006062	Contig11711
ENSG00000103966	15	ENSOANG00000001975	Contig2594
ENSG00000103995	15	ENSOANG00000012940	Ultra375
ENSG00000104044	15	ENSOANG00000031000	Contig26430
ENSG00000104047	15	ENSOANG00000010180	Contig23496
ENSG00000104059	15	ENSOANG00000010371	5
ENSG00000104064	15	ENSOANG00000006878	2
ENSG00000104067	15	ENSOANG00000006832	5
ENSG00000104093	15	ENSOANG00000011034	Contig6084
ENSG00000104112	15	ENSOANG00000032263	Contig34772
ENSG00000104129	15	ENSOANG00000011954	Contig26706
ENSG00000104131	15	ENSOANG00000007805	Contig8536
ENSG00000104140	15	ENSOANG00000009308	Contig6878
ENSG00000104142	15	ENSOANG00000001057	Contig25573
ENSG00000104147	15	ENSOANG00000032189	Contig1456
ENSG00000104154	15	ENSOANG00000022687	Contig6908
ENSG00000104164	15	ENSOANG00000009314	Contig9586
ENSG00000104177	15	ENSOANG00000007375	Contig7196
ENSG00000104213	8	ENSOANG00000005839	Ultra469
ENSG00000104218	8	ENSOANG00000002320	7
ENSG00000104219	8	ENSOANG00000010383	Ultra469
ENSG00000104221	8	ENSOANG00000009718	Contig16693
ENSG00000104231	8	ENSOANG00000004561	Contig3343
ENSG00000104267	8	ENSOANG00000002036	Ultra39
ENSG00000104290	8	ENSOANG00000006312	Contig6426
ENSG00000104299	8	ENSOANG00000010536	Contig4381
ENSG00000104313	8	ENSOANG00000013122	Contig3237
ENSG00000104321	8	ENSOANG00000013522	Contig1416
ENSG00000104325	8	ENSOANG00000011997	Contig773
ENSG00000104327	8	ENSOANG00000011998	Contig773
ENSG00000104331	8	ENSOANG00000005030	7
ENSG00000104332	8	ENSOANG00000002807	Contig131292
ENSG00000104341	8	ENSOANG00000003683	4
ENSG00000104361	8	ENSOANG00000021990	Contig881
ENSG00000104365	8	ENSOANG00000000711	5
ENSG00000104368	8	ENSOANG00000000713	5
ENSG00000104375	8	ENSOANG00000002852	Contig1477
ENSG00000104388	8	ENSOANG00000005041	7
ENSG00000104408	8	ENSOANG00000002269	Ultra658
ENSG00000104412	8	ENSOANG00000001413	Contig941
ENSG00000104413	8	ENSOANG00000004746	Ultra453
ENSG00000104415	8	ENSOANG00000010062	Contig510
ENSG00000104419	8	ENSOANG00000010060	Contig510
ENSG00000104427	8	ENSOANG00000008159	Contig9315
ENSG00000104435	8	ENSOANG00000015458	Contig19371
ENSG00000104442	8	ENSOANG00000002297	7
ENSG00000104447	8	ENSOANG00000008749	4
ENSG00000104450	8	ENSOANG00000007363	Contig10303
ENSG00000104472	8	ENSOANG00000020228	4
ENSG00000104497	8	ENSOANG00000014703	Ultra39
ENSG00000104522	8	ENSOANG00000003528	Contig341
ENSG00000104524	8	ENSOANG00000003530	Contig341
ENSG00000104529	8	ENSOANG00000003533	Contig341
ENSG00000104537	8	ENSOANG00000014084	4
ENSG00000104549	8	ENSOANG00000014091	4
ENSG00000104611	8	ENSOANG00000005363	5
ENSG00000104626	8	ENSOANG00000008566	Ultra173
ENSG00000104660	8	ENSOANG00000011277	Contig11008
ENSG00000104671	8	ENSOANG00000004843	Contig8443
ENSG00000104679	8	ENSOANG00000013877	5
ENSG00000104687	8	ENSOANG00000015020	Contig3409
ENSG00000104691	8	ENSOANG00000020601	Ultra646
ENSG00000104695	8	ENSOANG00000020600	Ultra646
ENSG00000104714	8	ENSOANG00000004692	Ultra101
ENSG00000104722	8	ENSOANG00000009795	Ultra478
ENSG00000104723	8	ENSOANG00000015005	Ultra442
ENSG00000104728	8	ENSOANG00000014123	X1
ENSG00000104731	16	ENSOANG00000003737	Ultra78
ENSG00000104738	8	ENSOANG00000007265	7
ENSG00000104755	8	ENSOANG00000000291	Contig2140
ENSG00000104756	8	ENSOANG00000000499	Ultra478
ENSG00000104760	8	ENSOANG00000003613	Contig13607
ENSG00000104765	8	ENSOANG00000012138	Contig10346
ENSG00000104783	19	ENSOANG00000008394	Contig12147
ENSG00000104804	19	ENSOANG00000031710	Contig15921
ENSG00000104805	19	ENSOANG00000003466	Contig15921
ENSG00000104812	19	ENSOANG00000004219	Contig17658
ENSG00000104814	19	ENSOANG00000000504	Contig18558
ENSG00000104823	19	ENSOANG00000029158	Contig17010
ENSG00000104848	19	ENSOANG00000005212	Contig16147
ENSG00000104852	19	ENSOANG00000005213	Contig16147
ENSG00000104853	19	ENSOANG00000022258	Contig52251
ENSG00000104863	19	ENSOANG00000031509	Contig47275
ENSG00000104866	19	ENSOANG00000021099	Contig16318
ENSG00000104872	19	ENSOANG00000029776	Contig25497
ENSG00000104879	19	ENSOANG00000002456	Contig22603
ENSG00000104881	19	ENSOANG00000028379	Contig22119
ENSG00000104883	19	ENSOANG00000013450	Contig10509
ENSG00000104886	19	ENSOANG00000013647	Contig17991
ENSG00000104889	19	ENSOANG00000009079	Ultra326
ENSG00000104894	19	ENSOANG00000013934	Contig11067
ENSG00000104897	19	ENSOANG00000013649	Contig17991
ENSG00000104899	19	ENSOANG00000004254	Contig22983
ENSG00000104903	19	ENSOANG00000006846	Ultra326
ENSG00000104904	19	ENSOANG00000000654	Contig29411
ENSG00000104907	19	ENSOANG00000029270	Ultra517
ENSG00000104921	19	ENSOANG00000005196	Contig50169
ENSG00000104936	19	ENSOANG00000028407	Contig42461
ENSG00000104946	19	ENSOANG00000008011	Contig55988
ENSG00000104953	19	ENSOANG00000000343	Contig18158
ENSG00000104957	19	ENSOANG00000001226	Contig21837
ENSG00000104960	19	ENSOANG00000008283	Contig29571
ENSG00000104969	19	ENSOANG00000014638	Ultra23
ENSG00000104980	19	ENSOANG00000010261	Contig3892
ENSG00000104998	19	ENSOANG00000020529	Contig14848
ENSG00000105011	19	ENSOANG00000014441	Contig2750
ENSG00000105048	19	ENSOANG00000013442	Contig24747
ENSG00000105053	19	ENSOANG00000002721	Contig16032
ENSG00000105058	19	ENSOANG00000031621	Contig83420
ENSG00000105072	19	ENSOANG00000007244	Ultra493
ENSG00000105122	19	ENSOANG00000005135	Ultra45
ENSG00000105127	19	ENSOANG00000021207	Contig16347
ENSG00000105131	19	ENSOANG00000029866	Contig55998
ENSG00000105135	19	ENSOANG00000021375	Contig36558
ENSG00000105137	19	ENSOANG00000005967	Contig25129
ENSG00000105141	19	ENSOANG00000008689	Contig5826
ENSG00000105143	19	ENSOANG00000030256	Contig51474
ENSG00000105171	19	ENSOANG00000020512	Ultra517
ENSG00000105173	19	ENSOANG00000014148	Contig18671
ENSG00000105176	19	ENSOANG00000002990	Ultra517
ENSG00000105185	19	ENSOANG00000012723	Ultra517
ENSG00000105186	19	ENSOANG00000012724	Ultra517
ENSG00000105193	19	ENSOANG00000001526	Contig23177
ENSG00000105204	19	ENSOANG00000004146	Contig21466
ENSG00000105220	19	ENSOANG00000009577	Ultra517
ENSG00000105221	19	ENSOANG00000007836	Contig37142
ENSG00000105223	19	ENSOANG00000004288	Contig5287
ENSG00000105227	19	ENSOANG00000001134	Contig13856
ENSG00000105229	19	ENSOANG00000006291	Ultra355
ENSG00000105245	19	ENSOANG00000031379	Contig72804
ENSG00000105246	19	ENSOANG00000028577	Contig23983
ENSG00000105248	19	ENSOANG00000008914	Contig17653
ENSG00000105251	19	ENSOANG00000014374	Contig22382
ENSG00000105254	19	ENSOANG00000005558	Contig10246
ENSG00000105255	19	ENSOANG00000006431	Contig13446
ENSG00000105270	19	ENSOANG00000021460	Contig30804
ENSG00000105278	19	ENSOANG00000010675	Contig8323
ENSG00000105281	19	ENSOANG00000003305	Contig123042
ENSG00000105287	19	ENSOANG00000009549	Contig13566
ENSG00000105289	19	ENSOANG00000006294	Ultra355
ENSG00000105290	19	ENSOANG00000003279	Contig32744
ENSG00000105298	19	ENSOANG00000006296	Ultra355
ENSG00000105323	19	ENSOANG00000011111	Contig20849
ENSG00000105325	19	ENSOANG00000030591	Contig34673
ENSG00000105339	8	ENSOANG00000007128	4
ENSG00000105364	19	ENSOANG00000013891	Contig13878
ENSG00000105370	19	ENSOANG00000002797	Contig17654
ENSG00000105372	19	ENSOANG00000013660	4
ENSG00000105373	19	ENSOANG00000031538	Contig34739
ENSG00000105379	19	ENSOANG00000002025	Contig26077
ENSG00000105401	19	ENSOANG00000013393	Contig20777
ENSG00000105404	19	ENSOANG00000022764	Contig36050
ENSG00000105409	19	ENSOANG00000000270	Contig15740
ENSG00000105427	19	ENSOANG00000004593	Contig28526
ENSG00000105428	19	ENSOANG00000014150	Contig16199
ENSG00000105438	19	ENSOANG00000029922	Contig69287
ENSG00000105447	19	ENSOANG00000007172	Contig64600
ENSG00000105464	19	ENSOANG00000029663	Contig48277
ENSG00000105472	19	ENSOANG00000003921	Contig16572
ENSG00000105507	19	ENSOANG00000002676	Contig1965
ENSG00000105509	19	ENSOANG00000010144	Contig20140
ENSG00000105514	19	ENSOANG00000029262	Contig23598
ENSG00000105516	19	ENSOANG00000002210	Contig42680
ENSG00000105518	19	ENSOANG00000007322	Contig31182
ENSG00000105519	19	ENSOANG00000004951	Ultra497
ENSG00000105520	19	ENSOANG00000001945	Contig10993
ENSG00000105523	19	ENSOANG00000012773	Contig19273
ENSG00000105538	19	ENSOANG00000010022	Contig10400
ENSG00000105549	19	ENSOANG00000022448	Contig32360
ENSG00000105552	19	ENSOANG00000012856	Contig23756
ENSG00000105568	19	ENSOANG00000010770	Contig29254
ENSG00000105576	19	ENSOANG00000010051	Contig11571
ENSG00000105583	19	ENSOANG00000013178	Ultra377
ENSG00000105605	19	ENSOANG00000030018	Contig10763
ENSG00000105607	19	ENSOANG00000009077	Ultra326
ENSG00000105612	19	ENSOANG00000007093	Contig20697
ENSG00000105613	19	ENSOANG00000009787	Contig9621
ENSG00000105618	19	ENSOANG00000009386	Contig19217
ENSG00000105619	19	ENSOANG00000009387	Contig19217
ENSG00000105639	19	ENSOANG00000005345	Contig10040
ENSG00000105640	19	ENSOANG00000009129	Ultra659
ENSG00000105641	19	ENSOANG00000014391	Ultra346
ENSG00000105642	19	ENSOANG00000015602	Ultra336
ENSG00000105643	19	ENSOANG00000013069	Contig14981
ENSG00000105649	19	ENSOANG00000001291	Contig1189
ENSG00000105655	19	ENSOANG00000031278	Contig32960
ENSG00000105656	19	ENSOANG00000031962	Contig19693
ENSG00000105662	19	ENSOANG00000004567	Ultra49
ENSG00000105664	19	ENSOANG00000002729	Contig13761
ENSG00000105668	19	ENSOANG00000030164	Contig45085
ENSG00000105669	19	ENSOANG00000004571	Ultra49
ENSG00000105671	19	ENSOANG00000029759	Contig30855
ENSG00000105672	19	ENSOANG00000029214	Contig8416
ENSG00000105676	19	ENSOANG00000031855	Contig25650
ENSG00000105679	19	ENSOANG00000008109	Contig24312
ENSG00000105696	19	ENSOANG00000005748	Ultra49
ENSG00000105699	19	ENSOANG00000028509	Contig41972
ENSG00000105700	19	ENSOANG00000009623	Ultra49
ENSG00000105705	19	ENSOANG00000007136	Ultra21
ENSG00000105726	19	ENSOANG00000014224	Contig14640
ENSG00000105737	19	ENSOANG00000012545	Contig7481
ENSG00000105738	19	ENSOANG00000003414	Contig13689
ENSG00000105767	19	ENSOANG00000011306	Contig47723
ENSG00000105771	19	ENSOANG00000028605	Contig12147
ENSG00000105784	7	ENSOANG00000004419	15
ENSG00000105810	7	ENSOANG00000012122	Contig1087
ENSG00000105821	7	ENSOANG00000015052	Ultra5
ENSG00000105825	7	ENSOANG00000007297	Contig39003
ENSG00000105835	7	ENSOANG00000003168	Ultra5
ENSG00000105849	7	ENSOANG00000009616	Ultra65
ENSG00000105851	7	ENSOANG00000003171	Ultra5
ENSG00000105855	7	ENSOANG00000007511	Contig4112
ENSG00000105856	7	ENSOANG00000003174	Ultra5
ENSG00000105865	7	ENSOANG00000003179	Ultra5
ENSG00000105866	7	ENSOANG00000029507	Ultra65
ENSG00000105875	7	ENSOANG00000005003	10
ENSG00000105877	7	ENSOANG00000011810	Ultra65
ENSG00000105880	7	ENSOANG00000022114	Contig9144
ENSG00000105887	7	ENSOANG00000022627	Contig41314
ENSG00000105894	7	ENSOANG00000005016	10
ENSG00000105926	7	ENSOANG00000008427	Ultra231
ENSG00000105928	7	ENSOANG00000008431	Ultra231
ENSG00000105929	7	ENSOANG00000000430	Contig14296
ENSG00000105948	7	ENSOANG00000005994	Contig7928
ENSG00000105954	7	ENSOANG00000031573	Ultra231
ENSG00000105963	7	ENSOANG00000021116	Ultra154
ENSG00000105967	7	ENSOANG00000014094	Ultra479
ENSG00000105968	7	ENSOANG00000009378	Contig2998
ENSG00000105971	7	ENSOANG00000005889	Contig8921
ENSG00000105976	7	ENSOANG00000015031	Ultra479
ENSG00000105982	7	ENSOANG00000006144	Ultra274
ENSG00000105983	7	ENSOANG00000006141	Ultra274
ENSG00000105989	7	ENSOANG00000008766	Ultra479
ENSG00000105991	7	ENSOANG00000009163	Ultra231
ENSG00000105996	7	ENSOANG00000009164	Ultra231
ENSG00000106003	7	ENSOANG00000004317	2
ENSG00000106004	7	ENSOANG00000009167	Ultra231
ENSG00000106006	7	ENSOANG00000009168	Ultra231
ENSG00000106009	7	ENSOANG00000004324	2
ENSG00000106012	7	ENSOANG00000004322	2
ENSG00000106018	7	ENSOANG00000006114	Ultra274
ENSG00000106025	7	ENSOANG00000012371	Ultra479
ENSG00000106028	7	ENSOANG00000014444	Ultra693
ENSG00000106031	7	ENSOANG00000009173	Ultra231
ENSG00000106034	7	ENSOANG00000005654	Ultra479
ENSG00000106038	7	ENSOANG00000009174	Ultra231
ENSG00000106049	7	ENSOANG00000009175	Ultra231
ENSG00000106052	7	ENSOANG00000009176	Ultra231
ENSG00000106066	7	ENSOANG00000009179	Ultra231
ENSG00000106069	7	ENSOANG00000009180	Ultra231
ENSG00000106070	7	ENSOANG00000000283	4
ENSG00000106077	7	ENSOANG00000013083	Ultra42
ENSG00000106078	7	ENSOANG00000000282	4
ENSG00000106080	7	ENSOANG00000010833	Ultra231
ENSG00000106086	7	ENSOANG00000010831	Ultra231
ENSG00000106100	7	ENSOANG00000010829	Ultra231
ENSG00000106105	7	ENSOANG00000006262	Contig6305
ENSG00000106113	7	ENSOANG00000008095	Contig14658
ENSG00000106123	7	ENSOANG00000012537	Contig15968
ENSG00000106125	7	ENSOANG00000011753	Contig7971
ENSG00000106144	7	ENSOANG00000003502	Ultra450
ENSG00000106153	7	ENSOANG00000010441	Contig8068
ENSG00000106236	7	ENSOANG00000001934	2
ENSG00000106244	7	ENSOANG00000007726	2
ENSG00000106245	7	ENSOANG00000007727	2
ENSG00000106263	7	ENSOANG00000004314	2
ENSG00000106266	7	ENSOANG00000004312	2
ENSG00000106278	7	ENSOANG00000004821	10
ENSG00000106290	7	ENSOANG00000011975	Contig10518
ENSG00000106299	7	ENSOANG00000004830	10
ENSG00000106302	7	ENSOANG00000000409	10
ENSG00000106304	7	ENSOANG00000000407	10
ENSG00000106305	7	ENSOANG00000002794	Ultra371
ENSG00000106328	7	ENSOANG00000000820	10
ENSG00000106331	7	ENSOANG00000000819	10
ENSG00000106341	7	ENSOANG00000011607	Contig379
ENSG00000106346	7	ENSOANG00000003278	Ultra371
ENSG00000106348	7	ENSOANG00000000814	10
ENSG00000106351	7	ENSOANG00000030720	Contig19985
ENSG00000106355	7	ENSOANG00000014540	Contig57559
ENSG00000106366	7	ENSOANG00000005170	Contig22436
ENSG00000106367	7	ENSOANG00000013825	Contig244787
ENSG00000106384	7	ENSOANG00000013413	Contig21992
ENSG00000106392	7	ENSOANG00000009840	Contig11229
ENSG00000106397	7	ENSOANG00000009832	Contig10050
ENSG00000106400	7	ENSOANG00000029581	Contig10050
ENSG00000106404	7	ENSOANG00000007838	Contig23017
ENSG00000106410	7	ENSOANG00000007774	Contig29016
ENSG00000106459	7	ENSOANG00000011458	10
ENSG00000106460	7	ENSOANG00000010645	Ultra80
ENSG00000106462	7	ENSOANG00000000279	4
ENSG00000106477	7	ENSOANG00000011470	10
ENSG00000106479	7	ENSOANG00000005972	Contig3654
ENSG00000106483	7	ENSOANG00000011609	Contig379
ENSG00000106484	7	ENSOANG00000011469	10
ENSG00000106511	7	ENSOANG00000004095	Ultra527
ENSG00000106524	7	ENSOANG00000012340	Ultra65
ENSG00000106536	7	ENSOANG00000003587	Ultra117
ENSG00000106537	7	ENSOANG00000013497	Contig3011
ENSG00000106541	7	ENSOANG00000013496	Contig3011
ENSG00000106554	7	ENSOANG00000011478	10
ENSG00000106571	7	ENSOANG00000011898	Contig2309
