Human	ChrHuman	Chicken	ChrChicken
ENSG00000105887	7	ENSGALG00000041619	1
ENSG00000105894	7	ENSGALG00000040493	1
ENSG00000105926	7	ENSGALG00000010988	2
ENSG00000105928	7	ENSGALG00000010997	2
ENSG00000105929	7	ENSGALG00000040666	1
ENSG00000105948	7	ENSGALG00000011847	1
ENSG00000105953	7	ENSGALG00000014155	22
ENSG00000105954	7	ENSGALG00000011022	2
ENSG00000105963	7	ENSGALG00000003819	14
ENSG00000105967	7	ENSGALG00000040557	1
ENSG00000105971	7	ENSGALG00000033295	1
ENSG00000105974	7	ENSGALG00000043287	1
ENSG00000105976	7	ENSGALG00000036883	1
ENSG00000105982	7	ENSGALG00000006387	2
ENSG00000105983	7	ENSGALG00000030379	2
ENSG00000105989	7	ENSGALG00000030173	1
ENSG00000106004	7	ENSGALG00000025929	2
ENSG00000106006	7	ENSGALG00000028908	2
ENSG00000106012	7	ENSGALG00000004329	14
ENSG00000106018	7	ENSGALG00000006575	2
ENSG00000106025	7	ENSGALG00000009029	1
ENSG00000106028	7	ENSGALG00000012876	1
ENSG00000106031	7	ENSGALG00000027234	2
ENSG00000106038	7	ENSGALG00000037310	2
ENSG00000106049	7	ENSGALG00000033207	2
ENSG00000106052	7	ENSGALG00000042822	2
ENSG00000106069	7	ENSGALG00000011164	2
ENSG00000106070	7	ENSGALG00000013100	2
ENSG00000106077	7	ENSGALG00000001056	19
ENSG00000106078	7	ENSGALG00000013102	2
ENSG00000106080	7	ENSGALG00000011181	2
ENSG00000106086	7	ENSGALG00000011185	2
ENSG00000106089	7	ENSGALG00000041722	19
ENSG00000106100	7	ENSGALG00000036807	2
ENSG00000106105	7	ENSGALG00000005694	2
ENSG00000106113	7	ENSGALG00000005657	2
ENSG00000106123	7	ENSGALG00000014749	1
ENSG00000106125	7	ENSGALG00000005188	2
ENSG00000106128	7	ENSGALG00000005212	2
ENSG00000106144	7	ENSGALG00000014698	1
ENSG00000106153	7	ENSGALG00000002495	19
ENSG00000106211	7	ENSGALG00000001926	19
ENSG00000106236	7	ENSGALG00000003562	14
ENSG00000106244	7	ENSGALG00000036552	14
ENSG00000106245	7	ENSGALG00000004705	14
ENSG00000106263	7	ENSGALG00000040999	14
ENSG00000106266	7	ENSGALG00000004255	14
ENSG00000106268	7	ENSGALG00000004245	14
ENSG00000106278	7	ENSGALG00000040114	1
ENSG00000106304	7	ENSGALG00000008761	1
ENSG00000106305	7	ENSGALG00000003400	14
ENSG00000106333	7	ENSGALG00000037835	AADN04008257.1
ENSG00000106341	7	ENSGALG00000036390	2
ENSG00000106346	7	ENSGALG00000003378	14
ENSG00000106355	7	ENSGALG00000041625	2
ENSG00000106367	7	ENSGALG00000031292	AADN04006547.1
ENSG00000106392	7	ENSGALG00000009752	2
ENSG00000106399	7	ENSGALG00000010700	2
ENSG00000106410	7	ENSGALG00000043916	1
ENSG00000106415	7	ENSGALG00000035239	2
ENSG00000106436	7	ENSGALG00000001793	19
ENSG00000106443	7	ENSGALG00000038041	2
ENSG00000106459	7	ENSGALG00000040060	1
ENSG00000106460	7	ENSGALG00000035140	2
ENSG00000106462	7	ENSGALG00000043399	2
ENSG00000106477	7	ENSGALG00000008103	1
ENSG00000106479	7	ENSGALG00000031393	Z
ENSG00000106483	7	ENSGALG00000031997	2
ENSG00000106484	7	ENSGALG00000008111	1
ENSG00000106511	7	ENSGALG00000010794	2
ENSG00000106524	7	ENSGALG00000010804	2
ENSG00000106536	7	ENSGALG00000031713	2
ENSG00000106537	7	ENSGALG00000027240	2
ENSG00000106541	7	ENSGALG00000010825	2
ENSG00000106554	7	ENSGALG00000006489	1
ENSG00000106571	7	ENSGALG00000040266	2
ENSG00000106591	7	ENSGALG00000037258	2
ENSG00000106603	7	ENSGALG00000039725	2
ENSG00000106605	7	ENSGALG00000031786	2
ENSG00000106609	7	ENSGALG00000033954	19
ENSG00000106615	7	ENSGALG00000039880	2
ENSG00000106617	7	ENSGALG00000006219	2
ENSG00000106624	7	ENSGALG00000041834	22
ENSG00000106635	7	ENSGALG00000036647	19
ENSG00000106638	7	ENSGALG00000031263	19
ENSG00000106665	7	ENSGALG00000030450	19
ENSG00000106682	7	ENSGALG00000001313	19
ENSG00000106683	7	ENSGALG00000001076	19
ENSG00000106688	9	ENSGALG00000010187	Z
ENSG00000106689	9	ENSGALG00000001124	17
ENSG00000106692	9	ENSGALG00000015443	Z
ENSG00000106701	9	ENSGALG00000015442	Z
ENSG00000106733	9	ENSGALG00000015156	Z
ENSG00000106771	9	ENSGALG00000013138	2
ENSG00000106772	9	ENSGALG00000015167	Z
ENSG00000106785	9	ENSGALG00000015315	Z
ENSG00000106789	9	ENSGALG00000001933	Z
ENSG00000106799	9	ENSGALG00000033179	2
ENSG00000106803	9	ENSGALG00000013569	2
ENSG00000106804	9	ENSGALG00000001565	17
ENSG00000106809	9	ENSGALG00000026736	12
ENSG00000106819	9	ENSGALG00000004722	12
ENSG00000106823	9	ENSGALG00000004695	12
ENSG00000106852	9	ENSGALG00000001347	17
ENSG00000106868	9	ENSGALG00000015677	Z
ENSG00000106927	9	ENSGALG00000030255	17
ENSG00000106948	9	ENSGALG00000037031	17
ENSG00000106952	9	ENSGALG00000007121	17
ENSG00000106976	9	ENSGALG00000004852	17
ENSG00000106991	9	ENSGALG00000033039	17
ENSG00000106992	9	ENSGALG00000029150	17
ENSG00000106993	9	ENSGALG00000014448	Z
ENSG00000107021	9	ENSGALG00000004645	17
ENSG00000107036	9	ENSGALG00000015036	Z
ENSG00000107104	9	ENSGALG00000010158	Z
ENSG00000107105	9	ENSGALG00000015799	Z
ENSG00000107130	9	ENSGALG00000012710	17
ENSG00000107140	9	ENSGALG00000027658	Z
ENSG00000107147	9	ENSGALG00000001645	17
ENSG00000107159	9	ENSGALG00000021340	Z
ENSG00000107164	9	ENSGALG00000003941	17
ENSG00000107175	9	ENSGALG00000002523	Z
ENSG00000107185	9	ENSGALG00000002394	Z
ENSG00000107186	9	ENSGALG00000005846	Z
ENSG00000107187	9	ENSGALG00000003928	17
ENSG00000107223	9	ENSGALG00000038003	17
ENSG00000107242	9	ENSGALG00000015107	Z
ENSG00000107249	9	ENSGALG00000010180	Z
ENSG00000107262	9	ENSGALG00000013157	2
ENSG00000107263	9	ENSGALG00000030884	AADN04008623.1
ENSG00000107281	9	ENSGALG00000042635	17
ENSG00000107282	9	ENSGALG00000015111	Z
ENSG00000107290	9	ENSGALG00000003661	17
ENSG00000107295	9	ENSGALG00000015096	Z
ENSG00000107317	9	ENSGALG00000030886	17
ENSG00000107331	9	ENSGALG00000036894	17
ENSG00000107338	9	ENSGALG00000026811	Z
ENSG00000107362	9	ENSGALG00000015139	Z
ENSG00000107371	9	ENSGALG00000002426	6
ENSG00000107372	9	ENSGALG00000015144	Z
ENSG00000107404	1	ENSGALG00000001600	21
ENSG00000107438	10	ENSGALG00000005422	6
ENSG00000107443	10	ENSGALG00000006955	6
ENSG00000107447	10	ENSGALG00000006983	6
ENSG00000107485	10	ENSGALG00000029270	1
ENSG00000107518	10	ENSGALG00000009152	6
ENSG00000107521	10	ENSGALG00000017419	6
ENSG00000107537	10	ENSGALG00000035636	1
ENSG00000107560	10	ENSGALG00000009304	6
ENSG00000107562	10	ENSGALG00000041346	6
ENSG00000107566	10	ENSGALG00000003308	6
ENSG00000107593	10	ENSGALG00000005766	6
ENSG00000107614	10	ENSGALG00000008686	2
ENSG00000107643	10	ENSGALG00000006109	6
ENSG00000107651	10	ENSGALG00000009466	6
ENSG00000107669	10	ENSGALG00000009502	6
ENSG00000107679	10	ENSGALG00000034548	6
ENSG00000107719	10	ENSGALG00000004465	6
ENSG00000107731	10	ENSGALG00000004569	6
ENSG00000107738	10	ENSGALG00000030179	6
ENSG00000107745	10	ENSGALG00000004372	6
ENSG00000107758	10	ENSGALG00000005243	6
ENSG00000107771	10	ENSGALG00000037682	6
ENSG00000107779	10	ENSGALG00000002003	6
ENSG00000107789	10	ENSGALG00000003695	6
ENSG00000107798	10	ENSGALG00000006378	6
ENSG00000107807	10	ENSGALG00000007831	6
ENSG00000107815	10	ENSGALG00000017627	6
ENSG00000107816	10	ENSGALG00000023612	6
ENSG00000107819	10	ENSGALG00000023621	6
ENSG00000107821	10	ENSGALG00000007837	6
ENSG00000107829	10	ENSGALG00000043428	6
ENSG00000107831	10	ENSGALG00000007706	6
ENSG00000107833	10	ENSGALG00000032329	6
ENSG00000107854	10	ENSGALG00000014614	6
ENSG00000107859	10	ENSGALG00000005613	6
ENSG00000107862	10	ENSGALG00000005637	6
ENSG00000107863	10	ENSGALG00000007721	2
ENSG00000107864	10	ENSGALG00000006912	6
ENSG00000107872	10	ENSGALG00000005684	6
ENSG00000107874	10	ENSGALG00000005687	6
ENSG00000107882	10	ENSGALG00000008096	6
ENSG00000107902	10	ENSGALG00000030925	6
ENSG00000107929	10	ENSGALG00000006672	2
ENSG00000107937	10	ENSGALG00000006703	2
ENSG00000107938	10	ENSGALG00000013685	6
ENSG00000107949	10	ENSGALG00000006617	6
ENSG00000107951	10	ENSGALG00000007351	2
ENSG00000107954	10	ENSGALG00000008281	6
ENSG00000107957	10	ENSGALG00000008293	6
ENSG00000107959	10	ENSGALG00000007036	2
ENSG00000107960	10	ENSGALG00000008304	6
ENSG00000107968	10	ENSGALG00000007356	2
ENSG00000107984	10	ENSGALG00000003814	6
ENSG00000108001	10	ENSGALG00000010461	6
ENSG00000108010	10	ENSGALG00000010464	6
ENSG00000108018	10	ENSGALG00000008465	6
ENSG00000108021	10	ENSGALG00000039639	1
ENSG00000108039	10	ENSGALG00000008523	6
ENSG00000108055	10	ENSGALG00000008585	6
ENSG00000108061	10	ENSGALG00000008771	6
ENSG00000108064	10	ENSGALG00000002703	6
ENSG00000108091	10	ENSGALG00000003165	6
ENSG00000108094	10	ENSGALG00000007095	2
ENSG00000108100	10	ENSGALG00000007076	2
ENSG00000108106	19	ENSGALG00000036827	AADN04010802.1
ENSG00000108107	19	ENSGALG00000031038	AADN04013100.1
ENSG00000108175	10	ENSGALG00000004850	6
ENSG00000108176	10	ENSGALG00000002769	6
ENSG00000108179	10	ENSGALG00000004809	6
ENSG00000108187	10	ENSGALG00000003935	6
ENSG00000108219	10	ENSGALG00000002414	6
ENSG00000108231	10	ENSGALG00000031720	6
ENSG00000108239	10	ENSGALG00000034044	6
ENSG00000108255	17	ENSGALG00000004035	19
ENSG00000108256	17	ENSGALG00000004042	19
ENSG00000108262	17	ENSGALG00000023703	19
ENSG00000108298	17	ENSGALG00000001658	27
ENSG00000108306	17	ENSGALG00000001682	27
ENSG00000108309	17	ENSGALG00000026518	27
ENSG00000108342	17	ENSGALG00000030907	27
ENSG00000108344	17	ENSGALG00000033162	27
ENSG00000108349	17	ENSGALG00000031813	27
ENSG00000108352	17	ENSGALG00000035690	27
ENSG00000108370	17	ENSGALG00000029610	18
ENSG00000108375	17	ENSGALG00000001028	19
ENSG00000108379	17	ENSGALG00000001079	27
ENSG00000108381	17	ENSGALG00000004669	19
ENSG00000108384	17	ENSGALG00000040380	19
ENSG00000108387	17	ENSGALG00000035185	19
ENSG00000108389	17	ENSGALG00000001042	19
ENSG00000108395	17	ENSGALG00000005084	19
ENSG00000108405	17	ENSGALG00000001573	19
ENSG00000108406	17	ENSGALG00000005126	19
ENSG00000108423	17	ENSGALG00000005173	19
ENSG00000108424	17	ENSGALG00000036962	27
ENSG00000108439	17	ENSGALG00000036683	27
ENSG00000108443	17	ENSGALG00000005198	19
ENSG00000108465	17	ENSGALG00000036452	27
ENSG00000108468	17	ENSGALG00000033926	27
ENSG00000108469	17	ENSGALG00000002424	18
ENSG00000108474	17	ENSGALG00000004492	19
ENSG00000108479	17	ENSGALG00000002311	18
ENSG00000108510	17	ENSGALG00000005230	19
ENSG00000108511	17	ENSGALG00000037619	27
ENSG00000108515	17	ENSGALG00000031403	AADN04011851.1
ENSG00000108528	17	ENSGALG00000029383	AADN04001862.1
ENSG00000108551	17	ENSGALG00000004860	14
ENSG00000108557	17	ENSGALG00000004888	14
ENSG00000108559	17	ENSGALG00000032280	19
ENSG00000108561	17	ENSGALG00000001654	19
ENSG00000108576	17	ENSGALG00000004246	19
ENSG00000108578	17	ENSGALG00000004259	19
ENSG00000108582	17	ENSGALG00000004295	19
ENSG00000108587	17	ENSGALG00000004326	19
ENSG00000108588	17	ENSGALG00000000564	27
ENSG00000108590	17	ENSGALG00000030401	19
ENSG00000108591	17	ENSGALG00000004953	14
ENSG00000108592	17	ENSGALG00000032993	27
ENSG00000108599	17	ENSGALG00000004679	19
ENSG00000108604	17	ENSGALG00000029304	27
ENSG00000108639	17	ENSGALG00000027902	18
ENSG00000108641	17	ENSGALG00000005096	14
ENSG00000108651	17	ENSGALG00000003260	18
ENSG00000108654	17	ENSGALG00000003532	18
ENSG00000108666	17	ENSGALG00000003434	18
ENSG00000108669	17	ENSGALG00000007093	18
ENSG00000108671	17	ENSGALG00000024112	27
ENSG00000108684	17	ENSGALG00000000367	27
ENSG00000108733	17	ENSGALG00000002151	19
ENSG00000108773	17	ENSGALG00000003369	27
ENSG00000108784	17	ENSGALG00000032610	27
ENSG00000108786	17	ENSGALG00000027429	27
ENSG00000108788	17	ENSGALG00000003199	27
ENSG00000108797	17	ENSGALG00000003123	27
ENSG00000108798	17	ENSGALG00000044071	27
ENSG00000108799	17	ENSGALG00000003068	27
ENSG00000108813	17	ENSGALG00000045023	27
ENSG00000108819	17	ENSGALG00000029276	AADN04002558.1
ENSG00000108821	17	ENSGALG00000041555	AADN04001035.1
ENSG00000108823	17	ENSGALG00000029917	AADN04002558.1
ENSG00000108826	17	ENSGALG00000038812	18
ENSG00000108828	17	ENSGALG00000002818	27
ENSG00000108829	17	ENSGALG00000007673	18
ENSG00000108830	17	ENSGALG00000002804	27
ENSG00000108846	17	ENSGALG00000007522	18
ENSG00000108848	17	ENSGALG00000007386	18
ENSG00000108852	17	ENSGALG00000035580	27
ENSG00000108854	17	ENSGALG00000003566	18
ENSG00000108861	17	ENSGALG00000035369	27
ENSG00000108878	17	ENSGALG00000027771	18
ENSG00000108883	17	ENSGALG00000000988	27
ENSG00000108924	17	ENSGALG00000003059	18
ENSG00000108932	17	ENSGALG00000004162	18
ENSG00000108946	17	ENSGALG00000004237	18
ENSG00000108950	17	ENSGALG00000040655	18
ENSG00000108953	17	ENSGALG00000002661	19
ENSG00000108960	17	ENSGALG00000003078	18
ENSG00000108963	17	ENSGALG00000003082	19
ENSG00000108984	17	ENSGALG00000004370	18
ENSG00000109016	17	ENSGALG00000004759	14
ENSG00000109046	17	ENSGALG00000005668	19
ENSG00000109047	17	ENSGALG00000043398	AADN04010802.1
ENSG00000109062	17	ENSGALG00000007650	18
ENSG00000109066	17	ENSGALG00000007747	18
ENSG00000109072	17	ENSGALG00000003589	19
ENSG00000109079	17	ENSGALG00000005715	19
ENSG00000109083	17	ENSGALG00000005707	19
ENSG00000109084	17	ENSGALG00000005702	19
ENSG00000109089	17	ENSGALG00000026295	18
ENSG00000109099	17	ENSGALG00000031425	18
ENSG00000109101	17	ENSGALG00000043868	19
ENSG00000109103	17	ENSGALG00000003657	19
ENSG00000109107	17	ENSGALG00000026077	19
ENSG00000109111	17	ENSGALG00000000146	19
ENSG00000109113	17	ENSGALG00000026315	19
ENSG00000109118	17	ENSGALG00000031368	19
ENSG00000109132	4	ENSGALG00000014250	4
ENSG00000109133	4	ENSGALG00000014248	4
ENSG00000109158	4	ENSGALG00000014202	4
ENSG00000109171	4	ENSGALG00000014115	4
ENSG00000109180	4	ENSGALG00000014081	4
ENSG00000109182	4	ENSGALG00000041921	4
ENSG00000109184	4	ENSGALG00000014078	4
ENSG00000109189	4	ENSGALG00000037496	4
ENSG00000109193	4	ENSGALG00000011812	4
ENSG00000109220	4	ENSGALG00000013931	4
ENSG00000109255	4	ENSGALG00000020151	4
ENSG00000109265	4	ENSGALG00000013771	4
ENSG00000109270	4	ENSGALG00000000055	4
ENSG00000109320	4	ENSGALG00000012304	4
ENSG00000109321	4	ENSGALG00000010866	4
ENSG00000109323	4	ENSGALG00000012308	4
ENSG00000109332	4	ENSGALG00000012311	4
ENSG00000109339	4	ENSGALG00000011109	4
ENSG00000109381	4	ENSGALG00000009774	4
ENSG00000109436	4	ENSGALG00000009855	4
ENSG00000109445	4	ENSGALG00000009868	4
ENSG00000109452	4	ENSGALG00000009880	4
ENSG00000109458	4	ENSGALG00000009898	4
ENSG00000109466	4	ENSGALG00000009554	4
ENSG00000109472	4	ENSGALG00000027788	4
ENSG00000109475	4	ENSGALG00000032002	4
ENSG00000109501	4	ENSGALG00000015529	4
ENSG00000109511	4	ENSGALG00000009573	4
ENSG00000109519	4	ENSGALG00000015549	4
ENSG00000109534	4	ENSGALG00000020164	4
ENSG00000109572	4	ENSGALG00000009674	4
ENSG00000109576	4	ENSGALG00000009655	4
ENSG00000109586	4	ENSGALG00000010744	4
ENSG00000109606	4	ENSGALG00000014395	4
ENSG00000109610	4	ENSGALG00000018557	4
ENSG00000109618	4	ENSGALG00000014386	4
ENSG00000109625	4	ENSGALG00000030209	4
ENSG00000109654	4	ENSGALG00000009207	4
ENSG00000109667	4	ENSGALG00000014971	4
ENSG00000109670	4	ENSGALG00000010103	4
ENSG00000109674	4	ENSGALG00000010719	4
ENSG00000109680	4	ENSGALG00000029673	4
ENSG00000109685	4	ENSGALG00000015705	4
ENSG00000109686	4	ENSGALG00000010081	4
ENSG00000109689	4	ENSGALG00000014355	4
ENSG00000109705	4	ENSGALG00000031859	4
ENSG00000109736	4	ENSGALG00000015652	4
ENSG00000109738	4	ENSGALG00000009395	4
ENSG00000109743	4	ENSGALG00000014509	4
ENSG00000109756	4	ENSGALG00000020249	4
ENSG00000109758	4	ENSGALG00000015623	4
ENSG00000109762	4	ENSGALG00000010610	4
ENSG00000109771	4	ENSGALG00000045063	4
ENSG00000109775	4	ENSGALG00000010601	4
ENSG00000109787	4	ENSGALG00000041717	4
ENSG00000109790	4	ENSGALG00000031388	4
ENSG00000109794	4	ENSGALG00000013503	4
ENSG00000109805	4	ENSGALG00000014425	4
ENSG00000109814	4	ENSGALG00000041993	4
ENSG00000109819	4	ENSGALG00000042851	4
ENSG00000109846	11	ENSGALG00000007945	24
ENSG00000109851	11	ENSGALG00000003965	5
ENSG00000109854	11	ENSGALG00000002581	8
ENSG00000109861	11	ENSGALG00000017239	1
ENSG00000109881	11	ENSGALG00000012194	5
ENSG00000109906	11	ENSGALG00000038540	24
ENSG00000109911	11	ENSGALG00000012127	5
ENSG00000109917	11	ENSGALG00000007101	24
ENSG00000109919	11	ENSGALG00000036196	5
ENSG00000109920	11	ENSGALG00000029702	5
ENSG00000109927	11	ENSGALG00000040857	24
ENSG00000109929	11	ENSGALG00000037065	24
ENSG00000109943	11	ENSGALG00000006527	24
ENSG00000109956	11	ENSGALG00000001611	24
ENSG00000109971	11	ENSGALG00000006512	24
ENSG00000109991	11	ENSGALG00000040479	5
ENSG00000110002	11	ENSGALG00000028815	24
ENSG00000110042	11	ENSGALG00000010835	5
ENSG00000110048	11	ENSGALG00000030548	AADN04001190.1
ENSG00000110060	11	ENSGALG00000000962	24
ENSG00000110063	11	ENSGALG00000031143	24
ENSG00000110066	11	ENSGALG00000014152	5
ENSG00000110074	11	ENSGALG00000046347	24
ENSG00000110075	11	ENSGALG00000007037	5
ENSG00000110080	11	ENSGALG00000029747	24
ENSG00000110090	11	ENSGALG00000007077	5
ENSG00000110092	11	ENSGALG00000007555	5
ENSG00000110104	11	ENSGALG00000036935	AADN04000990.1
ENSG00000110148	11	ENSGALG00000039837	1
ENSG00000110169	11	ENSGALG00000022586	1
ENSG00000110171	11	ENSGALG00000034004	1
ENSG00000110172	11	ENSGALG00000035461	1
ENSG00000110218	11	ENSGALG00000039751	1
ENSG00000110243	11	ENSGALG00000014368	24
ENSG00000110244	11	ENSGALG00000007109	24
ENSG00000110274	11	ENSGALG00000007310	24
ENSG00000110315	11	ENSGALG00000029586	5
ENSG00000110318	11	ENSGALG00000017190	1
ENSG00000110321	11	ENSGALG00000005587	5
ENSG00000110324	11	ENSGALG00000032260	24
ENSG00000110328	11	ENSGALG00000005584	5
ENSG00000110367	11	ENSGALG00000033064	24
ENSG00000110395	11	ENSGALG00000029077	24
ENSG00000110400	11	ENSGALG00000039196	24
ENSG00000110427	11	ENSGALG00000012020	5
ENSG00000110429	11	ENSGALG00000034029	5
ENSG00000110435	11	ENSGALG00000033753	5
ENSG00000110436	11	ENSGALG00000037556	5
ENSG00000110442	11	ENSGALG00000034859	5
ENSG00000110448	11	ENSGALG00000031735	5
ENSG00000110492	11	ENSGALG00000008367	5
ENSG00000110497	11	ENSGALG00000008358	5
ENSG00000110514	11	ENSGALG00000008181	5
ENSG00000110536	11	ENSGALG00000008091	5
ENSG00000110583	11	ENSGALG00000038219	KQ759534.1
ENSG00000110619	11	ENSGALG00000006427	5
ENSG00000110628	11	ENSGALG00000006454	5
ENSG00000110651	11	ENSGALG00000006546	5
ENSG00000110660	11	ENSGALG00000017167	1
ENSG00000110675	11	ENSGALG00000017169	1
ENSG00000110680	11	ENSGALG00000006054	5
ENSG00000110693	11	ENSGALG00000006074	5
ENSG00000110696	11	ENSGALG00000006077	5
ENSG00000110697	11	ENSGALG00000034939	5
ENSG00000110700	11	ENSGALG00000006096	5
ENSG00000110711	11	ENSGALG00000040247	5
ENSG00000110713	11	ENSGALG00000040018	1
ENSG00000110719	11	ENSGALG00000036069	5
ENSG00000110721	11	ENSGALG00000036754	5
ENSG00000110723	11	ENSGALG00000027243	1
ENSG00000110768	11	ENSGALG00000042340	5
ENSG00000110777	11	ENSGALG00000006809	24
ENSG00000110786	11	ENSGALG00000006368	5
ENSG00000110799	12	ENSGALG00000017272	1
ENSG00000110811	12	ENSGALG00000014490	1
ENSG00000110841	12	ENSGALG00000014106	1
ENSG00000110851	12	ENSGALG00000012619	1
ENSG00000110871	12	ENSGALG00000007185	15
ENSG00000110880	12	ENSGALG00000004901	15
ENSG00000110881	12	ENSGALG00000034025	33
ENSG00000110887	12	ENSGALG00000043053	15
ENSG00000110906	12	ENSGALG00000005138	15
ENSG00000110911	12	ENSGALG00000041533	AADN04005037.1
ENSG00000110917	12	ENSGALG00000007102	15
ENSG00000110921	12	ENSGALG00000013848	15
ENSG00000110925	12	ENSGALG00000032004	KQ759546.1
ENSG00000110931	12	ENSGALG00000040131	15
ENSG00000110955	12	ENSGALG00000038801	33
ENSG00000110958	12	ENSGALG00000036837	33
ENSG00000110975	12	ENSGALG00000012911	1
ENSG00000110987	12	ENSGALG00000004379	15
ENSG00000111011	12	ENSGALG00000004493	15
ENSG00000111046	12	ENSGALG00000010936	1
ENSG00000111049	12	ENSGALG00000028091	1
ENSG00000111052	12	ENSGALG00000010939	1
ENSG00000111057	12	ENSGALG00000030002	KQ759485.1
ENSG00000111058	12	ENSGALG00000010940	1
ENSG00000111087	12	ENSGALG00000042422	KQ759484.1
ENSG00000111110	12	ENSGALG00000009805	1
ENSG00000111142	12	ENSGALG00000011377	1
ENSG00000111144	12	ENSGALG00000033709	1
ENSG00000111145	12	ENSGALG00000043701	1
ENSG00000111181	12	ENSGALG00000019290	1
ENSG00000111186	12	ENSGALG00000012998	1
ENSG00000111199	12	ENSGALG00000036360	15
ENSG00000111203	12	ENSGALG00000014335	1
ENSG00000111218	12	ENSGALG00000013272	1
ENSG00000111229	12	ENSGALG00000003820	15
ENSG00000111231	12	ENSGALG00000003807	15
ENSG00000111237	12	ENSGALG00000004529	15
ENSG00000111241	12	ENSGALG00000017287	1
ENSG00000111245	12	ENSGALG00000004582	15
ENSG00000111247	12	ENSGALG00000017290	1
ENSG00000111249	12	ENSGALG00000004598	15
ENSG00000111252	12	ENSGALG00000004610	15
ENSG00000111261	12	ENSGALG00000038710	1
ENSG00000111262	12	ENSGALG00000017280	1
ENSG00000111269	12	ENSGALG00000037030	1
ENSG00000111271	12	ENSGALG00000031240	15
ENSG00000111276	12	ENSGALG00000022980	1
ENSG00000111300	12	ENSGALG00000041821	15
ENSG00000111305	12	ENSGALG00000011802	1
ENSG00000111319	12	ENSGALG00000040424	1
ENSG00000111325	12	ENSGALG00000003687	15
ENSG00000111328	12	ENSGALG00000034919	15
ENSG00000111339	12	ENSGALG00000011742	1
ENSG00000111341	12	ENSGALG00000011740	1
ENSG00000111344	12	ENSGALG00000008150	15
ENSG00000111348	12	ENSGALG00000011738	1
ENSG00000111358	12	ENSGALG00000023682	15
ENSG00000111361	12	ENSGALG00000003259	15
ENSG00000111364	12	ENSGALG00000003298	15
ENSG00000111371	12	ENSGALG00000009698	1
ENSG00000111404	12	ENSGALG00000013112	1
ENSG00000111405	12	ENSGALG00000039970	33
ENSG00000111412	12	ENSGALG00000031821	15
ENSG00000111424	12	ENSGALG00000033090	AADN04000776.1
ENSG00000111445	12	ENSGALG00000026517	15
ENSG00000111450	12	ENSGALG00000002536	15
ENSG00000111452	12	ENSGALG00000002557	15
ENSG00000111481	12	ENSGALG00000043336	33
ENSG00000111490	12	ENSGALG00000009859	1
ENSG00000111536	12	ENSGALG00000037779	1
ENSG00000111537	12	ENSGALG00000009903	1
ENSG00000111540	12	ENSGALG00000042482	33
ENSG00000111554	12	ENSGALG00000009905	1
ENSG00000111581	12	ENSGALG00000009934	1
ENSG00000111596	12	ENSGALG00000010042	1
ENSG00000111602	12	ENSGALG00000036572	33
ENSG00000111605	12	ENSGALG00000019355	1
ENSG00000111615	12	ENSGALG00000010227	1
ENSG00000111639	12	ENSGALG00000014435	1
ENSG00000111640	12	ENSGALG00000014442	1
ENSG00000111641	12	ENSGALG00000037807	1
ENSG00000111642	12	ENSGALG00000013565	1
ENSG00000111644	12	ENSGALG00000044625	1
ENSG00000111647	12	ENSGALG00000011557	1
ENSG00000111652	12	ENSGALG00000014467	1
ENSG00000111653	12	ENSGALG00000014457	1
ENSG00000111664	12	ENSGALG00000034438	1
ENSG00000111665	12	ENSGALG00000014513	1
ENSG00000111666	12	ENSGALG00000012769	1
ENSG00000111667	12	ENSGALG00000014525	1
ENSG00000111670	12	ENSGALG00000012763	1
ENSG00000111674	12	ENSGALG00000014528	1
ENSG00000111676	12	ENSGALG00000014554	1
ENSG00000111678	12	ENSGALG00000014555	1
ENSG00000111679	12	ENSGALG00000014561	1
ENSG00000111684	12	ENSGALG00000014570	1
ENSG00000111696	12	ENSGALG00000029746	1
ENSG00000111707	12	ENSGALG00000007393	15
ENSG00000111711	12	ENSGALG00000033855	1
ENSG00000111713	12	ENSGALG00000013265	1
ENSG00000111726	12	ENSGALG00000013229	1
ENSG00000111727	12	ENSGALG00000029616	1
ENSG00000111728	12	ENSGALG00000013211	1
ENSG00000111731	12	ENSGALG00000013210	1
ENSG00000111732	12	ENSGALG00000014280	1
ENSG00000111737	12	ENSGALG00000007308	15
ENSG00000111752	12	ENSGALG00000014263	1
ENSG00000111783	12	ENSGALG00000012647	1
ENSG00000111785	12	ENSGALG00000029484	1
ENSG00000111790	12	ENSGALG00000014084	1
ENSG00000111799	6	ENSGALG00000015908	3
ENSG00000111802	6	ENSGALG00000013637	2
ENSG00000111816	6	ENSGALG00000014979	3
ENSG00000111817	6	ENSGALG00000014963	3
ENSG00000111832	6	ENSGALG00000014953	3
ENSG00000111845	6	ENSGALG00000012724	2
ENSG00000111846	6	ENSGALG00000012773	2
ENSG00000111850	6	ENSGALG00000015812	3
ENSG00000111859	6	ENSGALG00000012747	2
ENSG00000111860	6	ENSGALG00000014892	3
ENSG00000111863	6	ENSGALG00000032683	2
ENSG00000111875	6	ENSGALG00000014887	3
ENSG00000111877	6	ENSGALG00000014883	3
ENSG00000111879	6	ENSGALG00000014881	3
ENSG00000111880	6	ENSGALG00000015787	3
ENSG00000111885	6	ENSGALG00000014878	3
