Human	Opossum	ChrOpossum	ChrHuman
ENSG00000032219	ENSMODG00000007881	1	14
ENSG00000277462	ENSMODG00000023117	2	1
ENSG00000277462	ENSMODG00000029425	4	1
ENSG00000277462	ENSMODG00000012595	3	1
ENSG00000277462	ENSMODG00000022822	Un	1
ENSG00000277462	ENSMODG00000022741	Un	1
ENSG00000277462	ENSMODG00000023439	3	1
ENSG00000132330	ENSMODG00000015913	7	2
ENSG00000204930	ENSMODG00000006939	6	9
ENSG00000184374	ENSMODG00000004030	3	8
ENSG00000071127	ENSMODG00000001392	5	4
ENSG00000011465	ENSMODG00000009654	8	12
ENSG00000204450	ENSMODG00000000856	6	11
ENSG00000204450	ENSMODG00000011617	4	11
ENSG00000204450	ENSMODG00000011608	4	11
ENSG00000204450	ENSMODG00000014968	8	11
ENSG00000110367	ENSMODG00000013375	4	11
ENSG00000112874	ENSMODG00000019328	3	5
ENSG00000178694	ENSMODG00000016992	7	3
ENSG00000178694	ENSMODG00000008283	6	3
ENSG00000267534	ENSMODG00000028318	3	19
ENSG00000112655	ENSMODG00000018983	2	6
ENSG00000114503	ENSMODG00000024607	3	3
ENSG00000114503	ENSMODG00000015908	7	3
ENSG00000114503	ENSMODG00000023276	2	3
ENSG00000114503	ENSMODG00000024608	3	3
ENSG00000040199	ENSMODG00000002299	1	16
ENSG00000110448	ENSMODG00000029458	5	11
ENSG00000120802	ENSMODG00000007723	8	12
ENSG00000139988	ENSMODG00000010006	1	14
ENSG00000204131	ENSMODG00000022846	X	X
ENSG00000164494	ENSMODG00000018016	2	6
ENSG00000121853	ENSMODG00000021322	7	3
ENSG00000165637	ENSMODG00000000896	1	10
ENSG00000166295	ENSMODG00000000031	1	10
ENSG00000105650	ENSMODG00000003263	3	19
ENSG00000185974	ENSMODG00000003710	7	13
ENSG00000074966	ENSMODG00000020625	5	4
ENSG00000168582	ENSMODG00000024830	7	2
ENSG00000168582	ENSMODG00000015938	7	2
ENSG00000168582	ENSMODG00000024835	7	2
ENSG00000168582	ENSMODG00000024836	7	2
ENSG00000168582	ENSMODG00000015939	7	2
ENSG00000168582	ENSMODG00000024832	7	2
ENSG00000162836	ENSMODG00000018738	2	1
ENSG00000273398	ENSMODG00000003614	1	2
ENSG00000196345	ENSMODG00000013677	6	3
ENSG00000214253	ENSMODG00000005034	2	7
ENSG00000109854	ENSMODG00000009101	5	11
ENSG00000168944	ENSMODG00000013411	6	5
ENSG00000116584	ENSMODG00000016970	2	1
ENSG00000088298	ENSMODG00000001865	1	20
ENSG00000182798	ENSMODG00000011382	X	X
ENSG00000182798	ENSMODG00000016736	8	X
ENSG00000259490	ENSMODG00000023887	1	15
ENSG00000183779	ENSMODG00000010894	1	8
ENSG00000092421	ENSMODG00000013614	6	5
ENSG00000121966	ENSMODG00000001101	4	2
ENSG00000138336	ENSMODG00000017310	1	10
ENSG00000135374	ENSMODG00000009972	5	11
ENSG00000122679	ENSMODG00000010243	6	7
ENSG00000129245	ENSMODG00000007179	2	17
ENSG00000153956	ENSMODG00000017022	8	7
ENSG00000168434	ENSMODG00000006782	6	16
ENSG00000084112	ENSMODG00000023721	3	12
ENSG00000084112	ENSMODG00000002804	3	12
ENSG00000109606	ENSMODG00000000516	5	4
ENSG00000215817	ENSMODG00000001184	2	1
ENSG00000129347	ENSMODG00000005816	3	19
ENSG00000215271	ENSMODG00000024443	1	14
ENSG00000263639	ENSMODG00000028868	1	10
ENSG00000263639	ENSMODG00000025720	1	10
ENSG00000263639	ENSMODG00000025719	1	10
ENSG00000263639	ENSMODG00000025718	1	10
ENSG00000263639	ENSMODG00000025716	1	10
ENSG00000263639	ENSMODG00000025717	1	10
ENSG00000263639	ENSMODG00000029353	1	10
ENSG00000263639	ENSMODG00000025721	1	10
ENSG00000215252	ENSMODG00000005915	1	15
ENSG00000178301	ENSMODG00000005033	4	11
ENSG00000197361	ENSMODG00000010979	1	15
ENSG00000089199	ENSMODG00000003761	1	20
ENSG00000123144	ENSMODG00000025628	3	19
ENSG00000123144	ENSMODG00000006904	5	19
ENSG00000162063	ENSMODG00000015778	6	16
ENSG00000114554	ENSMODG00000007833	6	3
ENSG00000171202	ENSMODG00000004384	4	11
ENSG00000167315	ENSMODG00000003595	3	18
ENSG00000148444	ENSMODG00000009090	8	10
ENSG00000102786	ENSMODG00000010648	4	13
ENSG00000129675	ENSMODG00000014073	X	X
ENSG00000088280	ENSMODG00000028068	Un	1
ENSG00000090447	ENSMODG00000016377	6	16
ENSG00000171914	ENSMODG00000011273	1	15
ENSG00000130751	ENSMODG00000009053	4	19
ENSG00000141096	ENSMODG00000005335	1	16
ENSG00000180329	ENSMODG00000011411	2	17
ENSG00000111325	ENSMODG00000012407	3	12
ENSG00000283632	ENSMODG00000010936	Un	19
ENSG00000205927	ENSMODG00000025338	4	21
ENSG00000143374	ENSMODG00000018792	2	1
ENSG00000198643	ENSMODG00000002406	6	3
ENSG00000115841	ENSMODG00000008468	1	2
ENSG00000188163	ENSMODG00000017217	1	9
ENSG00000261587	ENSMODG00000028386	3	8
ENSG00000261587	ENSMODG00000029707	3	8
ENSG00000105982	ENSMODG00000005073	8	7
ENSG00000115234	ENSMODG00000015661	1	2
ENSG00000000005	ENSMODG00000008987	X	X
ENSG00000164258	ENSMODG00000019465	3	5
ENSG00000105402	ENSMODG00000008817	4	19
ENSG00000251039	ENSMODG00000013078	1	2
ENSG00000251039	ENSMODG00000013065	1	2
ENSG00000251039	ENSMODG00000013080	1	2
ENSG00000251039	ENSMODG00000025773	1	2
ENSG00000251039	ENSMODG00000013059	1	2
ENSG00000251039	ENSMODG00000013077	1	2
ENSG00000251039	ENSMODG00000013070	1	2
ENSG00000251039	ENSMODG00000013058	1	2
ENSG00000251039	ENSMODG00000013072	1	2
ENSG00000251039	ENSMODG00000013074	1	2
ENSG00000251039	ENSMODG00000013062	1	2
ENSG00000251039	ENSMODG00000011538	1	2
ENSG00000251039	ENSMODG00000013061	1	2
ENSG00000251039	ENSMODG00000011478	1	2
ENSG00000251039	ENSMODG00000013081	1	2
ENSG00000251039	ENSMODG00000013051	1	2
ENSG00000126790	ENSMODG00000008241	1	14
ENSG00000184716	ENSMODG00000017747	1	15
ENSG00000116260	ENSMODG00000006360	2	1
ENSG00000156253	ENSMODG00000020995	4	21
ENSG00000188916	ENSMODG00000012245	Un	10
ENSG00000153551	ENSMODG00000028857	8	3
ENSG00000053372	ENSMODG00000015874	4	1
ENSG00000169258	ENSMODG00000005102	1	5
ENSG00000204421	ENSMODG00000015256	2	6
ENSG00000147434	ENSMODG00000010120	1	8
ENSG00000175455	ENSMODG00000027475	4	3
ENSG00000175455	ENSMODG00000018346	4	3
ENSG00000197591	ENSMODG00000008875	2	1
ENSG00000139620	ENSMODG00000021157	8	12
ENSG00000130638	ENSMODG00000007304	8	22
ENSG00000112562	ENSMODG00000005807	2	6
ENSG00000012124	ENSMODG00000013872	4	19
ENSG00000267120	ENSMODG00000014003	4	19
ENSG00000205758	ENSMODG00000021059	4	21
ENSG00000122145	ENSMODG00000004255	X	X
ENSG00000007255	ENSMODG00000020850	4	19
ENSG00000101544	ENSMODG00000011929	3	18
ENSG00000183378	ENSMODG00000025535	5	11
ENSG00000198088	ENSMODG00000002278	X	X
ENSG00000134248	ENSMODG00000023241	2	1
ENSG00000143322	ENSMODG00000006090	2	1
ENSG00000106105	ENSMODG00000021163	6	7
ENSG00000135604	ENSMODG00000023290	2	6
ENSG00000179388	ENSMODG00000023162	1	8
ENSG00000101972	ENSMODG00000014957	X	X
ENSG00000084693	ENSMODG00000015738	1	2
ENSG00000177302	ENSMODG00000013691	6	17
ENSG00000145736	ENSMODG00000001415	3	5
ENSG00000145736	ENSMODG00000025598	3	5
ENSG00000160401	ENSMODG00000005482	1	9
ENSG00000160401	ENSMODG00000028018	1	9
ENSG00000133872	ENSMODG00000019013	5	8
ENSG00000121350	ENSMODG00000017811	8	12
ENSG00000182393	ENSMODG00000023790	4	19
ENSG00000010438	ENSMODG00000000887	8	9
ENSG00000010438	ENSMODG00000000845	8	9
ENSG00000010438	ENSMODG00000000899	8	9
ENSG00000107643	ENSMODG00000002193	1	10
ENSG00000115042	ENSMODG00000008028	1	2
ENSG00000157181	ENSMODG00000011662	2	1
ENSG00000176809	ENSMODG00000011110	2	17
ENSG00000088812	ENSMODG00000004575	5	20
ENSG00000159433	ENSMODG00000017875	1	15
ENSG00000166710	ENSMODG00000017688	1	15
ENSG00000141002	ENSMODG00000003402	1	16
ENSG00000047315	ENSMODG00000020704	5	4
ENSG00000069122	ENSMODG00000028360	4	6
ENSG00000069122	ENSMODG00000018882	2	6
ENSG00000119650	ENSMODG00000005632	1	14
ENSG00000120451	ENSMODG00000005187	4	11
ENSG00000099942	ENSMODG00000017639	3	22
ENSG00000186104	ENSMODG00000007273	5	11
ENSG00000091972	ENSMODG00000028535	4	3
ENSG00000117748	ENSMODG00000010736	4	1
ENSG00000117748	ENSMODG00000010753	4	1
ENSG00000117133	ENSMODG00000000452	2	1
ENSG00000126561	ENSMODG00000014816	2	17
ENSG00000126561	ENSMODG00000014836	2	17
ENSG00000196353	ENSMODG00000011830	8	3
ENSG00000129810	ENSMODG00000014812	8	3
ENSG00000091490	ENSMODG00000000154	5	4
ENSG00000100246	ENSMODG00000009584	8	22
ENSG00000111897	ENSMODG00000005891	1	6
ENSG00000111897	ENSMODG00000017743	2	6
ENSG00000205929	ENSMODG00000021071	4	21
ENSG00000099875	ENSMODG00000004561	3	19
ENSG00000113597	ENSMODG00000019656	3	5
ENSG00000188739	ENSMODG00000008436	2	1
ENSG00000215717	ENSMODG00000028749	2	1
ENSG00000135926	ENSMODG00000015501	7	2
ENSG00000185090	ENSMODG00000017756	4	1
ENSG00000088179	ENSMODG00000000325	4	2
ENSG00000106554	ENSMODG00000014416	8	7
ENSG00000211788	ENSMODG00000005752	1	14
ENSG00000211788	ENSMODG00000005736	1	14
ENSG00000174429	ENSMODG00000005297	3	8
ENSG00000134588	ENSMODG00000015421	7	X
ENSG00000093144	ENSMODG00000017676	2	6
ENSG00000102390	ENSMODG00000009685	1	X
ENSG00000254087	ENSMODG00000009142	3	8
ENSG00000183615	ENSMODG00000017470	4	1
ENSG00000089775	ENSMODG00000009433	1	14
ENSG00000101928	ENSMODG00000015178	X	X
ENSG00000101928	ENSMODG00000002836	1	X
ENSG00000198077	ENSMODG00000008215	4	19
ENSG00000198794	ENSMODG00000009176	1	15
ENSG00000182866	ENSMODG00000017464	4	1
ENSG00000230873	ENSMODG00000010886	3	6
ENSG00000148384	ENSMODG00000017574	1	9
ENSG00000113790	ENSMODG00000002671	2	3
ENSG00000132746	ENSMODG00000021331	Un	11
ENSG00000163093	ENSMODG00000008022	4	2
ENSG00000179841	ENSMODG00000009460	1	14
ENSG00000179902	ENSMODG00000002197	2	1
ENSG00000104312	ENSMODG00000007716	3	8
ENSG00000160781	ENSMODG00000016910	2	1
ENSG00000140600	ENSMODG00000019381	1	15
ENSG00000176155	ENSMODG00000003443	2	17
ENSG00000140481	ENSMODG00000009680	1	15
ENSG00000196821	ENSMODG00000013910	2	6
ENSG00000142459	ENSMODG00000014976	3	19
ENSG00000100227	ENSMODG00000006932	8	22
ENSG00000165669	ENSMODG00000009378	1	10
ENSG00000165669	ENSMODG00000024862	6	10
ENSG00000165669	ENSMODG00000024785	5	10
ENSG00000165669	ENSMODG00000023184	1	10
ENSG00000162735	ENSMODG00000009571	2	1
ENSG00000113600	ENSMODG00000020310	3	5
ENSG00000169031	ENSMODG00000021211	7	2
ENSG00000171606	ENSMODG00000005132	4	19
ENSG00000171606	ENSMODG00000016810	1	19
ENSG00000133874	ENSMODG00000011059	1	8
ENSG00000130675	ENSMODG00000005191	8	7
ENSG00000125864	ENSMODG00000005413	1	20
ENSG00000101665	ENSMODG00000003475	3	18
ENSG00000143155	ENSMODG00000003668	1	1
ENSG00000143155	ENSMODG00000002880	2	1
ENSG00000130731	ENSMODG00000016707	6	16
ENSG00000183671	ENSMODG00000024824	7	2
ENSG00000151615	ENSMODG00000000557	5	4
ENSG00000116957	ENSMODG00000008312	2	1
ENSG00000070601	ENSMODG00000002930	6	9
ENSG00000136750	ENSMODG00000008626	8	10
ENSG00000128713	ENSMODG00000009565	4	2
ENSG00000153093	ENSMODG00000006740	1	2
ENSG00000266074	ENSMODG00000002637	2	17
ENSG00000188811	ENSMODG00000010254	4	13
ENSG00000185024	ENSMODG00000014690	1	14
ENSG00000141642	ENSMODG00000010972	3	18
ENSG00000129991	ENSMODG00000016393	Un	19
ENSG00000153531	ENSMODG00000003846	7	13
ENSG00000112559	ENSMODG00000012923	2	6
ENSG00000165898	ENSMODG00000006248	1	14
ENSG00000188042	ENSMODG00000023112	2	2
ENSG00000130939	ENSMODG00000002838	4	1
ENSG00000080200	ENSMODG00000002768	4	3
ENSG00000080200	ENSMODG00000017014	7	3
ENSG00000135317	ENSMODG00000018355	2	6
ENSG00000178075	ENSMODG00000018166	4	3
ENSG00000154222	ENSMODG00000000730	2	1
ENSG00000142279	ENSMODG00000011920	1	19
ENSG00000184602	ENSMODG00000024781	6	16
ENSG00000066294	ENSMODG00000009448	2	1
ENSG00000066294	ENSMODG00000009452	2	1
ENSG00000101342	ENSMODG00000001289	1	20
ENSG00000167323	ENSMODG00000008347	4	11
ENSG00000202059	ENSMODG00000026713	4	2
ENSG00000252517	ENSMODG00000022127	Un	2
ENSG00000250673	ENSMODG00000000547	5	4
ENSG00000145495	ENSMODG00000002440	3	5
ENSG00000207431	ENSMODG00000026809	4	6
ENSG00000100425	ENSMODG00000015772	8	22
ENSG00000206751	ENSMODG00000026620	2	14
ENSG00000206751	ENSMODG00000026693	2	14
ENSG00000169964	ENSMODG00000029706	8	3
ENSG00000155368	ENSMODG00000000393	4	2
ENSG00000206901	ENSMODG00000022224	3	2
ENSG00000217930	ENSMODG00000016373	6	16
ENSG00000129673	ENSMODG00000009260	2	17
ENSG00000222108	ENSMODG00000026934	1	10
ENSG00000201608	ENSMODG00000021648	4	1
ENSG00000169291	ENSMODG00000017195	2	1
ENSG00000199512	ENSMODG00000026642	1	15
ENSG00000153015	ENSMODG00000019638	3	5
ENSG00000251925	ENSMODG00000026489	X	Y
ENSG00000184678	ENSMODG00000018761	2	1
ENSG00000222635	ENSMODG00000026743	3	12
ENSG00000007944	ENSMODG00000010806	3	6
ENSG00000128886	ENSMODG00000017755	1	15
ENSG00000136492	ENSMODG00000014258	2	17
ENSG00000196550	ENSMODG00000001970	2	1
ENSG00000135903	ENSMODG00000021190	7	2
ENSG00000026297	ENSMODG00000006193	2	6
ENSG00000151491	ENSMODG00000017925	8	12
ENSG00000119913	ENSMODG00000010289	1	10
ENSG00000138316	ENSMODG00000012133	1	10
ENSG00000149016	ENSMODG00000007710	5	11
ENSG00000222800	ENSMODG00000022107	4	6
ENSG00000222800	ENSMODG00000021868	4	6
ENSG00000222800	ENSMODG00000021804	4	6
ENSG00000222800	ENSMODG00000022053	4	6
ENSG00000222800	ENSMODG00000021603	4	6
ENSG00000222800	ENSMODG00000022159	4	6
ENSG00000222800	ENSMODG00000021950	4	6
ENSG00000222800	ENSMODG00000023018	4	6
ENSG00000222800	ENSMODG00000022345	1	6
ENSG00000222800	ENSMODG00000022044	4	6
ENSG00000222800	ENSMODG00000023019	4	6
ENSG00000222800	ENSMODG00000022109	4	6
ENSG00000222800	ENSMODG00000021966	4	6
ENSG00000198793	ENSMODG00000011138	4	1
ENSG00000206826	ENSMODG00000025983	2	X
ENSG00000206826	ENSMODG00000027225	6	X
ENSG00000206826	ENSMODG00000027003	1	X
ENSG00000206826	ENSMODG00000021978	3	X
ENSG00000279906	ENSMODG00000029503	2	11
ENSG00000279906	ENSMODG00000028053	2	11
ENSG00000279906	ENSMODG00000029229	3	11
ENSG00000279906	ENSMODG00000028914	1	11
ENSG00000279906	ENSMODG00000027336	7	11
ENSG00000279906	ENSMODG00000029073	5	11
ENSG00000279906	ENSMODG00000029305	1	11
ENSG00000279906	ENSMODG00000029481	6	11
ENSG00000279906	ENSMODG00000029523	5	11
ENSG00000279906	ENSMODG00000028297	2	11
ENSG00000279906	ENSMODG00000029719	3	11
ENSG00000279906	ENSMODG00000027707	4	11
ENSG00000279906	ENSMODG00000029729	8	11
ENSG00000279906	ENSMODG00000029024	2	11
ENSG00000279906	ENSMODG00000029786	5	11
ENSG00000279906	ENSMODG00000027797	6	11
ENSG00000279906	ENSMODG00000028710	3	11
ENSG00000279906	ENSMODG00000029168	6	11
ENSG00000279906	ENSMODG00000027958	1	11
ENSG00000279906	ENSMODG00000029437	1	11
ENSG00000279906	ENSMODG00000028664	6	11
ENSG00000279906	ENSMODG00000028649	2	11
ENSG00000279906	ENSMODG00000027889	8	11
ENSG00000279906	ENSMODG00000028936	2	11
ENSG00000279906	ENSMODG00000028032	5	11
ENSG00000279906	ENSMODG00000028126	8	11
ENSG00000279906	ENSMODG00000028568	7	11
ENSG00000279906	ENSMODG00000028960	6	11
ENSG00000279906	ENSMODG00000027396	5	11
ENSG00000279906	ENSMODG00000029313	7	11
ENSG00000279906	ENSMODG00000028183	2	11
ENSG00000279906	ENSMODG00000029474	6	11
ENSG00000279906	ENSMODG00000027881	3	11
ENSG00000279906	ENSMODG00000029077	1	11
ENSG00000279906	ENSMODG00000027545	4	11
ENSG00000279906	ENSMODG00000029018	5	11
ENSG00000279906	ENSMODG00000029178	4	11
ENSG00000279906	ENSMODG00000029673	4	11
ENSG00000279906	ENSMODG00000029454	4	11
ENSG00000279906	ENSMODG00000028275	3	11
ENSG00000279906	ENSMODG00000029369	7	11
ENSG00000279906	ENSMODG00000027672	5	11
ENSG00000279906	ENSMODG00000028782	1	11
ENSG00000279906	ENSMODG00000028184	7	11
ENSG00000130313	ENSMODG00000004396	3	19
ENSG00000201499	ENSMODG00000026876	5	2
ENSG00000067082	ENSMODG00000006714	8	10
ENSG00000182809	ENSMODG00000014642	1	14
ENSG00000064309	ENSMODG00000004499	4	11
ENSG00000111704	ENSMODG00000017979	8	12
ENSG00000252118	ENSMODG00000026717	7	10
ENSG00000252118	ENSMODG00000026319	1	10
ENSG00000276138	ENSMODG00000022219	3	22
ENSG00000276138	ENSMODG00000021869	4	22
ENSG00000276138	ENSMODG00000022051	4	22
ENSG00000276138	ENSMODG00000026999	6	22
ENSG00000276138	ENSMODG00000027114	5	22
ENSG00000276138	ENSMODG00000021811	X	22
ENSG00000276138	ENSMODG00000022483	3	22
ENSG00000276138	ENSMODG00000026958	7	22
ENSG00000207410	ENSMODG00000021859	4	17
ENSG00000277761	ENSMODG00000023887	1	KI270728.1
ENSG00000011451	ENSMODG00000014589	3	19
ENSG00000165322	ENSMODG00000007821	8	10
ENSG00000132591	ENSMODG00000019305	2	17
ENSG00000158158	ENSMODG00000016026	1	2
ENSG00000156345	ENSMODG00000010092	X	9
ENSG00000128581	ENSMODG00000013419	2	7
ENSG00000130396	ENSMODG00000028311	4	6
ENSG00000176920	ENSMODG00000004120	4	19
ENSG00000087095	ENSMODG00000019231	2	17
ENSG00000179832	ENSMODG00000010565	3	8
ENSG00000115297	ENSMODG00000004894	5	2
ENSG00000153214	ENSMODG00000006649	1	2
ENSG00000141447	ENSMODG00000021505	3	18
ENSG00000199492	ENSMODG00000026715	2	17
ENSG00000199492	ENSMODG00000026674	2	17
ENSG00000199492	ENSMODG00000027022	8	17
ENSG00000199492	ENSMODG00000026525	7	17
ENSG00000128335	ENSMODG00000001125	8	22
ENSG00000128335	ENSMODG00000024931	8	22
ENSG00000197724	ENSMODG00000008768	6	9
ENSG00000206950	ENSMODG00000026620	2	8
ENSG00000206950	ENSMODG00000026693	2	8
ENSG00000167397	ENSMODG00000001812	6	16
ENSG00000091592	ENSMODG00000008879	4	17
ENSG00000252897	ENSMODG00000027073	8	2
ENSG00000270339	ENSMODG00000015007	X	1
ENSG00000136286	ENSMODG00000014320	6	7
ENSG00000275143	ENSMODG00000026957	2	17
ENSG00000184357	ENSMODG00000023582	2	6
ENSG00000184357	ENSMODG00000028015	2	6
ENSG00000221514	ENSMODG00000026355	1	16
ENSG00000223044	ENSMODG00000021716	1	6
ENSG00000199695	ENSMODG00000022978	8	22
ENSG00000199695	ENSMODG00000022225	4	22
ENSG00000222588	ENSMODG00000026833	1	10
ENSG00000115112	ENSMODG00000000229	4	2
ENSG00000215712	ENSMODG00000023277	2	6
ENSG00000148377	ENSMODG00000005987	8	10
ENSG00000108946	ENSMODG00000004452	2	17
ENSG00000076924	ENSMODG00000015022	3	19
ENSG00000111046	ENSMODG00000020477	8	12
ENSG00000182652	ENSMODG00000007658	1	14
ENSG00000188000	ENSMODG00000014469	3	19
ENSG00000188000	ENSMODG00000023840	3	19
ENSG00000188000	ENSMODG00000023843	3	19
ENSG00000188000	ENSMODG00000023783	3	19
ENSG00000188000	ENSMODG00000007234	3	19
ENSG00000188000	ENSMODG00000023780	3	19
ENSG00000188000	ENSMODG00000007347	3	19
ENSG00000188000	ENSMODG00000007250	3	19
ENSG00000188000	ENSMODG00000007238	3	19
ENSG00000188000	ENSMODG00000023839	3	19
ENSG00000188000	ENSMODG00000023837	3	19
ENSG00000188000	ENSMODG00000023779	3	19
ENSG00000188000	ENSMODG00000023785	3	19
ENSG00000188000	ENSMODG00000023782	3	19
ENSG00000188000	ENSMODG00000025635	3	19
ENSG00000188000	ENSMODG00000023781	3	19
ENSG00000188000	ENSMODG00000023844	3	19
ENSG00000147873	ENSMODG00000003683	6	9
ENSG00000147873	ENSMODG00000003707	6	9
ENSG00000147873	ENSMODG00000025163	6	9
ENSG00000147873	ENSMODG00000003667	6	9
ENSG00000198369	ENSMODG00000003380	1	2
ENSG00000023697	ENSMODG00000017903	8	12
ENSG00000122986	ENSMODG00000011536	3	12
ENSG00000173482	ENSMODG00000021453	3	18
ENSG00000151065	ENSMODG00000018424	8	12
ENSG00000205937	ENSMODG00000015891	6	16
ENSG00000189023	ENSMODG00000011382	X	X
ENSG00000189023	ENSMODG00000016736	8	X
ENSG00000156928	ENSMODG00000001030	8	7
ENSG00000023902	ENSMODG00000018772	2	1
ENSG00000204193	ENSMODG00000003635	6	9
ENSG00000158270	ENSMODG00000021481	3	18
ENSG00000137497	ENSMODG00000008131	4	11
ENSG00000092345	ENSMODG00000014730	8	3
ENSG00000116991	ENSMODG00000008745	2	1
ENSG00000062370	ENSMODG00000024125	5	19
ENSG00000062370	ENSMODG00000022671	Un	19
ENSG00000062370	ENSMODG00000023647	3	19
ENSG00000062370	ENSMODG00000023031	1	19
ENSG00000160613	ENSMODG00000013739	4	11
ENSG00000168795	ENSMODG00000025213	6	9
ENSG00000171509	ENSMODG00000001973	5	4
ENSG00000243649	ENSMODG00000015093	2	6
ENSG00000186439	ENSMODG00000017725	2	6
ENSG00000181904	ENSMODG00000014344	1	5
ENSG00000095397	ENSMODG00000019572	1	9
ENSG00000067955	ENSMODG00000006352	1	16
ENSG00000237190	ENSMODG00000023877	1	5
ENSG00000204257	ENSMODG00000029544	2	6
ENSG00000126070	ENSMODG00000017869	4	1
ENSG00000252431	ENSMODG00000026765	1	6
ENSG00000252431	ENSMODG00000027163	2	6
ENSG00000252431	ENSMODG00000026033	6	6
ENSG00000252431	ENSMODG00000026511	2	6
ENSG00000252431	ENSMODG00000027230	3	6
ENSG00000184058	ENSMODG00000021176	Un	22
ENSG00000252016	ENSMODG00000027276	6	X
ENSG00000185608	ENSMODG00000010070	3	22
ENSG00000185697	ENSMODG00000007964	3	8
ENSG00000175768	ENSMODG00000002903	6	9
ENSG00000226887	ENSMODG00000028733	5	4
ENSG00000126231	ENSMODG00000003968	7	13
ENSG00000257341	ENSMODG00000014633	1	14
ENSG00000102900	ENSMODG00000013408	1	16
ENSG00000145391	ENSMODG00000000122	5	4
ENSG00000143006	ENSMODG00000000424	2	1
ENSG00000161048	ENSMODG00000017219	8	7
ENSG00000228672	ENSMODG00000023788	1	5
ENSG00000135679	ENSMODG00000007219	8	12
ENSG00000176383	ENSMODG00000012186	3	12
ENSG00000259207	ENSMODG00000010872	2	17
ENSG00000184371	ENSMODG00000001827	2	1
ENSG00000132964	ENSMODG00000008753	4	13
ENSG00000198589	ENSMODG00000000916	5	4
ENSG00000150676	ENSMODG00000004311	4	11
ENSG00000179051	ENSMODG00000002653	4	1
ENSG00000143816	ENSMODG00000013820	6	1
ENSG00000122180	ENSMODG00000001009	2	1
ENSG00000135951	ENSMODG00000001318	7	2
ENSG00000165494	ENSMODG00000004498	4	11
ENSG00000156875	ENSMODG00000003687	2	1
ENSG00000152465	ENSMODG00000010083	8	10
ENSG00000164306	ENSMODG00000004526	5	4
ENSG00000145632	ENSMODG00000019560	3	5
ENSG00000174738	ENSMODG00000014892	8	3
ENSG00000174326	ENSMODG00000027461	2	17
ENSG00000258830	ENSMODG00000019019	Un	12
ENSG00000141027	ENSMODG00000011198	2	17
ENSG00000141314	ENSMODG00000019180	2	17
ENSG00000065923	ENSMODG00000000479	7	X
ENSG00000277363	ENSMODG00000012577	2	17
ENSG00000135862	ENSMODG00000007005	2	1
ENSG00000177570	ENSMODG00000004068	3	8
ENSG00000197980	ENSMODG00000027386	7	3
ENSG00000245848	ENSMODG00000012162	1	19
ENSG00000009950	ENSMODG00000013783	2	7
ENSG00000146385	ENSMODG00000023314	2	6
ENSG00000146385	ENSMODG00000023318	2	6
ENSG00000146385	ENSMODG00000023317	2	6
ENSG00000207098	ENSMODG00000026489	X	21
ENSG00000183379	ENSMODG00000024016	1	14
ENSG00000215788	ENSMODG00000006096	4	1
ENSG00000172156	ENSMODG00000019162	2	17
ENSG00000172156	ENSMODG00000019157	2	17
ENSG00000172156	ENSMODG00000019159	2	17
ENSG00000172361	ENSMODG00000003773	3	18
ENSG00000137509	ENSMODG00000004541	4	11
ENSG00000160447	ENSMODG00000006395	1	9
ENSG00000153066	ENSMODG00000005007	6	16
ENSG00000178201	ENSMODG00000005144	Un	19
ENSG00000178201	ENSMODG00000018001	8	19
ENSG00000178201	ENSMODG00000008424	4	19
ENSG00000178201	ENSMODG00000008467	4	19
ENSG00000178201	ENSMODG00000018037	8	19
ENSG00000178201	ENSMODG00000008398	4	19
ENSG00000178201	ENSMODG00000017998	8	19
ENSG00000178201	ENSMODG00000008444	4	19
ENSG00000125863	ENSMODG00000004860	1	20
ENSG00000115525	ENSMODG00000009287	1	2
ENSG00000154945	ENSMODG00000012727	2	17
ENSG00000165782	ENSMODG00000007108	1	14
ENSG00000078589	ENSMODG00000022865	X	X
ENSG00000203697	ENSMODG00000005003	2	1
ENSG00000173261	ENSMODG00000010239	1	5
ENSG00000179886	ENSMODG00000011207	3	8
ENSG00000175104	ENSMODG00000019837	5	11
ENSG00000052850	ENSMODG00000019869	5	11
ENSG00000197405	ENSMODG00000008857	4	19
ENSG00000140323	ENSMODG00000000475	1	15
ENSG00000111269	ENSMODG00000001452	Un	12
ENSG00000111269	ENSMODG00000027835	8	12
ENSG00000189403	ENSMODG00000004606	1	13
ENSG00000153879	ENSMODG00000023494	1	19
ENSG00000175155	ENSMODG00000014585	2	17
ENSG00000123329	ENSMODG00000011695	X	12
ENSG00000123329	ENSMODG00000025365	X	12
ENSG00000136371	ENSMODG00000019430	1	15
ENSG00000136371	ENSMODG00000025215	1	15
ENSG00000144410	ENSMODG00000015987	7	2
ENSG00000196865	ENSMODG00000009852	1	10
ENSG00000211670	ENSMODG00000013969	3	22
ENSG00000211670	ENSMODG00000013971	3	22
ENSG00000182552	ENSMODG00000024015	8	4
ENSG00000182552	ENSMODG00000004223	5	4
ENSG00000110801	ENSMODG00000012147	3	12
ENSG00000111344	ENSMODG00000003383	3	12
ENSG00000185033	ENSMODG00000019513	1	15
ENSG00000128710	ENSMODG00000009577	4	2
ENSG00000182901	ENSMODG00000007084	2	1
