Mouse	ChrMouse	Platypus	ChrPlatypus
ENSMUSG00000018507	11	ENSOANG00000012689	Ultra69
ENSMUSG00000018509	11	ENSOANG00000012687	Ultra69
ENSMUSG00000018537	11	ENSOANG00000022713	Contig44717
ENSMUSG00000018541	11	ENSOANG00000001231	Contig5953
ENSMUSG00000018543	11	ENSOANG00000030527	Contig5953
ENSMUSG00000018565	11	ENSOANG00000031574	Contig41763
ENSMUSG00000018566	11	ENSOANG00000029633	Contig35213
ENSMUSG00000018570	11	ENSOANG00000020774	Ultra148
ENSMUSG00000018572	11	ENSOANG00000031224	Contig63386
ENSMUSG00000018574	11	ENSOANG00000008230	Contig20649
ENSMUSG00000018581	12	ENSOANG00000011810	Ultra65
ENSMUSG00000018589	X	ENSOANG00000002603	Ultra462
ENSMUSG00000018593	11	ENSOANG00000005112	X1
ENSMUSG00000018595	X	ENSOANG00000004228	Ultra519
ENSMUSG00000018599	11	ENSOANG00000009872	2
ENSMUSG00000018604	5	ENSOANG00000007095	Ultra242
ENSMUSG00000018623	9	ENSOANG00000010485	Ultra192
ENSMUSG00000018634	11	ENSOANG00000000266	Contig20329
ENSMUSG00000018648	11	ENSOANG00000007135	Ultra9
ENSMUSG00000018651	11	ENSOANG00000028244	Contig30815
ENSMUSG00000018654	11	ENSOANG00000000286	4
ENSMUSG00000018659	11	ENSOANG00000013451	Contig30655
ENSMUSG00000018661	11	ENSOANG00000009570	Contig1435
ENSMUSG00000018666	11	ENSOANG00000004199	Contig4661
ENSMUSG00000018669	11	ENSOANG00000013386	Contig22848
ENSMUSG00000018697	11	ENSOANG00000011510	Ultra9
ENSMUSG00000018727	11	ENSOANG00000009568	Contig1435
ENSMUSG00000018733	11	ENSOANG00000029914	Contig22580
ENSMUSG00000018740	11	ENSOANG00000021676	Contig12287
ENSMUSG00000018765	11	ENSOANG00000005646	Contig16300
ENSMUSG00000018770	2	ENSOANG00000008613	Ultra514
ENSMUSG00000018776	11	ENSOANG00000003302	Contig11955
ENSMUSG00000018796	8	ENSOANG00000010805	Contig2827
ENSMUSG00000018800	11	ENSOANG00000008073	Ultra288
ENSMUSG00000018809	11	ENSOANG00000010879	Ultra43
ENSMUSG00000018820	19	ENSOANG00000006007	Contig3847
ENSMUSG00000018822	19	ENSOANG00000006008	Contig3847
ENSMUSG00000018830	16	ENSOANG00000005134	Ultra102
ENSMUSG00000018846	11	ENSOANG00000007809	X1
ENSMUSG00000018848	11	ENSOANG00000007814	X1
ENSMUSG00000018858	11	ENSOANG00000007032	Contig4120
ENSMUSG00000018861	11	ENSOANG00000012587	Ultra428
ENSMUSG00000018862	11	ENSOANG00000004377	Contig12618
ENSMUSG00000018865	15	ENSOANG00000009629	Contig25599
ENSMUSG00000018882	11	ENSOANG00000031559	Contig14936
ENSMUSG00000018893	15	ENSOANG00000010874	Contig978
ENSMUSG00000018899	11	ENSOANG00000010695	Ultra457
ENSMUSG00000018906	11	ENSOANG00000005598	Ultra418
ENSMUSG00000018909	7	ENSOANG00000029737	Contig25831
ENSMUSG00000018919	11	ENSOANG00000002364	Contig57639
ENSMUSG00000018920	11	ENSOANG00000007582	Contig24370
ENSMUSG00000018921	11	ENSOANG00000028367	Contig30486
ENSMUSG00000018931	11	ENSOANG00000007733	2
ENSMUSG00000018932	11	ENSOANG00000007732	2
ENSMUSG00000018965	5	ENSOANG00000003572	Ultra212
ENSMUSG00000018995	7	ENSOANG00000001381	Contig14383
ENSMUSG00000018999	6	ENSOANG00000011481	10
ENSMUSG00000019039	9	ENSOANG00000010909	Ultra32
ENSMUSG00000019066	9	ENSOANG00000029262	Contig23598
ENSMUSG00000019080	15	ENSOANG00000003525	Contig341
ENSMUSG00000019087	X	ENSOANG00000004067	Contig14089
ENSMUSG00000019088	X	ENSOANG00000031824	Contig7533
ENSMUSG00000019102	11	ENSOANG00000012709	Ultra69
ENSMUSG00000019124	6	ENSOANG00000014379	Ultra231
ENSMUSG00000019132	13	ENSOANG00000011124	Contig195
ENSMUSG00000019139	8	ENSOANG00000031278	Contig32960
ENSMUSG00000019146	15	ENSOANG00000012849	Ultra169
ENSMUSG00000019178	5	ENSOANG00000010174	Contig15054
ENSMUSG00000019179	5	ENSOANG00000001378	Contig10367
ENSMUSG00000019188	2	ENSOANG00000002243	Contig60228
ENSMUSG00000019189	11	ENSOANG00000012337	X1
ENSMUSG00000019230	1	ENSOANG00000002003	4
ENSMUSG00000019254	7	ENSOANG00000031157	Contig32116
ENSMUSG00000019256	12	ENSOANG00000009611	Ultra65
ENSMUSG00000019261	8	ENSOANG00000007438	Contig5428
ENSMUSG00000019278	8	ENSOANG00000004832	11
ENSMUSG00000019295	5	ENSOANG00000009785	Contig5370
ENSMUSG00000019302	11	ENSOANG00000031204	Contig34751
ENSMUSG00000019303	11	ENSOANG00000030084	Contig62776
ENSMUSG00000019312	11	ENSOANG00000005689	Contig24429
ENSMUSG00000019320	17	ENSOANG00000009821	Contig21598
ENSMUSG00000019373	11	ENSOANG00000001262	2
ENSMUSG00000019429	7	ENSOANG00000014494	Contig21033
ENSMUSG00000019432	17	ENSOANG00000008361	Contig14117
ENSMUSG00000019433	8	ENSOANG00000003638	Contig36069
ENSMUSG00000019437	11	ENSOANG00000009559	Ultra497
ENSMUSG00000019461	11	ENSOANG00000030666	Contig94233
ENSMUSG00000019464	8	ENSOANG00000015204	Contig26326
ENSMUSG00000019471	9	ENSOANG00000013393	Contig20777
ENSMUSG00000019478	8	ENSOANG00000001827	Contig16618
ENSMUSG00000019487	17	ENSOANG00000006093	Ultra75
ENSMUSG00000019528	3	ENSOANG00000020607	1
ENSMUSG00000019539	7	ENSOANG00000004103	Contig20719
ENSMUSG00000019564	10	ENSOANG00000012252	Ultra266
ENSMUSG00000019577	6	ENSOANG00000014566	Contig5885
ENSMUSG00000019579	17	ENSOANG00000007044	Contig18377
ENSMUSG00000019647	18	ENSOANG00000008223	X5
ENSMUSG00000019659	9	ENSOANG00000004263	Contig13416
ENSMUSG00000019689	6	ENSOANG00000011083	Ultra380
ENSMUSG00000019699	1	ENSOANG00000010258	Ultra67
ENSMUSG00000019715	2	ENSOANG00000011987	Contig1767
ENSMUSG00000019718	12	ENSOANG00000011846	Contig214
ENSMUSG00000019726	13	ENSOANG00000001216	Ultra461
ENSMUSG00000019731	8	ENSOANG00000011239	Contig16925
ENSMUSG00000019732	8	ENSOANG00000007243	Ultra493
ENSMUSG00000019734	7	ENSOANG00000003006	Contig20274
ENSMUSG00000019737	7	ENSOANG00000003716	Ultra613
ENSMUSG00000019761	11	ENSOANG00000002899	Contig607
ENSMUSG00000019762	10	ENSOANG00000001070	3
ENSMUSG00000019763	10	ENSOANG00000003327	3
ENSMUSG00000019767	10	ENSOANG00000003330	3
ENSMUSG00000019768	10	ENSOANG00000015561	3
ENSMUSG00000019772	10	ENSOANG00000003593	2
ENSMUSG00000019774	10	ENSOANG00000003594	2
ENSMUSG00000019775	10	ENSOANG00000003595	2
ENSMUSG00000019777	10	ENSOANG00000003631	Contig12158
ENSMUSG00000019782	10	ENSOANG00000030664	Contig23797
ENSMUSG00000019785	10	ENSOANG00000013790	Ultra293
ENSMUSG00000019787	10	ENSOANG00000013791	Ultra293
ENSMUSG00000019789	10	ENSOANG00000022119	Contig18818
ENSMUSG00000019790	10	ENSOANG00000012319	3
ENSMUSG00000019791	10	ENSOANG00000020124	2
ENSMUSG00000019792	10	ENSOANG00000002151	2
ENSMUSG00000019794	10	ENSOANG00000001065	3
ENSMUSG00000019795	10	ENSOANG00000001066	3
ENSMUSG00000019796	10	ENSOANG00000001069	3
ENSMUSG00000019797	10	ENSOANG00000000784	Ultra339
ENSMUSG00000019802	10	ENSOANG00000000777	Ultra339
ENSMUSG00000019803	10	ENSOANG00000000775	Ultra339
ENSMUSG00000019804	10	ENSOANG00000000772	Ultra339
ENSMUSG00000019806	10	ENSOANG00000007665	2
ENSMUSG00000019808	10	ENSOANG00000020678	Contig26130
ENSMUSG00000019809	10	ENSOANG00000007664	2
ENSMUSG00000019810	10	ENSOANG00000007663	2
ENSMUSG00000019813	10	ENSOANG00000003146	Contig5742
ENSMUSG00000019814	10	ENSOANG00000003422	Contig6093
ENSMUSG00000019815	10	ENSOANG00000003423	Contig6093
ENSMUSG00000019817	10	ENSOANG00000014866	2
ENSMUSG00000019818	10	ENSOANG00000021217	Ultra245
ENSMUSG00000019823	10	ENSOANG00000002177	Contig19962
ENSMUSG00000019826	10	ENSOANG00000000926	Ultra483
ENSMUSG00000019828	10	ENSOANG00000001977	2
ENSMUSG00000019831	10	ENSOANG00000000937	Ultra483
ENSMUSG00000019832	10	ENSOANG00000005172	Ultra626
ENSMUSG00000019834	10	ENSOANG00000029859	Contig28253
ENSMUSG00000019838	10	ENSOANG00000000636	Ultra330
ENSMUSG00000019842	10	ENSOANG00000013378	Contig15376
ENSMUSG00000019843	10	ENSOANG00000012162	Ultra330
ENSMUSG00000019845	10	ENSOANG00000011589	Ultra330
ENSMUSG00000019846	10	ENSOANG00000011587	Ultra330
ENSMUSG00000019848	10	ENSOANG00000004179	Ultra542
ENSMUSG00000019849	10	ENSOANG00000004177	Ultra542
ENSMUSG00000019850	10	ENSOANG00000014797	2
ENSMUSG00000019851	10	ENSOANG00000014798	2
ENSMUSG00000019852	10	ENSOANG00000014799	2
ENSMUSG00000019853	10	ENSOANG00000020184	2
ENSMUSG00000019857	10	ENSOANG00000008809	Ultra147
ENSMUSG00000019861	10	ENSOANG00000003691	Contig3579
ENSMUSG00000019863	10	ENSOANG00000003897	Ultra339
ENSMUSG00000019864	10	ENSOANG00000003898	Ultra339
ENSMUSG00000019865	10	ENSOANG00000000271	2
ENSMUSG00000019866	10	ENSOANG00000003899	Ultra339
ENSMUSG00000019867	10	ENSOANG00000000272	2
ENSMUSG00000019868	10	ENSOANG00000005284	2
ENSMUSG00000019872	10	ENSOANG00000011942	Contig5301
ENSMUSG00000019873	10	ENSOANG00000030534	3
ENSMUSG00000019877	10	ENSOANG00000014663	2
ENSMUSG00000019878	10	ENSOANG00000014662	2
ENSMUSG00000019880	10	ENSOANG00000013242	2
ENSMUSG00000019883	10	ENSOANG00000013240	2
ENSMUSG00000019888	10	ENSOANG00000006644	Ultra443
ENSMUSG00000019889	10	ENSOANG00000015221	Ultra374
ENSMUSG00000019890	10	ENSOANG00000006645	Ultra443
ENSMUSG00000019891	10	ENSOANG00000019847	Contig51676
ENSMUSG00000019892	10	ENSOANG00000006648	Ultra443
ENSMUSG00000019893	10	ENSOANG00000012474	Contig784
ENSMUSG00000019894	10	ENSOANG00000006324	Ultra443
ENSMUSG00000019899	10	ENSOANG00000006816	Ultra374
ENSMUSG00000019900	10	ENSOANG00000020392	Contig784
ENSMUSG00000019906	10	ENSOANG00000028575	Ultra119
ENSMUSG00000019913	10	ENSOANG00000008943	Ultra542
ENSMUSG00000019916	10	ENSOANG00000001125	3
ENSMUSG00000019920	10	ENSOANG00000004133	Contig2119
ENSMUSG00000019927	10	ENSOANG00000004612	Ultra217
ENSMUSG00000019929	10	ENSOANG00000006630	Ultra443
ENSMUSG00000019932	10	ENSOANG00000006632	Ultra443
ENSMUSG00000019935	10	ENSOANG00000005584	Ultra443
ENSMUSG00000019936	10	ENSOANG00000006633	Ultra443
ENSMUSG00000019942	10	ENSOANG00000004413	3
ENSMUSG00000019943	10	ENSOANG00000006634	Ultra443
ENSMUSG00000019944	10	ENSOANG00000004414	3
ENSMUSG00000019945	10	ENSOANG00000021714	3
ENSMUSG00000019947	10	ENSOANG00000015260	3
ENSMUSG00000019948	10	ENSOANG00000028271	Contig41942
ENSMUSG00000019951	10	ENSOANG00000005589	Ultra443
ENSMUSG00000019952	10	ENSOANG00000006637	Ultra443
ENSMUSG00000019960	10	ENSOANG00000006638	Ultra443
ENSMUSG00000019961	10	ENSOANG00000005595	Ultra443
ENSMUSG00000019966	10	ENSOANG00000006639	Ultra443
ENSMUSG00000019970	10	ENSOANG00000013095	Ultra520
ENSMUSG00000019975	10	ENSOANG00000005593	Ultra443
ENSMUSG00000019978	10	ENSOANG00000010197	Ultra520
ENSMUSG00000019979	10	ENSOANG00000005592	Ultra443
ENSMUSG00000019982	10	ENSOANG00000002777	Ultra92
ENSMUSG00000019984	10	ENSOANG00000010194	Ultra520
ENSMUSG00000019987	10	ENSOANG00000010195	Ultra520
ENSMUSG00000019988	10	ENSOANG00000006600	Ultra443
ENSMUSG00000019989	10	ENSOANG00000029655	Contig45227
ENSMUSG00000019990	10	ENSOANG00000009441	Ultra92
ENSMUSG00000019992	10	ENSOANG00000009442	Ultra92
ENSMUSG00000019996	10	ENSOANG00000009448	Ultra92
ENSMUSG00000019997	10	ENSOANG00000010189	Ultra520
ENSMUSG00000019998	10	ENSOANG00000010187	Ultra520
ENSMUSG00000020003	10	ENSOANG00000011627	Contig1959
ENSMUSG00000020007	10	ENSOANG00000005257	2
ENSMUSG00000020009	10	ENSOANG00000005255	2
ENSMUSG00000020014	10	ENSOANG00000006603	Ultra443
ENSMUSG00000020015	10	ENSOANG00000006604	Ultra443
ENSMUSG00000020017	10	ENSOANG00000006609	Ultra443
ENSMUSG00000020018	10	ENSOANG00000006612	Ultra443
ENSMUSG00000020019	10	ENSOANG00000006613	Ultra443
ENSMUSG00000020020	10	ENSOANG00000006614	Ultra443
ENSMUSG00000020021	10	ENSOANG00000006616	Ultra443
ENSMUSG00000020022	10	ENSOANG00000006618	Ultra443
ENSMUSG00000020023	10	ENSOANG00000006619	Ultra443
ENSMUSG00000020024	10	ENSOANG00000006620	Ultra443
ENSMUSG00000020032	10	ENSOANG00000005541	Ultra443
ENSMUSG00000020034	10	ENSOANG00000005538	Ultra443
ENSMUSG00000020038	10	ENSOANG00000005530	Ultra443
ENSMUSG00000020044	10	ENSOANG00000005518	Ultra443
ENSMUSG00000020048	10	ENSOANG00000005554	Ultra443
ENSMUSG00000020051	10	ENSOANG00000005563	Ultra443
ENSMUSG00000020052	10	ENSOANG00000013973	Contig107090
ENSMUSG00000020053	10	ENSOANG00000005566	Ultra443
ENSMUSG00000020056	10	ENSOANG00000005571	Ultra443
ENSMUSG00000020057	10	ENSOANG00000005572	Ultra443
ENSMUSG00000020061	10	ENSOANG00000005576	Ultra443
ENSMUSG00000020062	10	ENSOANG00000005579	Ultra443
ENSMUSG00000020064	10	ENSOANG00000004618	Ultra217
ENSMUSG00000020067	10	ENSOANG00000030086	Contig28135
ENSMUSG00000020069	10	ENSOANG00000002260	Contig6322
ENSMUSG00000020072	10	ENSOANG00000020345	Ultra660
ENSMUSG00000020075	10	ENSOANG00000004777	Contig2241
ENSMUSG00000020076	10	ENSOANG00000004776	Contig2241
ENSMUSG00000020077	10	ENSOANG00000003008	Contig5681
ENSMUSG00000020078	10	ENSOANG00000004188	Ultra736
ENSMUSG00000020079	10	ENSOANG00000008886	Contig1129
ENSMUSG00000020080	10	ENSOANG00000029122	Contig33255
ENSMUSG00000020081	10	ENSOANG00000008889	Contig1129
ENSMUSG00000020083	10	ENSOANG00000000835	Ultra287
ENSMUSG00000020085	10	ENSOANG00000012147	Ultra287
ENSMUSG00000020086	10	ENSOANG00000012146	Ultra287
ENSMUSG00000020088	10	ENSOANG00000012148	Ultra287
ENSMUSG00000020089	10	ENSOANG00000012149	Ultra287
ENSMUSG00000020090	10	ENSOANG00000012150	Ultra287
ENSMUSG00000020092	10	ENSOANG00000008289	Contig6801
ENSMUSG00000020096	10	ENSOANG00000002656	Contig4573
ENSMUSG00000020097	10	ENSOANG00000011007	Ultra28
ENSMUSG00000020098	10	ENSOANG00000030333	Ultra28
ENSMUSG00000020099	10	ENSOANG00000004338	Ultra28
ENSMUSG00000020101	10	ENSOANG00000011744	Contig677
ENSMUSG00000020102	10	ENSOANG00000009924	Contig829
ENSMUSG00000020105	10	ENSOANG00000007758	2
ENSMUSG00000020107	10	ENSOANG00000003076	Contig1606
ENSMUSG00000020108	10	ENSOANG00000003075	Contig1606
ENSMUSG00000020109	10	ENSOANG00000031022	Contig100421
ENSMUSG00000020111	10	ENSOANG00000001130	3
ENSMUSG00000020114	10	ENSOANG00000005930	Ultra124
ENSMUSG00000020115	10	ENSOANG00000009917	Ultra31
ENSMUSG00000020116	11	ENSOANG00000008388	Ultra56
ENSMUSG00000020122	11	ENSOANG00000010685	Contig48
ENSMUSG00000020123	10	ENSOANG00000002085	Contig11199
ENSMUSG00000020124	10	ENSOANG00000030718	Contig25687
ENSMUSG00000020125	10	ENSOANG00000006820	Contig27821
ENSMUSG00000020128	11	ENSOANG00000012428	Ultra56
ENSMUSG00000020130	10	ENSOANG00000014716	Ultra124
ENSMUSG00000020131	10	ENSOANG00000004488	Contig11351
ENSMUSG00000020133	10	ENSOANG00000005274	Contig6555
ENSMUSG00000020134	11	ENSOANG00000012431	Ultra56
ENSMUSG00000020135	10	ENSOANG00000030574	Contig78319
ENSMUSG00000020137	10	ENSOANG00000031293	Contig15600
ENSMUSG00000020140	10	ENSOANG00000003010	Ultra124
ENSMUSG00000020149	11	ENSOANG00000012438	Ultra56
ENSMUSG00000020150	10	ENSOANG00000014631	Ultra23
ENSMUSG00000020151	10	ENSOANG00000005963	Ultra124
ENSMUSG00000020152	11	ENSOANG00000012439	Ultra56
ENSMUSG00000020153	10	ENSOANG00000014630	Ultra23
ENSMUSG00000020154	10	ENSOANG00000005962	Ultra124
ENSMUSG00000020155	11	ENSOANG00000007801	X1
ENSMUSG00000020159	11	ENSOANG00000007799	X1
ENSMUSG00000020160	11	ENSOANG00000012441	Ultra56
ENSMUSG00000020163	10	ENSOANG00000003834	Ultra704
ENSMUSG00000020166	10	ENSOANG00000005959	Ultra124
ENSMUSG00000020167	10	ENSOANG00000014335	Contig6681
ENSMUSG00000020169	10	ENSOANG00000005956	Ultra124
ENSMUSG00000020170	10	ENSOANG00000005947	Ultra124
ENSMUSG00000020171	10	ENSOANG00000005946	Ultra124
ENSMUSG00000020173	11	ENSOANG00000000282	4
ENSMUSG00000020175	10	ENSOANG00000000325	Ultra149
ENSMUSG00000020176	11	ENSOANG00000000283	4
ENSMUSG00000020180	10	ENSOANG00000002463	Ultra149
ENSMUSG00000020182	11	ENSOANG00000000284	4
ENSMUSG00000020183	10	ENSOANG00000005943	Ultra124
ENSMUSG00000020184	10	ENSOANG00000005942	Ultra124
ENSMUSG00000020185	10	ENSOANG00000007449	Ultra127
ENSMUSG00000020186	10	ENSOANG00000007447	Ultra127
ENSMUSG00000020190	10	ENSOANG00000029491	Contig30388
ENSMUSG00000020191	11	ENSOANG00000000288	4
ENSMUSG00000020193	11	ENSOANG00000000287	4
ENSMUSG00000020196	10	ENSOANG00000002180	Contig12763
ENSMUSG00000020198	10	ENSOANG00000028623	Contig33666
ENSMUSG00000020211	10	ENSOANG00000013649	Contig17991
ENSMUSG00000020212	10	ENSOANG00000005935	Ultra124
ENSMUSG00000020218	10	ENSOANG00000005916	Ultra124
ENSMUSG00000020220	4	ENSOANG00000006103	Contig459
ENSMUSG00000020224	10	ENSOANG00000005921	Ultra124
ENSMUSG00000020225	10	ENSOANG00000005922	Ultra124
ENSMUSG00000020227	10	ENSOANG00000005923	Ultra124
ENSMUSG00000020230	10	ENSOANG00000013551	Contig273
ENSMUSG00000020231	10	ENSOANG00000013554	Contig273
ENSMUSG00000020232	10	ENSOANG00000013515	Contig12797
ENSMUSG00000020234	10	ENSOANG00000015682	Contig17092
ENSMUSG00000020235	10	ENSOANG00000030591	Contig34673
ENSMUSG00000020238	10	ENSOANG00000003212	Contig13767
ENSMUSG00000020241	10	ENSOANG00000013567	Contig273
ENSMUSG00000020246	10	ENSOANG00000005549	Ultra443
ENSMUSG00000020248	10	ENSOANG00000005548	Ultra443
ENSMUSG00000020250	10	ENSOANG00000005546	Ultra443
ENSMUSG00000020253	9	ENSOANG00000004965	Contig46398
ENSMUSG00000020255	10	ENSOANG00000001805	Ultra443
ENSMUSG00000020256	10	ENSOANG00000001804	Ultra443
ENSMUSG00000020257	9	ENSOANG00000013610	Contig4951
ENSMUSG00000020258	9	ENSOANG00000013690	Contig26295
ENSMUSG00000020260	10	ENSOANG00000012784	Ultra489
ENSMUSG00000020261	11	ENSOANG00000005116	X1
ENSMUSG00000020262	10	ENSOANG00000012491	Ultra489
ENSMUSG00000020263	10	ENSOANG00000005542	Ultra443
ENSMUSG00000020265	10	ENSOANG00000014858	Contig8870
ENSMUSG00000020271	11	ENSOANG00000007791	X1
ENSMUSG00000020272	11	ENSOANG00000010949	Contig3410
ENSMUSG00000020273	11	ENSOANG00000012403	Ultra56
ENSMUSG00000020275	11	ENSOANG00000012405	Ultra56
ENSMUSG00000020277	10	ENSOANG00000015577	7
ENSMUSG00000020279	11	ENSOANG00000029632	Contig15454
ENSMUSG00000020280	11	ENSOANG00000012408	Ultra56
ENSMUSG00000020282	11	ENSOANG00000010977	Contig20346
ENSMUSG00000020283	11	ENSOANG00000012410	Ultra56
ENSMUSG00000020284	10	ENSOANG00000015576	7
ENSMUSG00000020288	11	ENSOANG00000012414	Ultra56
ENSMUSG00000020289	11	ENSOANG00000011372	Contig20549
ENSMUSG00000020290	11	ENSOANG00000012417	Ultra56
ENSMUSG00000020297	11	ENSOANG00000014066	Contig2445
ENSMUSG00000020300	11	ENSOANG00000003990	Contig740
ENSMUSG00000020303	11	ENSOANG00000031099	7
ENSMUSG00000020305	11	ENSOANG00000005333	Contig13753
ENSMUSG00000020309	11	ENSOANG00000011378	Contig7803
ENSMUSG00000020311	11	ENSOANG00000004645	Contig1446
ENSMUSG00000020312	10	ENSOANG00000006978	Contig3986
ENSMUSG00000020315	11	ENSOANG00000011193	Ultra56
ENSMUSG00000020317	10	ENSOANG00000022448	Contig32360
ENSMUSG00000020319	11	ENSOANG00000012425	Ultra56
ENSMUSG00000020321	11	ENSOANG00000012426	Ultra56
ENSMUSG00000020323	10	ENSOANG00000013214	Contig4292
ENSMUSG00000020325	10	ENSOANG00000029007	Contig4292
ENSMUSG00000020326	11	ENSOANG00000003604	X1
ENSMUSG00000020327	10	ENSOANG00000012015	Contig11370
ENSMUSG00000020328	11	ENSOANG00000021414	X1
ENSMUSG00000020329	10	ENSOANG00000014228	Contig20303
ENSMUSG00000020331	10	ENSOANG00000004006	Contig33386
ENSMUSG00000020332	11	ENSOANG00000030428	X1
ENSMUSG00000020333	11	ENSOANG00000009215	X1
ENSMUSG00000020334	11	ENSOANG00000007236	Ultra418
ENSMUSG00000020340	11	ENSOANG00000005079	X1
ENSMUSG00000020349	11	ENSOANG00000013519	Ultra364
ENSMUSG00000020357	11	ENSOANG00000001739	Contig2228
ENSMUSG00000020358	11	ENSOANG00000004998	Contig1619
ENSMUSG00000020359	11	ENSOANG00000004999	Contig1619
ENSMUSG00000020361	11	ENSOANG00000007430	Ultra459
ENSMUSG00000020362	11	ENSOANG00000010226	14
ENSMUSG00000020366	11	ENSOANG00000010228	14
ENSMUSG00000020368	11	ENSOANG00000013590	14
ENSMUSG00000020372	11	ENSOANG00000002600	Ultra696
ENSMUSG00000020374	11	ENSOANG00000010229	14
ENSMUSG00000020375	11	ENSOANG00000010223	14
ENSMUSG00000020376	11	ENSOANG00000020588	Ultra177
ENSMUSG00000020386	11	ENSOANG00000031288	Contig7649
ENSMUSG00000020387	11	ENSOANG00000010024	Contig7090
ENSMUSG00000020388	11	ENSOANG00000002566	Ultra418
ENSMUSG00000020389	11	ENSOANG00000000233	Ultra364
ENSMUSG00000020390	11	ENSOANG00000009823	Ultra364
ENSMUSG00000020393	11	ENSOANG00000008814	Ultra252
ENSMUSG00000020395	11	ENSOANG00000005082	X1
ENSMUSG00000020397	11	ENSOANG00000005192	Contig29077
ENSMUSG00000020399	11	ENSOANG00000005086	X1
ENSMUSG00000020402	11	ENSOANG00000013490	7
ENSMUSG00000020407	11	ENSOANG00000003089	4
ENSMUSG00000020411	11	ENSOANG00000005078	X1
ENSMUSG00000020412	11	ENSOANG00000029431	Contig24878
ENSMUSG00000020413	11	ENSOANG00000019772	Contig58416
ENSMUSG00000020419	11	ENSOANG00000011582	Contig2432
ENSMUSG00000020422	11	ENSOANG00000003084	4
ENSMUSG00000020424	11	ENSOANG00000005234	Contig25857
ENSMUSG00000020427	11	ENSOANG00000005419	4
ENSMUSG00000020428	11	ENSOANG00000003609	X1
ENSMUSG00000020429	11	ENSOANG00000001500	4
ENSMUSG00000020430	11	ENSOANG00000012901	Contig21619
ENSMUSG00000020431	11	ENSOANG00000031693	Contig21060
ENSMUSG00000020432	11	ENSOANG00000011553	2
ENSMUSG00000020435	11	ENSOANG00000012851	Contig2717
ENSMUSG00000020436	11	ENSOANG00000003606	X1
ENSMUSG00000020439	11	ENSOANG00000031230	2
ENSMUSG00000020440	6	ENSOANG00000000821	10
ENSMUSG00000020444	11	ENSOANG00000014826	Contig12910
ENSMUSG00000020447	11	ENSOANG00000006322	Contig6876
ENSMUSG00000020448	11	ENSOANG00000014649	Ultra57
ENSMUSG00000020451	11	ENSOANG00000014650	Ultra57
ENSMUSG00000020453	11	ENSOANG00000014654	Ultra57
ENSMUSG00000020457	11	ENSOANG00000014655	Ultra57
ENSMUSG00000020458	11	ENSOANG00000011191	Ultra56
ENSMUSG00000020459	11	ENSOANG00000011187	Ultra56
ENSMUSG00000020460	11	ENSOANG00000011189	Ultra56
ENSMUSG00000020461	11	ENSOANG00000011190	Ultra56
ENSMUSG00000020462	11	ENSOANG00000011180	Ultra56
ENSMUSG00000020464	11	ENSOANG00000011178	Ultra56
ENSMUSG00000020467	11	ENSOANG00000011177	Ultra56
ENSMUSG00000020469	11	ENSOANG00000006505	Contig2861
ENSMUSG00000020471	11	ENSOANG00000006504	Contig2861
ENSMUSG00000020473	11	ENSOANG00000006502	Contig2861
ENSMUSG00000020474	11	ENSOANG00000021533	Contig277228
ENSMUSG00000020475	11	ENSOANG00000000600	Contig2888
ENSMUSG00000020476	11	ENSOANG00000000599	Contig2888
ENSMUSG00000020477	11	ENSOANG00000015810	Contig4633
ENSMUSG00000020482	11	ENSOANG00000008818	Ultra252
ENSMUSG00000020483	11	ENSOANG00000003925	Contig8099
ENSMUSG00000020484	11	ENSOANG00000008817	Ultra252
ENSMUSG00000020486	11	ENSOANG00000008487	Ultra324
ENSMUSG00000020492	11	ENSOANG00000008506	Ultra324
ENSMUSG00000020493	11	ENSOANG00000020555	Ultra324
ENSMUSG00000020495	11	ENSOANG00000008508	Ultra324
ENSMUSG00000020513	11	ENSOANG00000002225	Ultra324
ENSMUSG00000020514	11	ENSOANG00000005091	X1
ENSMUSG00000020515	11	ENSOANG00000005094	X1
ENSMUSG00000020516	11	ENSOANG00000002226	Ultra324
ENSMUSG00000020519	11	ENSOANG00000005099	X1
ENSMUSG00000020520	11	ENSOANG00000005100	X1
ENSMUSG00000020521	11	ENSOANG00000002227	Ultra324
ENSMUSG00000020523	11	ENSOANG00000005102	X1
ENSMUSG00000020524	11	ENSOANG00000005104	X1
ENSMUSG00000020525	11	ENSOANG00000011523	Ultra9
ENSMUSG00000020526	11	ENSOANG00000011518	Ultra9
ENSMUSG00000020527	11	ENSOANG00000011516	Ultra9
ENSMUSG00000020530	11	ENSOANG00000011514	Ultra9
ENSMUSG00000020534	11	ENSOANG00000009875	2
ENSMUSG00000020536	11	ENSOANG00000009869	2
ENSMUSG00000020537	11	ENSOANG00000006771	Ultra497
ENSMUSG00000020538	11	ENSOANG00000012278	2
ENSMUSG00000020541	11	ENSOANG00000007277	Contig5229
ENSMUSG00000020542	11	ENSOANG00000003001	Contig15388
ENSMUSG00000020544	11	ENSOANG00000007276	Contig5229
ENSMUSG00000020545	12	ENSOANG00000028622	Ultra65
ENSMUSG00000020546	11	ENSOANG00000008608	Contig2162
ENSMUSG00000020549	11	ENSOANG00000029080	Contig59246
ENSMUSG00000020553	11	ENSOANG00000010291	Contig524
